Governor,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL (I)(R,,,,,JASON J. CARTER (D),,,,,ANDREW T. HUNT (L),,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
138 Duluth I,3292,825,75,239,5,1144,300,18,141,5,464,16,2,2,0,20,1628
139 Martins K,3460,322,18,68,2,410,772,14,264,6,1056,33,1,7,0,41,1507
140 Suwanee H,2784,841,68,307,5,1221,235,19,91,1,346,17,4,5,0,26,1593
141 Sugar Hill G,2099,635,34,139,2,810,197,13,87,0,297,32,0,13,0,45,1152
142 Suwanee F,2816,660,35,160,2,857,377,17,126,3,523,34,2,7,1,44,1424
143 Lawrenceville L,3622,660,61,242,0,963,541,12,278,2,833,26,1,1,0,28,1824
144 Lawrenceville M,3741,321,14,90,3,428,753,21,398,10,1182,29,0,5,0,34,1644
145 Baycreek G,3107,732,38,173,5,948,415,19,233,3,670,19,3,6,0,28,1646
146 Baycreek H,4012,1139,41,298,1,1479,471,20,180,5,676,33,0,3,0,36,2191
147 Baycreek I,3769,575,33,296,2,906,512,26,371,4,913,45,1,7,1,54,1873
148 Berkshire Q,1297,396,27,48,1,472,213,7,22,4,246,32,4,4,0,40,758
149 Goodwins I,2060,581,49,123,2,755,302,16,84,2,404,33,3,4,0,40,1199
150 Duluth K,1798,108,6,8,1,123,311,11,82,5,409,1,0,0,0,1,533
151 Harbins C,1708,585,22,109,6,722,140,7,53,1,201,18,1,2,0,21,944
152 Rockycreek C,3497,809,24,348,6,1187,428,29,207,4,668,24,3,6,0,33,1888
153 Lawrenceville N,1700,285,25,115,1,426,228,11,104,1,344,19,0,4,0,23,793
154 Pucketts D,2286,613,41,243,4,901,198,14,76,1,289,34,1,6,0,41,1231
155 Suwanee G,2650,614,41,140,3,798,368,11,105,2,486,33,0,4,0,37,1321
156 Baycreek J,3138,581,35,159,2,777,491,20,344,6,861,28,0,0,0,28,1666
Totals:,396271,79699,5459,22196,392,107746,57545,2482,24386,724,85137,4392,229,662,39,5322,198205
