,census_tract,white,black,hispanic,total,median_income,majority_race
355,"Census Tract 404.15, Clayton County, Georgia",531,3531,1649,6037,32088,black
356,"Census Tract 404.16, Clayton County, Georgia",839,1866,817,3959,37813,NA
357,"Census Tract 404.17, Clayton County, Georgia",191,3465,574,4410,25625,black
358,"Census Tract 405.09, Clayton County, Georgia",227,4064,269,4699,61484,black
359,"Census Tract 405.10, Clayton County, Georgia",235,2509,212,3348,40471,black
360,"Census Tract 405.12, Clayton County, Georgia",375,4112,107,4894,37969,black
361,"Census Tract 405.13, Clayton County, Georgia",380,4150,17,5142,61708,black
362,"Census Tract 405.14, Clayton County, Georgia",339,5431,1311,7121,44163,black
363,"Census Tract 405.15, Clayton County, Georgia",501,5826,1052,8003,42406,black
364,"Census Tract 405.16, Clayton County, Georgia",378,4004,975,6104,30146,black
365,"Census Tract 405.18, Clayton County, Georgia",737,3544,657,5134,35714,black
366,"Census Tract 405.19, Clayton County, Georgia",151,3877,198,4318,24587,black
367,"Census Tract 405.20, Clayton County, Georgia",0,3120,183,3344,25271,black
368,"Census Tract 405.21, Clayton County, Georgia",580,2283,268,3453,54323,black
369,"Census Tract 405.22, Clayton County, Georgia",511,3031,399,4388,25583,black
370,"Census Tract 405.23, Clayton County, Georgia",211,2174,583,3419,39153,black
371,"Census Tract 405.24, Clayton County, Georgia",486,5255,1130,7443,41462,black
372,"Census Tract 405.25, Clayton County, Georgia",122,2546,116,2852,40686,black
373,"Census Tract 405.26, Clayton County, Georgia",452,4776,471,5782,33393,black
374,"Census Tract 406.06, Clayton County, Georgia",849,1871,900,3740,38191,black
375,"Census Tract 406.08, Clayton County, Georgia",1713,8590,383,10890,61953,black
376,"Census Tract 406.09, Clayton County, Georgia",1492,3463,532,6129,57882,black
377,"Census Tract 406.11, Clayton County, Georgia",1386,3271,1228,6008,33477,black
378,"Census Tract 406.12, Clayton County, Georgia",1642,3816,661,6554,39167,black
379,"Census Tract 406.13, Clayton County, Georgia",2372,4831,333,7814,51496,black
380,"Census Tract 406.14, Clayton County, Georgia",2260,1406,301,4511,66141,white
381,"Census Tract 406.15, Clayton County, Georgia",220,1593,202,2107,55972,black
382,"Census Tract 406.16, Clayton County, Georgia",481,6263,801,7901,34349,black
383,"Census Tract 406.17, Clayton County, Georgia",500,16,1093,1609,34792,hispanic
384,"Census Tract 406.19, Clayton County, Georgia",287,2406,338,3280,52337,black
385,"Census Tract 406.20, Clayton County, Georgia",732,2057,418,3325,57639,black
386,"Census Tract 406.21, Clayton County, Georgia",1352,7378,785,9679,55619,black
387,"Census Tract 406.22, Clayton County, Georgia",921,5085,1396,7927,44384,black
388,"Census Tract 9800, Clayton County, Georgia",0,0,0,0,-,NA
389,"Census Tract 9701, Clinch County, Georgia",3818,1190,244,5385,32625,white
390,"Census Tract 9702, Clinch County, Georgia",695,615,24,1392,20335,NA
391,"Census Tract 301.01, Cobb County, Georgia",6268,530,421,7324,74417,white
392,"Census Tract 301.03, Cobb County, Georgia",5674,2394,619,9373,69647,white
393,"Census Tract 301.04, Cobb County, Georgia",2042,916,471,3643,49125,white
394,"Census Tract 301.06, Cobb County, Georgia",3483,2382,1068,7570,43192,NA
395,"Census Tract 301.07, Cobb County, Georgia",2151,1534,396,4670,80392,NA
396,"Census Tract 302.09, Cobb County, Georgia",4588,1390,380,6592,85565,white
397,"Census Tract 302.14, Cobb County, Georgia",6117,988,715,8442,76637,white
398,"Census Tract 302.15, Cobb County, Georgia",5864,966,1443,9175,79679,white
399,"Census Tract 302.18, Cobb County, Georgia",4229,605,433,5601,118125,white
400,"Census Tract 302.19, Cobb County, Georgia",7639,743,447,9320,105875,white
401,"Census Tract 302.20, Cobb County, Georgia",1222,371,123,1810,66553,white
402,"Census Tract 302.22, Cobb County, Georgia",4900,449,277,5870,75125,white
403,"Census Tract 302.23, Cobb County, Georgia",3371,1517,540,5725,59351,white
404,"Census Tract 302.24, Cobb County, Georgia",3571,1564,566,6229,64418,white
405,"Census Tract 302.26, Cobb County, Georgia",5660,1287,866,8530,70139,white
406,"Census Tract 302.27, Cobb County, Georgia",3700,2389,1050,7695,61403,NA
407,"Census Tract 302.28, Cobb County, Georgia",4592,1346,883,7079,46069,white
408,"Census Tract 302.29, Cobb County, Georgia",3823,784,455,5225,51104,white
409,"Census Tract 302.30, Cobb County, Georgia",6616,3767,1999,13287,56936,NA
410,"Census Tract 302.31, Cobb County, Georgia",6270,458,202,7286,87153,white
411,"Census Tract 302.32, Cobb County, Georgia",3089,1764,734,5733,100600,white
412,"Census Tract 302.33, Cobb County, Georgia",2726,1037,309,4219,93750,white
413,"Census Tract 302.34, Cobb County, Georgia",4474,1010,158,5829,103180,white
414,"Census Tract 302.35, Cobb County, Georgia",3905,534,233,4858,103050,white
415,"Census Tract 302.36, Cobb County, Georgia",4055,367,82,4663,145284,white
416,"Census Tract 302.38, Cobb County, Georgia",5271,938,117,6756,123180,white
417,"Census Tract 302.39, Cobb County, Georgia",6820,468,725,8288,97188,white
418,"Census Tract 303.10, Cobb County, Georgia",5903,785,1086,8134,67222,white
419,"Census Tract 303.11, Cobb County, Georgia",4994,370,314,6076,95625,white
420,"Census Tract 303.12, Cobb County, Georgia",4744,433,389,6149,71988,white
421,"Census Tract 303.13, Cobb County, Georgia",5587,1332,262,7983,76510,white
422,"Census Tract 303.14, Cobb County, Georgia",5771,831,681,7993,93226,white
423,"Census Tract 303.18, Cobb County, Georgia",6915,360,69,8004,134111,white
424,"Census Tract 303.19, Cobb County, Georgia",3732,51,96,4226,102847,white
425,"Census Tract 303.20, Cobb County, Georgia",5382,1057,409,7724,82115,white
426,"Census Tract 303.22, Cobb County, Georgia",2481,376,183,3220,94844,white
427,"Census Tract 303.24, Cobb County, Georgia",3026,149,180,3590,84282,white
428,"Census Tract 303.26, Cobb County, Georgia",3422,135,470,4634,128536,white
429,"Census Tract 303.27, Cobb County, Georgia",3364,369,104,4357,99688,white
430,"Census Tract 303.28, Cobb County, Georgia",5285,320,373,6206,115040,white
431,"Census Tract 303.29, Cobb County, Georgia",3514,405,83,4476,105488,white
432,"Census Tract 303.30, Cobb County, Georgia",3911,720,130,5704,96552,white
433,"Census Tract 303.31, Cobb County, Georgia",4737,303,329,5740,107743,white
434,"Census Tract 303.32, Cobb County, Georgia",2790,170,106,3468,104632,white
435,"Census Tract 303.33, Cobb County, Georgia",4760,365,244,6146,109353,white
436,"Census Tract 303.34, Cobb County, Georgia",2681,211,45,3318,91435,white
437,"Census Tract 303.35, Cobb County, Georgia",4020,226,175,4629,115129,white
438,"Census Tract 303.36, Cobb County, Georgia",6076,186,400,7478,146649,white
439,"Census Tract 303.37, Cobb County, Georgia",3915,108,212,4465,126371,white
440,"Census Tract 303.39, Cobb County, Georgia",2994,1354,412,5599,54437,white
441,"Census Tract 303.40, Cobb County, Georgia",2919,253,369,3864,129653,white
442,"Census Tract 303.41, Cobb County, Georgia",3497,581,282,4571,92217,white
443,"Census Tract 303.42, Cobb County, Georgia",4116,366,193,4990,111094,white
444,"Census Tract 303.43, Cobb County, Georgia",3903,125,242,4608,113838,white
445,"Census Tract 303.44, Cobb County, Georgia",961,1986,343,3636,43765,black
446,"Census Tract 303.45, Cobb County, Georgia",1046,1223,1427,4986,53347,NA
447,"Census Tract 304.05, Cobb County, Georgia",3183,2063,487,6282,40817,white
448,"Census Tract 304.07, Cobb County, Georgia",3260,535,400,4669,72875,white
449,"Census Tract 304.08, Cobb County, Georgia",1840,411,370,3196,64326,white
450,"Census Tract 304.09, Cobb County, Georgia",2691,282,98,3523,114844,white
451,"Census Tract 304.10, Cobb County, Georgia",2799,824,828,4939,45969,white
452,"Census Tract 304.11, Cobb County, Georgia",478,2419,859,3799,32883,black
453,"Census Tract 304.12, Cobb County, Georgia",759,2320,957,4195,33698,black
454,"Census Tract 304.13, Cobb County, Georgia",1827,1924,1375,6101,39427,NA
455,"Census Tract 304.14, Cobb County, Georgia",362,1926,470,2918,28441,black
456,"Census Tract 305.02, Cobb County, Georgia",4515,1131,542,6535,93365,white
457,"Census Tract 305.04, Cobb County, Georgia",3377,1474,1268,6803,57202,NA
458,"Census Tract 305.05, Cobb County, Georgia",2249,2155,1131,6466,35543,NA
459,"Census Tract 305.06, Cobb County, Georgia",2450,836,549,4082,54375,white
460,"Census Tract 305.07, Cobb County, Georgia",3574,562,365,4912,66563,white
461,"Census Tract 306.01, Cobb County, Georgia",4126,2341,826,8864,48405,NA
462,"Census Tract 306.02, Cobb County, Georgia",5906,458,221,6680,66167,white
463,"Census Tract 307, Cobb County, Georgia",1438,1233,860,3580,34247,NA
464,"Census Tract 308, Cobb County, Georgia",2068,967,1700,5012,37672,NA
465,"Census Tract 309.01, Cobb County, Georgia",4802,1564,484,7191,64247,white
466,"Census Tract 309.02, Cobb County, Georgia",2371,803,1926,5430,38656,NA
467,"Census Tract 309.04, Cobb County, Georgia",987,2353,2624,6387,33014,NA
468,"Census Tract 309.05, Cobb County, Georgia",2233,3590,2082,8254,50943,NA
469,"Census Tract 310.01, Cobb County, Georgia",1333,1191,2572,5176,28944,NA
470,"Census Tract 310.02, Cobb County, Georgia",1791,3134,3879,9038,30505,NA
471,"Census Tract 310.04, Cobb County, Georgia",1954,2790,2714,7834,36049,NA
472,"Census Tract 310.05, Cobb County, Georgia",1383,1619,1804,5640,48793,NA
473,"Census Tract 311.01, Cobb County, Georgia",1400,1257,1397,4284,36157,NA
474,"Census Tract 311.06, Cobb County, Georgia",3853,2804,1029,8280,64621,NA
475,"Census Tract 311.08, Cobb County, Georgia",2133,2451,580,5366,35100,NA
476,"Census Tract 311.10, Cobb County, Georgia",1798,1053,1000,3940,54318,NA
477,"Census Tract 311.11, Cobb County, Georgia",2112,549,319,3322,81438,white
478,"Census Tract 311.12, Cobb County, Georgia",2959,1292,529,5220,90156,white
479,"Census Tract 311.13, Cobb County, Georgia",206,332,224,851,29479,NA
480,"Census Tract 311.14, Cobb County, Georgia",1955,2853,2102,7671,40507,NA
481,"Census Tract 311.15, Cobb County, Georgia",1139,1782,1367,4620,53830,NA
482,"Census Tract 311.16, Cobb County, Georgia",1056,2041,1864,5092,35225,NA
483,"Census Tract 311.17, Cobb County, Georgia",3460,572,576,4813,107813,white
484,"Census Tract 311.18, Cobb County, Georgia",3037,1218,210,5299,66525,white
485,"Census Tract 312.05, Cobb County, Georgia",3290,1649,598,5847,64970,white
486,"Census Tract 312.06, Cobb County, Georgia",4414,3649,325,9541,84923,NA
487,"Census Tract 312.07, Cobb County, Georgia",1845,776,113,3127,52375,white
488,"Census Tract 312.08, Cobb County, Georgia",2911,1360,335,6332,63908,NA
489,"Census Tract 312.09, Cobb County, Georgia",3187,321,252,4171,120385,white
490,"Census Tract 312.11, Cobb County, Georgia",1610,1512,609,4107,56864,NA
491,"Census Tract 312.12, Cobb County, Georgia",2167,53,37,2340,121277,white
492,"Census Tract 313.06, Cobb County, Georgia",1996,1630,397,4159,44196,NA
493,"Census Tract 313.07, Cobb County, Georgia",3473,1634,504,5758,73497,white
494,"Census Tract 313.08, Cobb County, Georgia",1345,2728,1235,5383,43619,black
495,"Census Tract 313.09, Cobb County, Georgia",1734,4357,1754,8052,55980,black
496,"Census Tract 313.10, Cobb County, Georgia",339,4458,2257,7276,27931,black
497,"Census Tract 313.11, Cobb County, Georgia",1440,6054,1839,9565,36080,black
498,"Census Tract 313.12, Cobb County, Georgia",2558,4771,1712,9572,64821,NA
499,"Census Tract 313.13, Cobb County, Georgia",4998,3224,1146,10356,103333,NA
500,"Census Tract 314.04, Cobb County, Georgia",2868,2361,655,5993,74327,NA
501,"Census Tract 314.05, Cobb County, Georgia",2801,3829,1580,8387,71679,NA
502,"Census Tract 314.06, Cobb County, Georgia",1980,4315,758,7145,36317,black
503,"Census Tract 314.08, Cobb County, Georgia",1720,3756,247,5791,49798,black
504,"Census Tract 314.09, Cobb County, Georgia",1681,2610,776,5169,44202,black
505,"Census Tract 315.03, Cobb County, Georgia",3012,4562,1156,9187,59208,NA
506,"Census Tract 315.05, Cobb County, Georgia",2488,2847,191,5782,60154,NA
507,"Census Tract 315.06, Cobb County, Georgia",1783,1961,978,5026,56133,NA
508,"Census Tract 315.07, Cobb County, Georgia",843,2223,378,3527,47008,black
509,"Census Tract 315.08, Cobb County, Georgia",2248,1736,272,4611,72707,NA
510,"Census Tract 315.09, Cobb County, Georgia",3996,4686,653,9686,70565,NA
511,"Census Tract 101, Coffee County, Georgia",2663,433,183,3319,33993,white
512,"Census Tract 102, Coffee County, Georgia",2573,46,542,3161,33858,white
513,"Census Tract 103, Coffee County, Georgia",3375,2217,464,6078,26944,white
514,"Census Tract 104, Coffee County, Georgia",3040,1413,252,4978,38970,white
515,"Census Tract 105, Coffee County, Georgia",2027,673,561,3345,33093,white
516,"Census Tract 106, Coffee County, Georgia",4588,452,225,5335,55411,white
517,"Census Tract 107, Coffee County, Georgia",3240,1551,1595,6582,26485,NA
518,"Census Tract 108.01, Coffee County, Georgia",2308,2389,470,5404,31650,NA
519,"Census Tract 108.02, Coffee County, Georgia",1848,2603,241,4745,25865,black
520,"Census Tract 9701, Colquitt County, Georgia",3662,608,842,5227,34932,white
521,"Census Tract 9702, Colquitt County, Georgia",2258,346,137,2824,38274,white
522,"Census Tract 9703, Colquitt County, Georgia",1479,3197,465,5141,21267,black
523,"Census Tract 9704, Colquitt County, Georgia",1974,981,555,3513,24479,white
524,"Census Tract 9705, Colquitt County, Georgia",2256,253,800,3362,54561,white
525,"Census Tract 9706, Colquitt County, Georgia",4410,463,1535,6472,45000,white
526,"Census Tract 9707.01, Colquitt County, Georgia",4331,1776,897,7081,35188,white
527,"Census Tract 9707.02, Colquitt County, Georgia",768,849,746,2404,24009,NA
528,"Census Tract 9708, Colquitt County, Georgia",1288,1266,551,3105,27847,NA
529,"Census Tract 9709, Colquitt County, Georgia",4164,934,1627,6858,34725,white
530,"Census Tract 301.02, Columbia County, Georgia",7682,430,310,9957,106065,white
531,"Census Tract 301.03, Columbia County, Georgia",2328,309,164,3194,86055,white
532,"Census Tract 301.05, Columbia County, Georgia",4098,785,181,5725,66721,white
533,"Census Tract 301.06, Columbia County, Georgia",3208,448,137,4070,57569,white
534,"Census Tract 302.01, Columbia County, Georgia",4258,1352,139,6105,59188,white
535,"Census Tract 302.02, Columbia County, Georgia",2282,540,277,3295,54444,white
536,"Census Tract 302.03, Columbia County, Georgia",4815,886,94,6164,63699,white
537,"Census Tract 303.02, Columbia County, Georgia",7602,1266,593,10241,68286,white
538,"Census Tract 303.04, Columbia County, Georgia",5032,1085,329,6870,94735,white
539,"Census Tract 303.06, Columbia County, Georgia",3728,927,139,5041,83211,white
540,"Census Tract 303.07, Columbia County, Georgia",5636,849,137,6780,69359,white
541,"Census Tract 303.08, Columbia County, Georgia",6999,1126,396,9072,104522,white
542,"Census Tract 303.09, Columbia County, Georgia",7845,1762,312,10549,91786,white
543,"Census Tract 304.01, Columbia County, Georgia",1669,543,51,2302,52708,white
544,"Census Tract 304.02, Columbia County, Georgia",6298,1345,907,9080,70592,white
545,"Census Tract 305.03, Columbia County, Georgia",5928,1430,383,7894,43989,white
546,"Census Tract 305.04, Columbia County, Georgia",2499,541,276,3369,49924,white
547,"Census Tract 305.05, Columbia County, Georgia",3356,1523,1336,6445,49500,white
548,"Census Tract 305.06, Columbia County, Georgia",6709,2746,1314,11434,59512,white
549,"Census Tract 306.03, Columbia County, Georgia",3278,1161,33,4775,49659,white
550,"Census Tract 9601, Cook County, Georgia",1670,289,123,2117,32153,white
551,"Census Tract 9602, Cook County, Georgia",2265,1396,238,3949,30956,white
552,"Census Tract 9603, Cook County, Georgia",4005,1480,317,6006,40625,white
553,"Census Tract 9604, Cook County, Georgia",3144,1513,332,4989,31451,white
554,"Census Tract 1701, Coweta County, Georgia",5925,712,206,7309,58339,white
555,"Census Tract 1702, Coweta County, Georgia",5152,881,199,6619,50905,white
556,"Census Tract 1703.03, Coweta County, Georgia",4460,429,87,5209,87256,white
557,"Census Tract 1703.04, Coweta County, Georgia",4901,1235,331,6642,71933,white
558,"Census Tract 1703.05, Coweta County, Georgia",4931,2568,1988,9947,37394,NA
559,"Census Tract 1703.06, Coweta County, Georgia",4709,1953,714,7988,62736,white
560,"Census Tract 1704.02, Coweta County, Georgia",7175,1213,1052,9498,76222,white
561,"Census Tract 1704.03, Coweta County, Georgia",3598,258,193,4251,98958,white
562,"Census Tract 1704.04, Coweta County, Georgia",5140,327,221,5997,78265,white
563,"Census Tract 1704.05, Coweta County, Georgia",5737,505,710,7374,74375,white
564,"Census Tract 1704.06, Coweta County, Georgia",3322,184,14,3570,77857,white
565,"Census Tract 1705.01, Coweta County, Georgia",5150,529,603,6424,68929,white
566,"Census Tract 1705.02, Coweta County, Georgia",5241,537,138,6007,68068,white
567,"Census Tract 1705.03, Coweta County, Georgia",4641,826,318,5925,61902,white
568,"Census Tract 1706.01, Coweta County, Georgia",2585,4026,733,7414,33656,black
569,"Census Tract 1706.02, Coweta County, Georgia",6905,1066,324,8758,78617,white
570,"Census Tract 1706.03, Coweta County, Georgia",4242,663,360,5458,69542,white
571,"Census Tract 1707, Coweta County, Georgia",2617,3750,182,6840,39867,black
572,"Census Tract 1708.01, Coweta County, Georgia",4369,910,302,5700,45686,white
573,"Census Tract 1708.02, Coweta County, Georgia",3967,258,158,4489,54077,white
574,"Census Tract 701, Crawford County, Georgia",2123,1513,2,3718,43281,white
575,"Census Tract 702.01, Crawford County, Georgia",4735,372,120,5276,41756,white
576,"Census Tract 702.02, Crawford County, Georgia",2364,960,13,3542,41627,white
577,"Census Tract 101, Crisp County, Georgia",2320,2276,141,4921,30528,NA
578,"Census Tract 102.01, Crisp County, Georgia",2936,1841,99,4893,35195,white
579,"Census Tract 102.02, Crisp County, Georgia",1101,1900,120,3178,44821,black
580,"Census Tract 103, Crisp County, Georgia",2614,998,179,3843,42170,white
581,"Census Tract 104, Crisp County, Georgia",1753,2838,221,5045,34523,black
582,"Census Tract 105, Crisp County, Georgia",1289,227,0,1523,40208,white
583,"Census Tract 401.01, Dade County, Georgia",4109,104,72,4444,36006,white
584,"Census Tract 401.02, Dade County, Georgia",3625,0,116,3755,59167,white
585,"Census Tract 402, Dade County, Georgia",4204,22,18,4320,42637,white
586,"Census Tract 403, Dade County, Georgia",3660,30,124,4014,50698,white
587,"Census Tract 9701, Dawson County, Georgia",7333,71,135,7805,55617,white
588,"Census Tract 9702.01, Dawson County, Georgia",6569,28,462,7115,63500,white
589,"Census Tract 9702.02, Dawson County, Georgia",6978,0,292,7580,51216,white
590,"Census Tract 9701, Decatur County, Georgia",2795,413,132,3483,42500,white
591,"Census Tract 9702, Decatur County, Georgia",1869,611,239,2719,32988,white
592,"Census Tract 9703, Decatur County, Georgia",3029,3457,216,6755,27196,black
593,"Census Tract 9704, Decatur County, Georgia",1552,3079,73,4751,21833,black
594,"Census Tract 9706, Decatur County, Georgia",3354,1655,143,5329,30640,white
595,"Census Tract 9707, Decatur County, Georgia",890,388,494,1803,40000,NA
596,"Census Tract 9708, Decatur County, Georgia",656,1799,191,2668,32049,black
597,"Census Tract 201, DeKalb County, Georgia",1665,20,81,1853,130385,white
598,"Census Tract 202, DeKalb County, Georgia",1711,69,143,2040,87500,white
599,"Census Tract 203, DeKalb County, Georgia",2997,295,180,3767,103722,white
600,"Census Tract 204, DeKalb County, Georgia",2156,102,62,2451,83720,white
601,"Census Tract 205, DeKalb County, Georgia",1031,1615,206,2922,45760,black
602,"Census Tract 206, DeKalb County, Georgia",631,1125,40,1867,38661,black
603,"Census Tract 207, DeKalb County, Georgia",977,978,17,2060,45742,NA
604,"Census Tract 208.01, DeKalb County, Georgia",1273,1162,86,2592,67005,NA
605,"Census Tract 208.02, DeKalb County, Georgia",1479,2410,243,4256,49464,black
606,"Census Tract 209, DeKalb County, Georgia",2151,3307,156,5676,46161,black
607,"Census Tract 211.01, DeKalb County, Georgia",2931,437,126,3797,120625,white
608,"Census Tract 211.02, DeKalb County, Georgia",4171,539,226,5222,80425,white
609,"Census Tract 212.02, DeKalb County, Georgia",5835,415,324,7084,96469,white
610,"Census Tract 212.04, DeKalb County, Georgia",285,77,3811,4429,28939,hispanic
611,"Census Tract 212.08, DeKalb County, Georgia",2306,418,626,4155,58935,white
612,"Census Tract 212.09, DeKalb County, Georgia",3988,490,260,5749,58423,white
613,"Census Tract 212.10, DeKalb County, Georgia",4804,71,94,5441,119330,white
614,"Census Tract 212.11, DeKalb County, Georgia",3879,78,168,4632,102524,white
615,"Census Tract 212.13, DeKalb County, Georgia",3362,0,99,3574,135977,white
616,"Census Tract 212.14, DeKalb County, Georgia",5617,123,377,6285,105088,white
617,"Census Tract 212.15, DeKalb County, Georgia",2444,384,209,5626,92724,NA
618,"Census Tract 212.16, DeKalb County, Georgia",4768,1343,789,8528,62788,white
619,"Census Tract 212.17, DeKalb County, Georgia",1591,324,102,2385,73077,white
620,"Census Tract 212.18, DeKalb County, Georgia",2278,1468,274,4837,50177,NA
621,"Census Tract 213.01, DeKalb County, Georgia",1050,1070,1101,3704,46339,NA
622,"Census Tract 213.03, DeKalb County, Georgia",771,683,3805,6541,33994,hispanic
623,"Census Tract 213.05, DeKalb County, Georgia",1343,750,2479,5233,39330,NA
624,"Census Tract 213.06, DeKalb County, Georgia",1261,716,2514,5016,40960,hispanic
625,"Census Tract 213.07, DeKalb County, Georgia",1231,499,1577,4425,44902,NA
626,"Census Tract 213.08, DeKalb County, Georgia",1010,249,1835,3756,44684,NA
627,"Census Tract 214.05, DeKalb County, Georgia",2940,221,611,4217,109508,white
628,"Census Tract 214.09, DeKalb County, Georgia",465,810,1503,2982,41278,hispanic
629,"Census Tract 214.10, DeKalb County, Georgia",1607,335,2405,4505,47500,hispanic
630,"Census Tract 214.11, DeKalb County, Georgia",2752,270,292,3526,75223,white
631,"Census Tract 214.12, DeKalb County, Georgia",2846,145,359,3569,103717,white
632,"Census Tract 214.13, DeKalb County, Georgia",688,515,3305,4689,34359,hispanic
633,"Census Tract 214.14, DeKalb County, Georgia",726,981,1950,3830,36488,hispanic
634,"Census Tract 214.15, DeKalb County, Georgia",2499,363,771,4020,80913,white
635,"Census Tract 214.16, DeKalb County, Georgia",736,113,1629,2622,55000,hispanic
636,"Census Tract 214.17, DeKalb County, Georgia",825,596,3586,5459,43750,hispanic
637,"Census Tract 215.02, DeKalb County, Georgia",2946,771,313,4622,58750,white
638,"Census Tract 215.03, DeKalb County, Georgia",1722,404,1073,4027,44714,NA
639,"Census Tract 215.04, DeKalb County, Georgia",3689,372,264,4921,51215,white
640,"Census Tract 216.02, DeKalb County, Georgia",3279,218,235,4218,66591,white
641,"Census Tract 216.03, DeKalb County, Georgia",2907,715,283,4421,51527,white
642,"Census Tract 216.04, DeKalb County, Georgia",2504,288,148,3087,130114,white
643,"Census Tract 216.05, DeKalb County, Georgia",2763,887,954,5117,49044,white
644,"Census Tract 217.03, DeKalb County, Georgia",3818,94,296,4801,131250,white
645,"Census Tract 217.04, DeKalb County, Georgia",4102,205,86,5219,82028,white
646,"Census Tract 217.05, DeKalb County, Georgia",2064,1384,927,4970,43500,NA
647,"Census Tract 217.06, DeKalb County, Georgia",3961,897,617,6223,69495,white
648,"Census Tract 218.05, DeKalb County, Georgia",2891,1592,883,6266,52010,NA
649,"Census Tract 218.06, DeKalb County, Georgia",1861,2206,1008,5740,41009,NA
650,"Census Tract 218.08, DeKalb County, Georgia",2855,761,591,4843,65987,white
651,"Census Tract 218.09, DeKalb County, Georgia",5072,821,414,6764,90017,white
652,"Census Tract 218.10, DeKalb County, Georgia",3319,1214,314,5361,76703,white
653,"Census Tract 218.12, DeKalb County, Georgia",1177,243,588,2286,61467,white
654,"Census Tract 218.13, DeKalb County, Georgia",83,1539,1125,2827,29743,black
655,"Census Tract 218.14, DeKalb County, Georgia",1184,1587,2886,5945,33520,NA
656,"Census Tract 219.06, DeKalb County, Georgia",683,4043,276,5390,39289,black
657,"Census Tract 219.07, DeKalb County, Georgia",1892,5927,323,8442,62840,black
658,"Census Tract 219.08, DeKalb County, Georgia",567,4660,160,5656,31520,black
659,"Census Tract 219.09, DeKalb County, Georgia",1077,4229,213,5807,34598,black
660,"Census Tract 219.10, DeKalb County, Georgia",724,3514,135,4775,46795,black
661,"Census Tract 219.11, DeKalb County, Georgia",0,2199,48,2247,23796,black
662,"Census Tract 219.12, DeKalb County, Georgia",2017,1122,49,3510,88287,white
663,"Census Tract 219.13, DeKalb County, Georgia",300,3803,531,4657,32197,black
664,"Census Tract 220.01, DeKalb County, Georgia",2793,815,350,4575,65146,white
665,"Census Tract 220.04, DeKalb County, Georgia",825,4731,37,6332,49366,black
666,"Census Tract 220.05, DeKalb County, Georgia",629,2860,90,4113,32564,black
667,"Census Tract 220.07, DeKalb County, Georgia",433,2252,78,3946,30951,black
668,"Census Tract 220.08, DeKalb County, Georgia",1022,3482,252,8436,24455,NA
669,"Census Tract 220.09, DeKalb County, Georgia",504,5191,0,6023,31154,black
670,"Census Tract 220.10, DeKalb County, Georgia",382,835,83,2575,39091,NA
671,"Census Tract 221, DeKalb County, Georgia",539,2868,194,3805,31423,black
672,"Census Tract 222.03, DeKalb County, Georgia",894,493,122,1860,46250,NA
673,"Census Tract 222.04, DeKalb County, Georgia",2297,1058,634,5974,37703,NA
674,"Census Tract 223.01, DeKalb County, Georgia",4493,480,301,5956,48643,white
675,"Census Tract 223.02, DeKalb County, Georgia",3015,503,535,4476,59652,white
676,"Census Tract 224.01, DeKalb County, Georgia",3928,138,61,4489,70417,white
677,"Census Tract 224.02, DeKalb County, Georgia",2544,876,235,5604,32356,NA
678,"Census Tract 224.03, DeKalb County, Georgia",3603,44,101,3929,136813,white
679,"Census Tract 225, DeKalb County, Georgia",3411,1745,180,5665,53234,white
680,"Census Tract 226, DeKalb County, Georgia",4525,553,260,5739,72995,white
681,"Census Tract 227, DeKalb County, Georgia",3119,1028,113,4517,92000,white
682,"Census Tract 228, DeKalb County, Georgia",2404,968,77,3871,94750,white
683,"Census Tract 229, DeKalb County, Georgia",2071,912,142,3386,72895,white
684,"Census Tract 230, DeKalb County, Georgia",1736,182,11,2044,59745,white
685,"Census Tract 231.01, DeKalb County, Georgia",875,3649,218,4823,42617,black
686,"Census Tract 231.02, DeKalb County, Georgia",1077,2133,100,3408,39651,black
687,"Census Tract 231.07, DeKalb County, Georgia",748,3494,255,4687,35233,black
688,"Census Tract 231.08, DeKalb County, Georgia",257,4245,250,4815,29579,black
689,"Census Tract 231.11, DeKalb County, Georgia",142,1676,85,1935,50223,black
690,"Census Tract 231.12, DeKalb County, Georgia",121,3515,339,4123,25449,black
691,"Census Tract 231.13, DeKalb County, Georgia",733,2126,187,3212,26717,black
692,"Census Tract 231.14, DeKalb County, Georgia",471,1619,49,2333,55285,black
693,"Census Tract 231.15, DeKalb County, Georgia",209,2698,221,3229,-,black
694,"Census Tract 232.04, DeKalb County, Georgia",728,5929,311,7192,50705,black
695,"Census Tract 232.06, DeKalb County, Georgia",444,6726,215,7620,47286,black
696,"Census Tract 232.08, DeKalb County, Georgia",482,5723,113,6566,45213,black
697,"Census Tract 232.09, DeKalb County, Georgia",306,4634,458,5540,61250,black
698,"Census Tract 232.10, DeKalb County, Georgia",255,6218,67,6829,39830,black
699,"Census Tract 232.11, DeKalb County, Georgia",49,2806,94,3084,59167,black
700,"Census Tract 232.12, DeKalb County, Georgia",166,3523,26,3765,57857,black
701,"Census Tract 232.13, DeKalb County, Georgia",181,5447,54,6085,42208,black
702,"Census Tract 232.14, DeKalb County, Georgia",113,5436,119,5677,48878,black
703,"Census Tract 233.03, DeKalb County, Georgia",391,4865,776,6563,36844,black
704,"Census Tract 233.06, DeKalb County, Georgia",73,6143,570,7108,57885,black
