,census_tract,white,black,hispanic,total,median_income,majority_race
81,"Census Tract 118, Bibb County, Georgia",2516,1007,82,3806,47440,white
82,"Census Tract 119, Bibb County, Georgia",952,921,0,1909,27813,NA
83,"Census Tract 120, Bibb County, Georgia",3430,997,115,4609,57500,white
84,"Census Tract 121.01, Bibb County, Georgia",1435,438,0,1952,70313,white
85,"Census Tract 121.02, Bibb County, Georgia",3070,1180,291,5210,40770,white
86,"Census Tract 122, Bibb County, Georgia",617,1365,24,2074,21795,black
87,"Census Tract 123, Bibb County, Georgia",390,2265,121,2802,18176,black
88,"Census Tract 124, Bibb County, Georgia",321,3835,0,4171,21740,black
89,"Census Tract 125, Bibb County, Georgia",272,3067,40,3444,17754,black
90,"Census Tract 126, Bibb County, Georgia",608,3815,137,4682,21781,black
91,"Census Tract 127, Bibb County, Georgia",176,1695,25,2037,14315,black
92,"Census Tract 128, Bibb County, Georgia",523,2798,53,3396,12708,black
93,"Census Tract 129, Bibb County, Georgia",406,1698,6,2173,17034,black
94,"Census Tract 131.01, Bibb County, Georgia",808,4329,448,5689,22856,black
95,"Census Tract 131.02, Bibb County, Georgia",588,3488,0,4141,35881,black
96,"Census Tract 132.01, Bibb County, Georgia",644,4648,160,5603,30024,black
97,"Census Tract 132.02, Bibb County, Georgia",278,2570,361,3211,26875,black
98,"Census Tract 133.02, Bibb County, Georgia",817,3416,0,4283,36920,black
99,"Census Tract 134.07, Bibb County, Georgia",2210,1446,154,4301,39383,white
100,"Census Tract 134.08, Bibb County, Georgia",3481,811,92,4718,103796,white
101,"Census Tract 134.09, Bibb County, Georgia",2251,1143,90,3870,56307,white
102,"Census Tract 134.10, Bibb County, Georgia",4565,618,1,5272,85373,white
103,"Census Tract 134.11, Bibb County, Georgia",2716,815,86,3830,61917,white
104,"Census Tract 135.02, Bibb County, Georgia",1396,283,206,1937,29196,white
105,"Census Tract 135.03, Bibb County, Georgia",1196,785,802,3022,44000,NA
106,"Census Tract 135.04, Bibb County, Georgia",6493,1665,207,8616,65728,white
107,"Census Tract 136.03, Bibb County, Georgia",3091,972,209,4411,57560,white
108,"Census Tract 136.04, Bibb County, Georgia",2951,1950,109,5193,64206,white
109,"Census Tract 136.05, Bibb County, Georgia",2772,2193,250,5362,56944,white
110,"Census Tract 136.06, Bibb County, Georgia",4342,1252,0,5777,63468,white
111,"Census Tract 137, Bibb County, Georgia",1038,1964,26,3082,18396,black
112,"Census Tract 138, Bibb County, Georgia",30,2107,76,2287,19236,black
113,"Census Tract 139, Bibb County, Georgia",665,1364,78,2150,26302,black
114,"Census Tract 7901, Bleckley County, Georgia",4279,378,12,4718,37986,white
115,"Census Tract 7902, Bleckley County, Georgia",910,1603,115,2645,27458,black
116,"Census Tract 7903, Bleckley County, Georgia",3742,1681,13,5549,39063,white
117,"Census Tract 9601, Brantley County, Georgia",6697,430,135,7479,45216,white
118,"Census Tract 9602, Brantley County, Georgia",5346,230,110,5726,31263,white
119,"Census Tract 9603, Brantley County, Georgia",5094,27,137,5258,32857,white
120,"Census Tract 9602, Brooks County, Georgia",1035,332,217,1636,37358,white
121,"Census Tract 9603, Brooks County, Georgia",3868,1146,404,5448,29079,white
122,"Census Tract 9604, Brooks County, Georgia",1732,1721,147,3695,30941,NA
123,"Census Tract 9605, Brooks County, Georgia",832,1670,76,2639,22423,black
124,"Census Tract 9606, Brooks County, Georgia",1681,637,0,2348,35605,white
125,"Census Tract 9201.01, Bryan County, Georgia",4277,463,91,4971,45475,white
126,"Census Tract 9201.02, Bryan County, Georgia",3661,1667,242,5824,43534,white
127,"Census Tract 9203.01, Bryan County, Georgia",1638,177,143,2030,55781,white
128,"Census Tract 9203.03, Bryan County, Georgia",3799,1432,240,5766,47331,white
129,"Census Tract 9203.05, Bryan County, Georgia",3355,337,549,4373,92500,white
130,"Census Tract 9203.06, Bryan County, Georgia",7537,698,566,9221,100000,white
