households,p,total_pop,total_income,hispanic,black,tract,v_id,white
38.02910449535836,0.02223924239494641,116.46691242233436,1888867.5911799546,0.6226987870584996,59.28982022492713,Census Tract 105.10,121UC034,52.3734158400988
7.51666318523189e-07,4.1277667134716583e-10,1.947067558744581e-06,0.04104248432400316,3.343491037912043e-08,1.6432639286330672e-06,Census Tract 105.15,121UC034,2.666537296902691e-07
0.007442490906174975,5.129214959458976e-06,0.026374423321538058,502.4574460576849,8.71966543108026e-05,0.021286242081754753,Census Tract 405.13,063RD02,0.001949101684594411
1898.155306014728,0.7394449964996993,5265.587820074359,92690719.90331121,969.4123904111058,4015.925775989867,Census Tract 405.14,063RD02,250.67185381339806
15.698723455045156,0.0061108304612865535,48.90497618167629,829018.1882140246,6.4285936452734544,35.60169826745546,Census Tract 405.15,063RD02,3.0615260611045634
7.862446138672662,0.004005321517408386,23.158769013655288,313971.0616556154,1.8865064346993499,19.129415567142452,Census Tract 405.26,063RD02,1.8104053258685906
1387.0758521835476,0.5399283192617935,4321.046339052134,73248701.60210878,568.0045918634067,3145.622388019209,Census Tract 405.15,063JB12,270.5040879501586
0.0,0.0,0.0,0.0,0.0,0.0,Census Tract 405.25,063JB12,0.0
9.072221421957894e-07,4.621610505327506e-10,2.672215194180364e-06,0.03622810180430446,2.1767785480092553e-07,2.207281177344417e-06,Census Tract 405.26,063JB12,2.0889679484080327e-07
0.22306241642653526,0.00012908704654313383,0.631752005782097,10597.69540442469,0.01381231398011532,0.5308059353853662,Census Tract 405.12,063RD12,0.04840764245367519
467.7240021002825,0.32234596974519814,1657.5029764298088,31576982.829794273,5.479881485668368,1337.7357744425722,Census Tract 405.13,063RD12,122.4914685031753
668.8446678594803,0.2605549933227426,1855.4121074512502,32661022.82091414,341.5875962461156,1415.0741687358152,Census Tract 405.14,063RD12,88.32814273640975
7.069456133276729,0.0027518318930621756,22.02291064017659,373323.8394860775,2.894927151501409,16.032172608980236,Census Tract 405.15,063RD12,1.37866777842415
13.174642880984884,0.013540229065760415,46.29404317583486,670365.3537131539,7.893953545338322,29.43645798896314,Census Tract 405.23,063RD12,2.8569883328754475
384.7707049072184,0.22501210813287623,1178.3884102918728,19111176.142036628,6.3003390277205344,599.8822802822481,Census Tract 105.10,121SC212,529.9035146529235
0.0,0.0,0.0,0.0,0.0,0.0,Census Tract 105.14,121SC212,0.0
0.0,0.0,0.0,0.0,0.0,0.0,Census Tract 105.15,121SC212,0.0
0.0,0.0,0.0,0.0,0.0,0.0,Census Tract 105.13,121FA01B,0.0
274.22453307708685,0.1603652240216882,839.8326782015812,13620458.333405826,4.49022627260727,427.53368724182076,Census Tract 105.10,121FA01B,377.66010257107575
0.0,0.0,0.0,0.0,0.0,0.0,Census Tract 105.14,121FA01B,0.0
163.3839641500897,0.14306826983370377,446.8022066906569,7949773.543650915,6.724208682184077,362.2488592189379,Census Tract 105.13,121FA01A,62.95003872682966
414.22034608136863,0.24223412051542026,1268.580089139256,20573910.3695155,6.782555374431768,645.7961652941104,Census Tract 105.10,121FA01A,570.4613538138148
2005.3300603226041,0.47463433380416664,5838.476940125054,129666647.0305199,398.2182060616958,4468.682252766229,Census Tract 105.14,121FA01A,694.3900303554958
58.62111804850026,0.025665988637697135,148.99106404183186,2419996.9952781876,2.6179308410451076,54.180902014178656,Census Tract 104,121FA01A,89.85662622057767
0.0072690219731209585,3.159070827084293e-06,0.022132450214552558,543.9917974024531,0.0013741958097816674,0.01381145765601253,Census Tract 507.23,1352,0.004985013765139015
5.746890091364034e-05,1.3022637868488633e-08,0.0001823950659860518,4.280513615651587,1.5470893787764496e-05,9.6797267276476e-05,Census Tract 507.28,1352,6.566014013291969e-05
1385.5142672437912,0.35931386598646037,4358.477194415765,92332056.28339349,533.5810909898936,2447.646055099768,Census Tract 507.09,1352,1222.7450859519247
0.013145735385822817,1.2343413507814851e-05,0.04370802723117239,814.6806590655974,0.009553802055048695,0.019835865507058466,Census Tract 507.22,1352,0.01193608086205696
1073.6040301809712,0.4665814994267584,3268.8699849838695,80345304.80665334,202.96295225063992,2039.8943154937879,Census Tract 507.23,13575,736.2656060954248
1.0703686654624995,0.0002425489837893722,3.397141066953947,79725.33967830881,0.28814819274177417,1.8028665965064035,Census Tract 507.28,13575,1.2229319762660145
0.6785528812651161,0.0005082793118090758,1.7611878154184475,49684.99907199434,0.03862922769748976,0.7659769228962772,Census Tract 504.15,13575,0.7481871469829595
0.029066856200438394,7.538085114221575e-06,0.0914369724355077,1937.044364053415,0.01119405639461904,0.051349435798077374,Census Tract 507.09,13575,0.02565210364369602
1.003621987872583e-05,5.125750704150066e-09,2.708446672072895e-05,0.549523183239754,2.8089113858742363e-06,1.4126568940637581e-05,Census Tract 507.19,13575,8.436985659031008e-06
8.421056678300448e-07,4.707130619508356e-10,2.5319655602335444e-06,0.05820887007741619,2.9560780290512475e-07,1.314230868966733e-06,Census Tract 507.25,13575,6.919482010677283e-07
2.14007928807519e-06,1.7244796841862935e-09,5.675262640657092e-06,0.10261038162534114,8.243012890410483e-07,2.7298513400669025e-06,Census Tract 507.29,13575,1.83312190429003e-06
1045.5414067093554,0.9817290203843714,3476.3024611810592,64795337.59799889,759.8582617775035,1577.6385357576848,Census Tract 507.22,13575,949.3319627116871
68.68084934836537,0.016255822330974053,199.96287049331184,4440972.399714653,13.63863493568723,153.0485672461207,Census Tract 105.14,121PA01,23.78226807021504
344.03327798495997,0.15062752976574428,874.3928102901456,14202381.781775117,15.364008036105917,317.97471533548617,Census Tract 104,121PA01,527.3469817098708
