precinct_id,avg_income
470,57723
48,71412
49,56603
4913,55814
4923,44066
4933,52324
4943,64790
4A,56352
4B,52757
4C,52749
4D,46772
5,55753
5-1 C,41426
5-10C,28932
5-11C,40324
5-2 C,27615
5-3 C,27575
5-5 C,42753
5-6 C,44876
5-7 C,52068
5-8 C,51588
50,59995
501,53814
502,55030
503,47524
504,43987
506,51638
507,53974
509,52313
51,56468
513,48912
514,47908
518,59470
52,79470
53,72622
539,50160
54,68598
55,66534
555,40705
559,67322
56,67897
561,41337
5610,40576
566,43153
57,66141
58,63665
588,61123
589,49745
59,52871
5913,57270
5923,83956
5933,69512
5943,56994
5A,51863
5B,59092
5C,70320
5D,46253
5F,61128
5R,61115
5W,61116
6,60856
6-1 C,46111
6-10C,57743
6-11C,58737
6-2 C,46867
6-3 C,53058
6-5 C,49959
6-6 C,41810
6-8 C,41591
6-9 C,59034
60,66770
601,36489
603,41651
604,44893
605,51475
606,46455
607,58009
608,71405
61,80032
62,97263
63,160444
64,79249
640,66266
641,72529
642,54574
649,53417
65,70968
650,53472
659,48553
66,43968
660,48324
67,81026
68,104809
682,63319
69,103714
694,49004
6A,54113
6B,58811
6C,58191
6D,54333
7,62507
7-1 C,40072
7-10C,62233
7-11C,44378
7-12C,63518
7-13C,81023
7-14C,80920
7-3 C,45926
7-4 C,45706
7-5 C,41318
7-6 C,64406
7-7 C,61829
7-8 C,54666
7-9 C,58016
70,97331
701,51403
702,41165
703,45952
705,46183
706,62544
707,66778
708,63761
709,67056
71,72219
713,73690
714A1,37362
714A2,55802
714A3,61805
714A4,50103
714A5,57274
714A6,59239
714BN,57848
714BW,56952
715,59822
716,47218
718A,60509
718B,73693
72,44536
729,47567
73,89278
730,54953
731,55770
732,47599
733,61231
734,57794
735,64067
736N,61897
736S,90836
737,76387
738,69209
739,86692
74,48942
740,84100
75,70878
76,59565
77,64038
78,80151
784,70569
785,66601
79,105899
7A,78853
7B,43911
7C,37654
8,74672
8-1 C,57197
8-10C,46002
8-11C,32720
8-12C,53215
8-13C,69905
8-15C,40124
8-2 C,49816
8-3 C,52581
8-5 C,49077
8-6 C,50074
8-7 C,57977
8-8 C,59476
8-9 C,52696
80,77152
801,58082
801B,58033
802,56852
803,52820
804,54767
804H,56515
805,44961
806,71357
807,52172
808,64840
809,58619
81,56190
810,57975
82,61473
824,43105
83,78338
833,46062
84,80149
849-A,47930
849-B,48491
85,72473
856,49868
86,48617
87,73107
870,37345
871,45190
872,51755
874,56106
88,53055
89,88172
8A,59032
8B,79406
8C,37218
9,67575
90,55754
901,55118
91,70269
917,57658
92,101528
925,36690
93,115568
934,61224
94,72321
940,61144
944,66645
947,51052
948,54498
95,80508
953,57712
954,58772
955,54681
96,110562
960,68982
961,49669
962,61080
968,47699
97,63479
973,50444
974,74226
98,86673
980,47160
99,62482
990,45719
998,41496
A,39534
AA,63514
AB,109245
AC1A,86822
AC1B,56086
AC1C,79261
AD,158115
AD01,96415
AE,74590
AF,42598
AG,129819
AH,94506
AI,86694
AN,38728
ANNEX,52675
ANNX,66712
AP01A,116362
AP01B,84924
AP01C,111981
AP01D,81208
AP021,110964
AP022,61703
AP02B,61688
AP03,57524
AP04A,138916
AP04B,178999
AP05,158829
AP06,112073
AP07A,90815
AP07B,138582
AP09A,105683
AP09B,116291
AP10,169473
AP12A,97393
AP12B,163784
AP12C,85319
AP13,140187
AP14,118323
ARABI,34840
AU1A,60002
B,48677
B1,67668
B2,68161
BA,66803
BB,52492
BC,88349
BCCC,59353
BD,156152
BE,83590
BF,58379
BF02,88528
BF03,77398
BG,82528
BG01,69230
BG02,101309
BH,70700
BI,123218
BJ,69623
BK01,83207
BL,67387
BLAC,38770
BLCK,110762
BM,53802
BMS,90668
BOYN,74694
BR,56952
BR01,81791
BR02,88925
BT,56388
BT01,48085
BT02,40863
BV,52704
BW01,92397
C,49658
C04,49108
C05,42497
C1,65072
C1-27,51827
C2-27,46193
C3-27,49952
CA,75743
CA01,67140
CAKT,110740
CB,45020
CC,37874
CD,67673
CE,73462
CEN,47485
CENT,64224
CF,64793
CG,72491
CGTC,81691
CH,72120
CH01,41285
CH02,92678
CH03,91096
CH04A,41286
CH05,41336
CHAM,75393
CHAUN,65279
CI,109903
CJ,79578
CK,37336
CK01,57438
CL,57200
CL01,60505
CL02,67270
CLARK,65664
CM,48397
CN,49761
CO,72645
CO01,64325
COB,95409
COL,50792
COLW,61493
COM,56530
CONEY,44901
COO,62413
CORDE,45767
CP,58014
CP011,40459
CP012,40025
CP01B,80318
CP02,79937
CP04,36685
CP051,51311
CP05B,35061
CP06,57271
CP07A,35060
CP07D,35163
CP081,41402
CP083,41307
CP08A,57407
CQ,48489
CR,68947
CR01,126107
CS,51635
CT,33351
CTY1,48117
CTY2,38071
CTY3,46300
CTY4,46802
CTY5,50728
CTY6,47782
CU,45752
CUBA,49258
