,v_id,avg_income,race
268,089FA,43607,black
269,089FB,171483,white
270,089FC,42018,black
271,089FE,67909,black
272,089FG,63003,black
273,089FJ,49840,black
274,089FK,78747,black
275,089FL,54807,black
276,089FM,62286,black
277,089GA,93174,white
278,089GB,48191,black
279,089GC,52547,black
280,089GD,88920,white
281,089GF,47985,black
282,089HA,47897,black
283,089HB,89523,white
284,089HC,87707,white
285,089HF,65555,
286,089HG,89705,white
287,089HH,61401,black
288,089HI,81545,white
289,089IA,64808,black
290,089IB,39156,black
291,089JA,40439,white
292,089JB,37887,black
293,089KA,41523,black
294,089KB,124115,white
295,089KC,64496,black
296,089KD,76990,black
297,089KE,53212,black
298,089KF,70264,white
299,089LA,117208,white
300,089LB,80141,white
301,089LC,79003,white
302,089LD,49929,black
303,089LE,57284,white
304,089LH,51704,black
305,089LV,94157,white
306,089MA,66879,black
307,089MB,62918,black
308,089MC,51877,black
309,089MD,62216,black
310,089ME,51339,white
311,089MF,63778,black
312,089MG,65123,white
313,089MH,99658,white
314,089MI,50587,black
315,089MJ,57605,hispanic
316,089MK,74627,white
317,089ML,50180,black
318,089MM,43251,black
319,089MN,44608,black
320,089MO,51320,black
321,089MP,65554,black
322,089MQ,160926,white
323,089MR,65430,black
324,089MS,127668,white
325,089MT,60125,white
326,089MU,62661,white
327,089MV,67805,black
328,089MW,99706,white
329,089MZ,39791,black
330,089NB,60298,white
331,089NC,67422,black
332,089ND,107054,white
333,089NF,66045,hispanic
334,089OA,93011,white
335,089OB,48076,hispanic
336,089OK,100216,white
337,089OV,51276,black
338,089PA,40843,black
339,089PB,62635,white
340,089PC,84302,black
341,089PE,46274,black
342,089PF,42807,hispanic
343,089PG,86639,white
344,089PH,70298,black
345,089PI,65050,black
346,089PN,47163,black
347,089PR,39733,black
348,089RA,57570,black
349,089RC,84096,black
350,089RD,91738,white
351,089RE,43103,black
352,089RF,67966,black
353,089RG,41575,black
354,089RH,51345,black
355,089RI,75096,black
356,089RJ,66495,black
357,089RK,55881,black
358,089RL,56721,black
359,089RM,52449,black
360,089RN,100924,white
361,089SA,139829,white
362,089SB,65078,white
363,089SC,51296,black
364,089SD,71317,black
365,089SE,138685,white
366,089SF,81275,hispanic
367,089SG,53390,black
368,089SH,121469,white
369,089SI,48070,black
370,089SJ,42254,black
371,089SK,73972,black
372,089SL,44408,black
373,089SM,64177,black
374,089SN,68433,white
375,089SO,75473,black
376,089SP,51328,black
377,089SQ,66478,black
378,089SR,48357,black
379,089SS,64201,black
380,089ST,71742,black
381,089SU,66453,black
382,089SV,73741,black
383,089TA,47084,black
384,089TC,30357,black
385,089TF,92371,white
386,089TG,107198,white
387,089TH,90446,white
388,089VB,51336,white
389,089WA,43242,black
390,089WB,64478,black
391,089WD,51989,black
392,089WF,101960,white
393,089WG,48170,black
394,089WI,59607,
395,089WJ,79649,
396,089WK,50397,black
397,089WL,121102,white
398,089WN,73140,black
399,089YA,65186,black
400,12101A,87242,white
401,12101B,76623,white
402,12101C1,37301,black
403,12101C2,25973,black
404,12101D,56001,black
405,12101E,88517,
406,12101F,30992,black
407,12101G,49966,black
408,12101J,33628,black
409,12101P,29921,black
410,12101R,17762,black
411,12101S,34001,black
412,12101T,53359,black
413,12102A,52347,white
414,12102B,58125,
415,12102C,28755,white
416,12102D,52498,black
417,12102E,25296,black
418,12102F1,43343,white
419,12102F2,28741,hispanic
420,12102G,59577,black
421,12102J,59377,black
422,12102L1,53181,hispanic
423,12102L2,88072,white
424,12102S,39702,black
425,12102W,93708,white
426,12102X,60674,white
427,12103A,30253,black
428,12103B,29368,black
429,12103C,33826,black
430,12103D,27475,black
431,12103E,21002,black
432,12103G,17020,black
433,12103H,33869,black
434,12103L,54863,black
435,12103M,59903,white
436,12103N,33667,black
437,12103P1,55430,white
438,12103P2,28561,black
439,12103R,39493,black
440,12103S,33889,black
441,12103T,43261,black
442,12103U,29458,black
443,12104A,28338,black
444,12104B,46607,black
445,12104D,34093,black
446,12104E,28806,black
447,12104G,37869,black
448,12104H2,26122,black
449,12104K,35492,black
450,12104L,35896,black
451,12104M,18042,black
452,12104S,49427,black
453,12104T,32641,black
454,12104V,28735,black
455,12104W,47639,black
456,12104X1,32922,black
457,12104X2,33960,black
458,12105A1,42919,black
459,12105A2,67795,black
460,12105B,37270,black
461,12105C,46713,black
462,12106A,46254,white
463,12106B,78003,white
464,12106D,68085,white
465,12106E,68709,white
466,12106F,60525,white
467,12106G,28731,hispanic
468,12106H,58138,white
469,12106J,44212,hispanic
470,12106K,52425,
471,12106L1,94632,white
472,12106L2,94596,white
473,12106R,38468,hispanic
474,12106S,57521,white
475,12107A,158632,white
476,12107B,203391,white
477,12107C,163819,white
478,12107D,121570,white
479,12107E,89742,white
480,12107F,101110,white
481,12107H,113285,white
482,12107J,116188,white
483,12107K1,130535,white
484,12107K2,71451,white
485,12107M,85750,white
486,12107N,63528,
487,12108A,266714,white
488,12108B,210066,white
489,12108C,240648,white
490,12108D,264893,white
491,12108E,223069,white
492,12108F1,210923,white
493,12108G,120699,white
494,12108H,244797,white
495,12108J,141326,white
496,12108K,141258,white
497,12108L,85663,white
498,12108M,138528,white
499,12108N1,208265,white
500,12108N2,208585,white
501,12108P,75640,white
502,12109A,92584,
503,12109B,32759,black
504,12109C,42863,black
505,12109D,27260,black
506,12109E,39766,black
507,12109F,91165,white
508,12109G2,75620,white
