,PRECINCT_N,COUNTY_NAM,avg_income,race,income_bin,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
40,11J,FULTON,35689.0,black,low,11J,1411.0,14.0,1078.0,1096.0,0.0127737226277,0.983576642336,FULTON,both
41,EP10B,FULTON,53673.0,black,mid,EP10B,575.0,18.0,455.0,475.0,0.0378947368421,0.957894736842,FULTON,both
42,SC23A,FULTON,55638.0,black,mid,SC23A,4137.0,76.0,2980.0,3062.0,0.0248203788374,0.97322011757,FULTON,both
43,RIVERDALE 11,CLAYTON,67740.0,black,mid,RIVERDALE 11,1679.0,70.0,1119.0,1191.0,0.0587741393787,0.939546599496,CLAYTON,both
44,SC27,FULTON,41364.0,black,low,SC27,1869.0,32.0,1391.0,1426.0,0.0224403927069,0.975455820477,FULTON,both
46,SC29A,FULTON,40339.0,black,low,SC29A,2355.0,24.0,1739.0,1770.0,0.0135593220339,0.982485875706,FULTON,both
47,SC23B,FULTON,57864.0,black,mid,SC23B,417.0,14.0,300.0,315.0,0.0444444444444,0.952380952381,FULTON,both
48,SC09B,FULTON,40395.0,black,low,SC09B,1371.0,19.0,1029.0,1050.0,0.0180952380952,0.98,FULTON,both
49,SC11B,FULTON,54614.0,black,mid,SC11B,1247.0,11.0,941.0,955.0,0.0115183246073,0.985340314136,FULTON,both
50,SC11A,FULTON,54551.0,black,mid,SC11A,1331.0,18.0,1009.0,1028.0,0.0175097276265,0.981517509728,FULTON,both
51,UC033,FULTON,43303.0,black,low,UC033,35.0,3.0,24.0,27.0,0.111111111111,0.888888888889,FULTON,both
52,SC08D,FULTON,40826.0,black,low,SC08D,409.0,5.0,301.0,306.0,0.016339869281,0.983660130719,FULTON,both
53,UC01B,FULTON,40409.0,black,low,UC01B,229.0,4.0,149.0,153.0,0.0261437908497,0.97385620915,FULTON,both
54,SC09A,FULTON,41222.0,black,low,SC09A,2730.0,57.0,1868.0,1929.0,0.0295489891135,0.968377397615,FULTON,both
55,SC10,FULTON,42571.0,black,low,SC10,1386.0,18.0,836.0,854.0,0.0210772833724,0.978922716628,FULTON,both
56,CP081,FULTON,42597.0,black,low,CP081,245.0,2.0,132.0,134.0,0.0149253731343,0.985074626866,FULTON,both
57,UC01A,FULTON,52129.0,black,mid,UC01A,3087.0,58.0,1995.0,2056.0,0.0282101167315,0.9703307393,FULTON,both
58,UC031,FULTON,49883.0,black,low,UC031,1327.0,116.0,740.0,858.0,0.135198135198,0.862470862471,FULTON,both
59,SC08E,FULTON,52344.0,black,mid,SC08E,252.0,1.0,187.0,189.0,0.00529100529101,0.989417989418,FULTON,both
60,SC29B,FULTON,52104.0,black,mid,SC29B,134.0,4.0,96.0,100.0,0.04,0.96,FULTON,both
61,SC08B,FULTON,44242.0,black,low,SC08B,2876.0,73.0,2023.0,2103.0,0.0347123157394,0.961959106039,FULTON,both
62,SC07A,FULTON,72219.0,black,mid,SC07A,3789.0,359.0,2566.0,2932.0,0.1224420191,0.87517053206,FULTON,both
63,CH03,FULTON,35022.0,white,low,CH03,289.0,173.0,60.0,234.0,0.739316239316,0.25641025641,FULTON,both
64,CH02,FULTON,34988.0,white,low,CH02,286.0,94.0,120.0,216.0,0.435185185185,0.555555555556,FULTON,both
65,CH01,FULTON,35067.0,white,low,CH01,214.0,39.0,95.0,135.0,0.288888888889,0.703703703704,FULTON,both
66,SC04,FULTON,43601.0,white,low,SC04,818.0,316.0,330.0,649.0,0.486902927581,0.508474576271,FULTON,both
67,JONESBORO 18,CLAYTON,56380.0,black,mid,JONESBORO 18,2644.0,244.0,1401.0,1656.0,0.147342995169,0.846014492754,CLAYTON,both
68,JONESBORO 11,CLAYTON,70799.0,black,mid,JONESBORO 11,3305.0,614.0,1670.0,2303.0,0.266608771168,0.725141120278,CLAYTON,both
69,JONESBORO 7,CLAYTON,63803.0,black,mid,JONESBORO 7,2771.0,402.0,1465.0,1876.0,0.214285714286,0.78091684435,CLAYTON,both
70,JONESBORO 6,CLAYTON,95494.0,white,mid,JONESBORO 6,2224.0,973.0,696.0,1691.0,0.575399172088,0.41159077469,CLAYTON,both
71,CH05,FULTON,35023.0,white,low,CH05,346.0,235.0,43.0,280.0,0.839285714286,0.153571428571,FULTON,both
72,CH04A,FULTON,35107.0,white,low,CH04A,372.0,195.0,100.0,298.0,0.654362416107,0.335570469799,FULTON,both
73,RIVERDALE 2,CLAYTON,45682.0,black,low,RIVERDALE 2,2986.0,64.0,1691.0,1760.0,0.0363636363636,0.960795454545,CLAYTON,both
74,JONESBORO 12,CLAYTON,51060.0,black,mid,JONESBORO 12,2429.0,116.0,1359.0,1476.0,0.0785907859079,0.920731707317,CLAYTON,both
75,RIVERDALE 12,CLAYTON,55731.0,black,mid,RIVERDALE 12,2657.0,108.0,1686.0,1798.0,0.0600667408231,0.937708565072,CLAYTON,both
