,ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race,XCOORD,YCOORD,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge,income_bin
22,4743397.0,470.0,063JB08,JB08,JONESBORO 8,31.0,CLAYTON,63.0,14.0,47459.0,black,-84.278378,33.556307,JONESBORO 8,3312.0,138.0,1634.0,1780.0,0.0775280898876,0.91797752809,CLAYTON,both,low
23,4743462.0,494.0,063MO8,MO8,MORROW 8,31.0,CLAYTON,63.0,38.0,60025.0,black,-84.276461,33.568855,MORROW 8,2419.0,112.0,1561.0,1679.0,0.066706372841,0.929720071471,CLAYTON,both,mid
24,4743511.0,491.0,063MO5,MO5,MORROW 5,31.0,CLAYTON,63.0,35.0,62479.0,black,-84.269911,33.593436,MORROW 5,4066.0,442.0,2427.0,2884.0,0.153259361997,0.841539528433,CLAYTON,both,mid
25,4646566.0,508.0,063RD07,RD07,RIVERDALE 7,31.0,CLAYTON,63.0,52.0,41924.0,black,-84.39076,33.582276,RIVERDALE 7,2311.0,143.0,962.0,1112.0,0.128597122302,0.865107913669,CLAYTON,both,low
26,4646631.0,459.0,063FP3,FP3,FOREST PARK 3,31.0,CLAYTON,63.0,3.0,40214.0,black,-84.390084,33.614651,FOREST PARK 3,2048.0,250.0,850.0,1101.0,0.227066303361,0.772025431426,CLAYTON,both,low
27,4646732.0,507.0,063RD06,RD06,RIVERDALE 6,31.0,CLAYTON,63.0,51.0,38543.0,black,-84.371785,33.571033,RIVERDALE 6,3061.0,242.0,1338.0,1593.0,0.151914626491,0.839924670433,CLAYTON,both,low
28,4646805.0,477.0,063JB15,JB15,JONESBORO 15,31.0,CLAYTON,63.0,21.0,41310.0,black,-84.355757,33.565054,JONESBORO 15,2562.0,148.0,1125.0,1279.0,0.115715402658,0.879593432369,CLAYTON,both,low
29,4646876.0,461.0,063FP5,FP5,FOREST PARK 5,31.0,CLAYTON,63.0,5.0,38031.0,,-84.374529,33.594664,FOREST PARK 5,3173.0,316.0,1286.0,1615.0,0.195665634675,0.796284829721,CLAYTON,both,low
30,4646946.0,462.0,063FP6,FP6,FOREST PARK 6,31.0,CLAYTON,63.0,6.0,44360.0,,-84.352956,33.589724,FOREST PARK 6,1230.0,220.0,497.0,721.0,0.305131761442,0.68932038835,CLAYTON,both,low
31,4640815.0,505.0,063RD04,RD04,RIVERDALE 4,31.0,CLAYTON,63.0,49.0,51116.0,black,-84.398593,33.569526,RIVERDALE 4,3900.0,224.0,2047.0,2276.0,0.0984182776801,0.899384885764,CLAYTON,both,mid
