Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county
CLARKDALE 01,1412,462,532,1011,0.456973293769,0.526211671612,COBB
CLARKDALE 02,3968,1028,1956,3013,0.341188184534,0.649186856953,COBB
COOPER 01,3808,730,1955,2702,0.270170244264,0.723538119911,COBB
CHESTNUT RIDGE 01,2856,1715,540,2303,0.744680851064,0.234476769431,COBB
DICKERSON 01,2569,1403,601,2034,0.689773844641,0.295476892822,COBB
DOBBINS 01,2860,357,1508,1885,0.189389920424,0.8,COBB
DOWELL 01,2725,1316,811,2165,0.607852193995,0.374595842956,COBB
DODGEN 01,1920,1083,379,1489,0.727333781061,0.254533243788,COBB
DURHAM 01,3453,2187,534,2747,0.796141244995,0.194393884237,COBB
DAVIS 01,1777,941,423,1395,0.674551971326,0.303225806452,COBB
EASTSIDE 01,2616,1504,556,2103,0.715168806467,0.264384213029,COBB
EASTSIDE 02,3580,2017,859,2928,0.688866120219,0.29337431694,COBB
ELIZABETH 01,2837,787,913,1728,0.455439814815,0.528356481481,COBB
ELIZABETH 02,1884,936,492,1458,0.641975308642,0.337448559671,COBB
ELIZABETH 03,1757,935,422,1396,0.669770773639,0.30229226361,COBB
ELIZABETH 04,2244,760,785,1570,0.484076433121,0.5,COBB
ELIZABETH 05,2529,1203,735,1974,0.609422492401,0.372340425532,COBB
EAST PIEDMONT 01,1975,772,640,1440,0.536111111111,0.444444444444,COBB
FAIR OAKS 01,3128,660,1530,2212,0.298372513562,0.691681735986,COBB
FAIR OAKS 02,3395,686,1497,2212,0.310126582278,0.676763110307,COBB
FAIR OAKS 04,1802,487,638,1146,0.424956369983,0.556719022688,COBB
FAIR OAKS 05,1445,306,477,800,0.3825,0.59625,COBB
FULLERS PARK 01,2980,1588,733,2355,0.674309978769,0.311252653928,COBB
FORD 01,2665,1640,400,2058,0.796890184645,0.19436345967,COBB
FREY 01,1977,1139,388,1548,0.735788113695,0.250645994832,COBB
GARRISON MILL 01,2489,1307,585,1929,0.67755313634,0.303265940902,COBB
GRITTERS 01,2000,950,496,1483,0.640593391773,0.334457181389,COBB
HARMONY-LELAND 01,4350,840,2421,3285,0.255707762557,0.73698630137,COBB
HARRISON 01,2397,1477,372,1882,0.784803400638,0.197662061637,COBB
HIGHTOWER 01,2908,1599,645,2280,0.701315789474,0.282894736842,COBB
HAYES 01,3382,1949,646,2634,0.739939255885,0.245254365983,COBB
KENNESAW 1A,1588,640,435,1099,0.582347588717,0.395814376706,COBB
KENNESAW 2A,3553,944,1360,2338,0.40376390077,0.581693755346,COBB
KENNESAW 2B,3162,1348,848,2242,0.601248884924,0.378233719893,COBB
KENNESAW 3A,1333,475,358,853,0.556858147714,0.419695193435,COBB
KENNESAW 4A,2104,842,602,1490,0.565100671141,0.404026845638,COBB
KENNESAW 5A,2715,1336,705,2083,0.641382621219,0.338454152664,COBB
KENNESAW 5B,2755,1149,937,2117,0.542749173359,0.442607463392,COBB
KELL 01,1761,946,408,1385,0.683032490975,0.294584837545,COBB
KEMP 01,1743,1046,309,1380,0.757971014493,0.223913043478,COBB
KEMP 02,3180,1695,811,2547,0.665488810365,0.318413820181,COBB
KEMP 03,1712,1128,248,1391,0.810927390367,0.178289000719,COBB
LASSITER 01,3035,1778,573,2392,0.743311036789,0.239548494983,COBB
LINDLEY 01,3751,1134,1743,2935,0.386371379898,0.593867120954,COBB
LOST MOUNTAIN 01,2712,1656,541,2222,0.745274527453,0.243474347435,COBB
LOST MOUNTAIN 02,3632,2322,501,2863,0.811037373385,0.174991267901,COBB
LOST MOUNTAIN 03,3473,2007,740,2780,0.721942446043,0.26618705036,COBB
LOST MOUNTAIN 04,2160,1308,392,1720,0.760465116279,0.227906976744,COBB
LEWIS 01,1318,735,293,1042,0.70537428023,0.281190019194,COBB
MABLETON 01,3767,1156,1696,2881,0.401249566123,0.588684484554,COBB
MABLETON 02,2119,555,895,1465,0.378839590444,0.610921501706,COBB
MABLETON 03,2366,959,787,1782,0.538159371493,0.441638608305,COBB
MABLETON 04,1345,702,353,1082,0.648798521257,0.326247689464,COBB
MABRY 01,1598,966,287,1269,0.761229314421,0.226162332545,COBB
MACLAND 01,2970,773,1415,2212,0.349457504521,0.639692585895,COBB
MURDOCK 01,3493,1928,789,2782,0.693026599569,0.28360891445,COBB
MCEACHERN 01,2433,1017,848,1888,0.538665254237,0.449152542373,COBB
MCCLESKEY 01,1578,867,372,1268,0.683753943218,0.293375394322,COBB
MCCLURE 01,1381,825,260,1102,0.748638838475,0.235934664247,COBB
MARIETTA 1A,2421,396,1191,1621,0.244293645898,0.734731647131,COBB
MARIETTA 2A,2496,1155,723,1901,0.607574960547,0.380326144135,COBB
MARIETTA 2B,3865,1266,1624,2914,0.43445435827,0.557309540151,COBB
MARIETTA 3A,3544,1177,1257,2481,0.474405481661,0.506650544135,COBB
MARIETTA 4A,1881,1244,321,1593,0.78091650973,0.201506591337,COBB
MARIETTA 4B,2316,802,702,1537,0.521795705921,0.456733897202,COBB
MARIETTA 4C,2612,1465,618,2104,0.696292775665,0.293726235741,COBB
MARIETTA 5A,1528,299,766,1082,0.276340110906,0.707948243993,COBB
MARIETTA 5B,1755,304,750,1065,0.28544600939,0.704225352113,COBB
MARIETTA 6A,2026,272,874,1172,0.232081911263,0.745733788396,COBB
MARIETTA 6B,2379,1092,719,1833,0.595744680851,0.392253136934,COBB
MARIETTA 7A,2873,313,1266,1597,0.195992485911,0.792736380714,COBB
MARS HILL 01,2584,1567,363,1956,0.801124744376,0.185582822086,COBB
MARS HILL 02,2268,1014,587,1631,0.621704475782,0.359901900674,COBB
MT BETHEL 01,3786,2163,748,2977,0.726570372859,0.251259657373,COBB
MT BETHEL 03,2587,1362,588,1975,0.689620253165,0.297721518987,COBB
MT BETHEL 04,2695,1573,564,2168,0.725553505535,0.260147601476,COBB
NORTH COBB 01,1776,825,494,1335,0.61797752809,0.370037453184,COBB
NICKAJACK 01,3456,952,1504,2494,0.381716118685,0.603047313553,COBB
NORTON PARK 01,3361,1178,1156,2394,0.492063492063,0.482873851295,COBB
NICHOLSON 01,2167,1051,543,1626,0.646371463715,0.333948339483,COBB
OAKDALE 01,3068,1309,989,2324,0.563253012048,0.425559380379,COBB
OREGON 01,1430,832,324,1175,0.708085106383,0.275744680851,COBB
OREGON 02,2590,638,1275,1927,0.331084587442,0.661650233524,COBB
OREGON 03,2689,673,1106,1799,0.3740967204,0.614785992218,COBB
OREGON 04,2527,479,1366,1865,0.256836461126,0.732439678284,COBB
OREGON 05,3067,1309,1115,2447,0.534940743768,0.455659991827,COBB
OREGON 06,2311,619,1180,1818,0.340484048405,0.649064906491,COBB
PEBBLEBROOK 01,3873,559,2294,2874,0.19450243563,0.798190675017,COBB
POWERS FERRY 01,2984,1367,811,2230,0.613004484305,0.363677130045,COBB
PINE MOUNTAIN 01,2467,1624,388,2036,0.797642436149,0.190569744597,COBB
PINE MOUNTAIN 02,2402,1641,307,1982,0.827951564077,0.154894046418,COBB
POST OAK 01,3131,1783,601,2421,0.736472532012,0.248244527055,COBB
POPE 01,2733,1444,632,2123,0.680169571361,0.29769194536,COBB
PALMER 01,2255,1149,524,1722,0.66724738676,0.304297328688,COBB
POWDER SPRINGS 1A,3880,1184,1722,2942,0.402447314752,0.585316111489,COBB
POWDER SPRINGS 2A,2234,339,1278,1628,0.208230958231,0.785012285012,COBB
POWDER SPRINGS 3A,2538,697,1195,1903,0.366263794009,0.62795585917,COBB
PITNER 01,1671,823,365,1222,0.67348608838,0.298690671031,COBB
ROCKY MOUNT 01,2881,1604,644,2283,0.702584318879,0.282084975909,COBB
RED ROCK 01,2125,1403,297,1731,0.810514153668,0.17157712305,COBB
RIVERSIDE 01,1450,88,918,1007,0.0873882820258,0.911618669315,COBB
ROSWELL 01,2637,1473,622,2135,0.689929742389,0.291334894614,COBB
ROSWELL 02,3393,1812,756,2605,0.695585412668,0.290211132438,COBB
SANDY PLAINS 01,2339,1117,629,1779,0.627880831928,0.353569421023,COBB
SHALLOWFORD FALLS 01,2950,1616,694,2350,0.687659574468,0.295319148936,COBB
SIMPSON 01,1704,924,383,1321,0.69947009841,0.289931869796,COBB
SEWELL MILL 01,2913,1537,671,2253,0.682201509099,0.297825122059,COBB
SEWELL MILL 03,3838,1352,1211,2622,0.515636918383,0.461861174676,COBB
SMYRNA 1A,3123,629,1433,2092,0.300669216061,0.684990439771,COBB
SMYRNA 2A,2239,598,901,1532,0.390339425587,0.588120104439,COBB
SMYRNA 2B,1751,288,843,1142,0.252189141856,0.738178633975,COBB
SMYRNA 3A,2970,849,1207,2094,0.405444126074,0.576408787011,COBB
SMYRNA 4A,3668,1347,1325,2721,0.495038588754,0.486953325983,COBB
SMYRNA 5A,3070,749,1215,2007,0.373193821624,0.605381165919,COBB
SMYRNA 6A,4446,1697,1607,3374,0.502963841138,0.476289270895,COBB
SMYRNA 7A,2758,1406,774,2225,0.63191011236,0.347865168539,COBB
SMYRNA 7B,5279,1996,2105,4170,0.478657074341,0.50479616307,COBB
SOPE CREEK 01,2003,1142,468,1642,0.695493300853,0.285018270402,COBB
SOPE CREEK 02,3854,1847,1015,2912,0.634271978022,0.348557692308,COBB
SOPE CREEK 03,2533,1397,469,1901,0.734876380852,0.246712256707,COBB
SWEETWATER 01,2460,952,1008,1969,0.483494159472,0.511934992382,COBB
SWEETWATER 02,2452,435,1166,1614,0.269516728625,0.722428748451,COBB
SPRAYBERRY 01,2152,1084,524,1650,0.65696969697,0.317575757576,COBB
TERRELL MILL 01,4171,1011,1849,2895,0.349222797927,0.638687392055,COBB
TIMBER RIDGE 01,2346,1309,516,1871,0.69962586852,0.275788348477,COBB
TRITT 01,3206,1827,708,2582,0.707591014717,0.274206041828,COBB
VAUGHAN 01,2777,1703,451,2189,0.777980813157,0.206030150754,COBB
VININGS 01,1560,603,500,1122,0.53743315508,0.445632798574,COBB
VININGS 02,4811,1444,1820,3322,0.434677904877,0.547862733293,COBB
VININGS 03,3321,1255,1282,2566,0.489088074825,0.499610288387,COBB
VININGS 04,2904,1567,738,2341,0.669372063221,0.315249893208,COBB
WADE GREEN 01,2624,1227,714,1982,0.619071644803,0.360242179617,COBB
WADE GREEN 02,1849,735,615,1374,0.534934497817,0.447598253275,COBB
WILLEO 01,2645,1509,552,2099,0.718913768461,0.262982372558,COBB
TOTALS:,415314,171722,133124,309870,0.554174331171,0.429612418111,COBB
ALLGOOD ELEM,2246,180,1628,1817,0.0990643918547,0.895982388553,DEKALB
ASHFORD DUNWOODY RD,2408,1183,757,1965,0.60203562341,0.38524173028,DEKALB
ASHFORD PARK ELEM,2025,1016,538,1590,0.638993710692,0.338364779874,DEKALB
ASHFORD PARKSIDE,2412,1053,788,1872,0.5625,0.42094017094,DEKALB
AUSTIN,2269,1403,489,1919,0.731109953101,0.254820218864,DEKALB
AUSTIN DRIVE,1874,54,1221,1281,0.0421545667447,0.953161592506,DEKALB
AVONDALE,2199,713,1102,1847,0.386031402274,0.596643205198,DEKALB
AVONDALE HIGH,2774,333,1624,2014,0.165342601787,0.80635551142,DEKALB
BETHUNE MIDDLE,3581,56,2544,2603,0.0215136381099,0.977333845563,DEKALB
BOULDERCREST RD,1547,44,1185,1229,0.0358014646054,0.964198535395,DEKALB
BOULEVARD,3636,326,2216,2610,0.124904214559,0.849042145594,DEKALB
BRIAR VISTA ELEM,2435,517,1053,1610,0.321118012422,0.654037267081,DEKALB
BRIARCLIFF,1861,665,679,1374,0.483988355167,0.494177583697,DEKALB
BRIARLAKE ELEM,1541,674,546,1239,0.54398708636,0.440677966102,DEKALB
BRIARWOOD,1934,641,661,1331,0.481592787378,0.496619083396,DEKALB
BROCKETT,2144,826,1097,1951,0.423372629421,0.562275756023,DEKALB
BROCKETT ELEM,2238,506,772,1311,0.385964912281,0.588863463005,DEKALB
BROOKHAVEN,2510,1089,729,1858,0.586114101184,0.39235737352,DEKALB
BROWNS MILL ELEM,3121,82,2437,2527,0.0324495449149,0.964384645825,DEKALB
BURGESS ELEM,2392,179,1504,1734,0.103229527105,0.867358708189,DEKALB
CANBY LANE ELEM,1626,27,1214,1244,0.0217041800643,0.975884244373,DEKALB
CANDLER,2730,80,1654,1749,0.0457404230989,0.94568324757,DEKALB
CANDLER-MURPHEY CANDLER ELEM,2273,137,1630,1767,0.07753254103,0.92246745897,DEKALB
CEDAR GROVE ELEM,3299,60,2364,2435,0.0246406570842,0.970841889117,DEKALB
CEDAR GROVE MIDDLE,1513,17,973,990,0.0171717171717,0.982828282828,DEKALB
CEDAR GROVE SOUTH,3008,73,2525,2600,0.0280769230769,0.971153846154,DEKALB
CHAMBLEE ,2761,885,1051,1981,0.446744068652,0.530540131247,DEKALB
CHAPEL HILL ELEM,2696,41,2104,2147,0.0190964136004,0.979972054029,DEKALB
CHESNUT ELEM,1996,506,864,1389,0.364290856731,0.622030237581,DEKALB
CLAIREMONT EAST,2495,549,1371,1976,0.277834008097,0.693825910931,DEKALB
CLAIREMONT WEST,2729,627,1510,2178,0.287878787879,0.693296602388,DEKALB
CLAIRMONT HILLS,2765,641,1257,1929,0.332296526698,0.651632970451,DEKALB
CLARKSTON,2569,189,1357,1561,0.121076233184,0.86931454196,DEKALB
CLIFTON ELEM,1320,31,985,1018,0.0304518664047,0.967583497053,DEKALB
COAN MIDDLE,3047,203,1739,1989,0.102061337355,0.874308697838,DEKALB
COLUMBIA DRIVE,1966,22,1337,1361,0.0161645848641,0.982365907421,DEKALB
COLUMBIA ELEM,1362,13,835,851,0.0152761457109,0.981198589894,DEKALB
COLUMBIA MIDDLE,1726,19,1078,1102,0.0172413793103,0.978221415608,DEKALB
CORALWOOD,2750,923,1243,2200,0.419545454545,0.565,DEKALB
COVINGTON,2028,153,1015,1186,0.129005059022,0.855817875211,DEKALB
COVINGTON HWY LIBRARY,957,5,402,407,0.012285012285,0.987714987715,DEKALB
CROSS KEYS HIGH,1778,589,604,1211,0.48637489678,0.498761354253,DEKALB
CROSSROADS,2391,66,1734,1807,0.0365246264527,0.95960154953,DEKALB
DORAVILLE NORTH,2156,423,884,1337,0.316379955123,0.661181750187,DEKALB
DORAVILLE SOUTH,1031,254,441,713,0.356241234222,0.618513323983,DEKALB
DRESDEN ELEM,2586,585,1047,1682,0.347800237812,0.622473246136,DEKALB
DRUID HILLS HIGH,2453,394,991,1408,0.279829545455,0.703835227273,DEKALB
DUNAIRE ELEM,1638,161,1033,1203,0.133832086451,0.858686616791,DEKALB
DUNWOODY,2782,958,838,1827,0.524356869184,0.458675424193,DEKALB
DUNWOODY ELEM,1701,978,406,1399,0.699070764832,0.290207290922,DEKALB
DUNWOODY LIBRARY,2235,1383,506,1917,0.721439749609,0.26395409494,DEKALB
EAST LAKE ELEM,3176,221,1988,2225,0.0993258426966,0.893483146067,DEKALB
EMBRY HILLS,1708,623,669,1318,0.472685887709,0.507587253414,DEKALB
EMORY ROAD,997,151,375,537,0.281191806331,0.698324022346,DEKALB
EMORY SOUTH,3017,737,1357,2136,0.345037453184,0.635299625468,DEKALB
EPWORTH,3432,501,2106,2666,0.187921980495,0.789947486872,DEKALB
EVANSDALE ELEM,2462,777,1016,1824,0.425986842105,0.55701754386,DEKALB
FAIRINGTON ELEM,3751,39,2552,2593,0.0150404936367,0.984188198997,DEKALB
FERNBANK ELEM,2130,505,1164,1700,0.297058823529,0.684705882353,DEKALB
FLAKES MILL FIRE STATION,1588,34,1176,1210,0.0280991735537,0.971900826446,DEKALB
FLAT ROCK ELEM,2398,54,1853,1912,0.0282426778243,0.969142259414,DEKALB
FLAT SHOALS,1803,16,1175,1193,0.0134115674769,0.984911986588,DEKALB
FLAT SHOALS ELEM,1841,17,1338,1359,0.0125091979397,0.984547461369,DEKALB
FLAT SHOALS LIBRARY,2005,27,1404,1433,0.0188415910677,0.97976273552,DEKALB
FLAT SHOALS PARKWAY,2860,51,2210,2268,0.0224867724868,0.97442680776,DEKALB
FREEDOM MIDDLE,2410,172,1560,1736,0.0990783410138,0.898617511521,DEKALB
GEORGETOWN SQUARE,3413,1124,1133,2296,0.489547038328,0.493466898955,DEKALB
GLENHAVEN,1301,96,918,1021,0.0940254652302,0.899118511263,DEKALB
GLENNWOOD,1766,265,952,1241,0.213537469782,0.767123287671,DEKALB
GLENWOOD ROAD,1589,51,971,1024,0.0498046875,0.9482421875,DEKALB
GRESHAM ROAD,2467,89,1675,1789,0.0497484628284,0.93627724986,DEKALB
HAMBRICK ELEM,2667,234,1610,1857,0.126009693053,0.866989768444,DEKALB
HARRIS-MARGARET HARRIS ED,2034,396,926,1355,0.292250922509,0.683394833948,DEKALB
HARRIS-NARVIE J. HARRIS ELEM,3036,27,2318,2350,0.0114893617021,0.986382978723,DEKALB
HAWTHORNE ELEM,3222,739,1514,2292,0.32242582897,0.660558464223,DEKALB
