President of the United States,,,,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,,BARACK OBAMA (I) D,,,,,,GARY JOHNSON (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Total
Kell 01,1761,617,80,44,204,1,946,297,18,27,66,0,408,29,0,0,2,0,31,1385
Kemp 01,1743,569,76,179,221,1,1046,180,28,57,43,1,309,19,3,1,2,0,25,1380
Kemp 02,3180,964,138,271,321,1,1695,393,34,258,125,1,811,33,2,2,4,0,41,2547
Kemp 03,1712,595,90,117,326,0,1128,111,19,42,76,0,248,14,0,0,1,0,15,1391
Lassiter 01,3035,1080,181,138,378,1,1778,369,40,56,106,2,573,38,3,0,0,0,41,2392
Lindley 01,3751,657,95,38,341,3,1134,762,69,209,699,4,1743,46,3,2,7,0,58,2935
Lost Mountain 01,2712,654,124,186,692,0,1656,216,27,86,212,0,541,18,3,0,3,1,25,2222
Lost Mountain 02,3632,1285,239,205,589,4,2322,286,48,75,92,0,501,28,6,1,4,1,40,2863
Lost Mountain 03,3473,764,137,181,923,2,2007,292,35,106,306,1,740,19,4,2,8,0,33,2780
Lost Mountain 04,2160,745,119,138,300,6,1308,214,28,72,77,1,392,18,1,0,1,0,20,1720
Lewis 01,1318,457,55,52,169,2,735,170,29,37,56,1,293,10,1,0,3,0,14,1042
Mableton 01,3767,487,174,94,400,1,1156,714,88,258,630,6,1696,17,7,2,3,0,29,2881
Mableton 02,2119,300,51,23,180,1,555,478,33,89,294,1,895,12,0,0,3,0,15,1465
Mableton 03,2366,494,90,40,333,2,959,409,30,69,272,7,787,26,4,2,4,0,36,1782
Mableton 04,1345,358,77,43,224,0,702,184,26,25,116,2,353,18,4,2,3,0,27,1082
Mabry 01,1598,649,79,54,182,2,966,202,42,18,24,1,287,12,0,1,3,0,16,1269
Macland 01,2970,457,71,88,157,0,773,719,63,363,265,5,1415,17,0,5,2,0,24,2212
Murdock 01,3493,1309,160,152,303,4,1928,569,73,66,81,0,789,54,5,2,4,0,65,2782
McEachern 01,2433,566,80,92,279,0,1017,409,46,190,202,1,848,16,2,0,5,0,23,1888
McCleskey 01,1578,528,72,50,217,0,867,233,25,22,91,1,372,23,5,0,1,0,29,1268
McClure 01,1381,516,48,67,192,2,825,163,15,34,47,1,260,16,0,0,1,0,17,1102
Marietta 1A,2421,211,31,124,30,0,396,600,64,404,98,25,1191,27,1,3,2,1,34,1621
Marietta 2A,2496,588,119,432,16,0,1155,389,50,276,7,1,723,17,0,6,0,0,23,1901
Marietta 2B,3865,668,154,422,20,2,1266,798,114,646,59,7,1624,15,5,4,0,0,24,2914
Marietta 3A,3544,645,98,418,15,1,1177,638,66,512,39,2,1257,36,4,7,0,0,47,2481
Marietta 4A,1881,637,120,469,18,0,1244,178,38,100,5,0,321,20,1,7,0,0,28,1593
Marietta 4B,2316,432,110,230,27,3,802,419,40,200,43,0,702,26,2,5,0,0,33,1537
Marietta 4C,2612,650,148,576,89,2,1465,292,40,261,23,2,618,15,2,4,0,0,21,2104
Marietta 5A,1528,136,68,87,7,1,299,381,170,206,7,2,766,12,1,3,0,1,17,1082
Marietta 5B,1755,178,29,78,16,3,304,431,56,227,32,4,750,9,0,1,0,1,11,1065
Marietta 6A,2026,159,24,74,14,1,272,477,33,315,43,6,874,20,1,5,0,0,26,1172
Marietta 6B,2379,745,63,186,98,0,1092,433,38,182,63,3,719,16,2,3,1,0,22,1833
Marietta 7A,2873,163,35,105,10,0,313,661,72,500,23,10,1266,16,0,2,0,0,18,1597
Mars Hill 01,2584,1050,105,93,318,1,1567,249,25,19,70,0,363,20,4,0,2,0,26,1956
Mars Hill 02,2268,647,53,73,240,1,1014,328,31,55,173,0,587,19,2,1,8,0,30,1631
Mt Bethel 01,3786,1380,251,92,437,3,2163,473,63,54,157,1,748,50,9,1,5,1,66,2977
Mt Bethel 03,2587,718,148,56,440,0,1362,345,50,32,161,0,588,19,0,1,5,0,25,1975
Mt Bethel 04,2695,899,201,93,376,4,1573,351,52,31,129,1,564,23,4,0,4,0,31,2168
North Cobb 01,1776,556,42,42,184,1,825,284,19,44,146,1,494,15,0,0,1,0,16,1335
Nickajack 01,3456,627,73,52,200,0,952,777,91,211,420,5,1504,33,1,1,3,0,38,2494
Norton Park 01,3361,677,132,125,243,1,1178,684,57,187,223,5,1156,50,3,1,6,0,60,2394
Nicholson 01,2167,639,76,50,284,2,1051,340,34,49,119,1,543,23,4,0,5,0,32,1626
Oakdale 01,3068,818,142,89,259,1,1309,521,82,132,252,2,989,21,1,2,2,0,26,2324
Oregon 01,1430,434,61,115,221,1,832,173,20,60,70,1,324,13,2,0,4,0,19,1175
Oregon 02,2590,364,74,119,79,2,638,716,66,342,148,3,1275,10,1,2,1,0,14,1927
Oregon 03,2689,319,94,223,35,2,673,571,46,430,50,9,1106,16,1,3,0,0,20,1799
Oregon 04,2527,310,38,81,50,0,479,752,58,397,155,4,1366,16,0,1,3,0,20,1865
Oregon 05,3067,741,99,201,267,1,1309,541,70,332,172,0,1115,18,2,2,1,0,23,2447
Oregon 06,2311,359,62,111,87,0,619,566,54,353,203,4,1180,15,2,0,2,0,19,1818
Pebblebrook 01,3873,226,56,41,234,2,559,999,79,190,1020,6,2294,14,1,3,3,0,21,2874
Powers Ferry 01,2984,963,94,195,108,7,1367,586,45,131,43,6,811,42,2,3,4,1,52,2230
Pine Mountain 01,2467,924,157,302,240,1,1624,212,26,88,60,2,388,19,2,2,1,0,24,2036
Pine Mountain 02,2402,924,179,380,157,1,1641,195,22,69,21,0,307,26,4,3,1,0,34,1982
Post Oak 01,3131,1211,189,108,274,1,1783,421,61,39,80,0,601,29,1,3,4,0,37,2421
Pope 01,2733,992,133,64,255,0,1444,425,39,65,101,2,632,40,4,0,3,0,47,2123
Palmer 01,2255,701,114,93,241,0,1149,330,27,52,113,2,524,42,4,1,2,0,49,1722
