DISTRICT,income,race
121SS19A,66247.9391108,
121SS29B,103129.0,
121SS26,57995.7841135,
121SS20,68393.6845785,
121SS22,52899.405147,
121RW11A,92566.1771281,white
121RW19,187821.165651,white
121ML012,177525.000024,white
121ML01B,178143.432728,white
121AP04A,138431.719885,white
121ML011,177524.999989,white
121AP04B,177524.999495,white
12105A2,74509.8315883,white
12103G,15389.0001477,black
12103T,44311.8871663,black
12103P2,21209.0,black
12104F,49896.5106383,white
12103P1A,53680.0186107,white
12103I,66113.854176,
121AP06,111870.317795,white
121AP07B,138287.349975,white
121ML023,177681.167199,white
121ML022,190427.0,white
121AP10,169333.999407,white
121ML04A,163189.779537,white
121AP07A,90764.2214155,white
121ML024,190426.999955,white
121ML04B,177112.076944,white
121ML021,187591.470592,white
121ML03,190427.0,white
121ML07A,190427.0,white
121ML05B,190427.0,white
12112B,48162.9999502,black
12112S,37724.9999756,black
12101J,30444.8270649,black
12101C1,38173.0765435,black
12112A,48162.9996438,black
12112K,29682.5130538,black
12112N,28004.0125754,black
12104B,43957.3952996,black
13555,64396.6603751,white
135102,79498.6926708,white
13524,73604.6428598,
12110K,40334.9878689,black
12110G,38163.730312,black
12111H,44749.0923361,black
12110J,27505.4212903,black
12112L,24448.6012747,black
12112G,23800.0000513,black
12112D,23984.7763757,black
135141,111178.852139,white
13525,80193.2937559,white
13589,88062.5945048,white
13554,83876.5297412,white
121MP01,175478.0,white
135130,111176.408953,white
067DC01,132366.422976,white
067SA01,126620.496246,white
067PP01,133844.556198,white
067MB01,151583.999728,white
067DV01,107699.0,white
067GM01,106741.00026,white
067PO01,138681.999949,white
067HT01,145838.999948,white
067SF01,137689.69657,white
121ML05A,169334.0,white
121ML06A,89105.4961093,white
121AP12B,163711.151849,white
121ML05C,131507.554028,white
121ML04C,184433.58675,white
121ML071,190427.0,white
121ML06B,87754.0786291,white
121SS09B,107793.915474,white
121SS13B,170781.917706,white
121SS11D,92761.0000254,
121SS11B,92760.9877163,
121SS06,69192.9977567,white
121SS05,58602.0054561,
121SS18A,71783.7353125,
121SS31,69229.1196899,white
121SS03,69193.0003403,white
121SS13A,94140.0,white
121SS11A,98018.5278361,white
121SS11C,101716.448226,
121SS14,162671.225707,white
12108J,138801.245249,white
063FP4,48873.5560823,
063FP1,37380.0730443,black
121HP01,52696.9730183,
12112E1,22402.7118397,black
121AP05,158709.308464,white
121ML072,190427.0,white
121AP09B,115719.401279,white
089CE,73394.4072516,
089HF,65928.9603339,
089PB,59632.0001897,
089DG,145869.000002,white
089CH,72004.6906385,white
089TG,102101.255157,white
067MT03,168311.623111,white
067PE01,54717.0484505,black
067MA02,59046.8462027,
067BT02,40853.856121,black
067RS01,46848.0001011,black
067AU1A,59962.8220394,black
121SC05D,87960.7627183,black
121UC02B,99633.9108888,black
121SC05B,101950.239027,black
121SC08C,48657.023764,black
121SC18B,101953.999923,black
067CL01,60280.8508902,black
067PS2A,66352.2386892,black
067CO01,64283.2503091,black
067OR02,89559.9998885,
121SC13B,56422.003735,white
121SC05A,58258.2233014,white
121SC13A,56422.0002889,white
12109K,31091.9225552,black
12109M,118699.999949,white
12109E,42531.6628892,black
12109A,100512.153848,
12104C,35651.9998104,black
12103A,27740.6627099,black
12103D,27340.0000291,black
12103B,27406.0000852,black
12109I,40775.9999983,black
067AC1B,56038.6551555,white
067MC01,70161.0019773,
067OR05,115053.218289,white
067KP02,99899.129528,white
067OR04,67348.9999932,
067DL01,116142.006679,white
067CH03,101431.856003,white
067MA01,76526.1134595,
067SW02,48164.3079317,black
067BR02,88901.4144031,white
067BR01,81757.9999983,
067MA03,90712.6836194,white
067MA04,85874.5923571,white
067AC1A,86606.9200046,white
067ME01,80636.2928891,
067LM01,115676.017844,white
067OR01,113406.000007,white
067VA01,133633.008538,white
067PS1A,72507.5992392,
067PS3A,69734.9063381,
067LM03,127437.776917,white
067SW01,71456.3040366,
067CL02,67228.7038238,black
067MR3A,59452.946863,
067HR01,129495.146669,white
067KP01,115967.16253,white
067ML01,98471.0045237,white
067NC01,74359.4702,white
067SN7B,114849.058097,
121SC14,42668.9250389,black
067HL01,80364.0067912,
067LI01,133845.983744,
121CP04,36599.8336446,black
121CP012,39986.8709058,
121EP03,40753.9595325,black
121CP011,40399.8685842,
121EP01,42070.8213304,black
121SC19B,47644.2055908,black
121EP04,44235.3064161,black
121CP051,51275.8443223,black
121CP07A,35016.0003381,black
12111P,45767.3397957,black
121SC10,41164.0363432,black
121CP081,41166.0001052,black
121UC01E,48657.1903879,black
121SC17A,48657.006409,black
121SC17C,40697.9825237,black
121SC19A,39780.2115605,black
121SC18A,53108.6451605,black
12111E3,50016.1480866,black
12111E1,51445.000011,black
12111E2,51445.0,black
121UC02A,58366.7049726,black
121SC08F,48657.0,black
121SC01B,87927.9411808,black
121SC02,71485.7392749,black
121SC16,81562.9999511,black
067BT01,48001.3799581,black
12111C,71432.8537365,black
121SC30A,71467.0,black
12110A,37740.3164043,black
12110C,29262.0318226,black
12111N,50322.0366046,black
12111M,52641.9999697,black
121SC30B,61707.4505136,black
12110L,72578.9996085,black
12110R,27503.9998312,black
12110B,72579.0,black
12110I,71919.2251782,black
