ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1
4865113,0.72,1432,121JC05,121JC05,JC05,JC05,60,FULTON,121,,98246.038836899999296
4865156,0.13,1431,121JC04B,121JC04B,JC04B,JC04B,60,FULTON,121,white,113558.000000000000000
4865181,0.16,1428,121JC03A,121JC03A,JC03A,JC03A,60,FULTON,121,,98246.000435199995991
4865211,1.44,1430,121JC04A,121JC04A,JC04A,JC04A,60,FULTON,121,white,163061.374152000003960
4865253,0.56,1429,121JC03B,121JC03B,JC03B,JC03B,60,FULTON,121,,98246.000251200006460
4865282,1.73,1433,121JC06,121JC06,JC06,JC06,60,FULTON,121,white,126336.000021999992896
4865324,2.33,1768,135111,135111,111,DULUTH H,67,GWINNETT,135,,76509.283806299994467
4865372,2.66,1427,121JC02,121JC02,JC02,JC02,60,FULTON,121,,119965.050346999996691
4655028,1.47,846,089FE,089FE,FE,FLAT SHOALS PARKWAY,44,DEKALB,089,black,65591.147380199996405
4655092,1.21,813,089CG,089CG,CG,CHAPEL HILL ELEM,44,DEKALB,089,black,72421.348614100003033
4655353,3.45,871,089KD,089KD,KD,KING-ML KING JR HIGH,44,DEKALB,089,black,75793.789724100002786
4655418,2.46,803,089BJ,089BJ,BJ,BROWNS MILL ELEM,44,DEKALB,089,black,69589.687383500000578
4646997,1.98,912,089OV,089OV,OV,OAK VIEW ELEM,44,DEKALB,089,black,51142.898387900000671
4647062,3.26,862,089HH,089HH,HH,NARVIE J HARRIS ELEM,44,DEKALB,089,black,59598.697072800001479
4647130,1.67,849,089FK,089FK,FK,FLAKES MILL FIRE STA,44,DEKALB,089,black,74727.999977900006343
4637993,0.79,937,089SB,089SB,SB,SCOTT,44,DEKALB,089,white,70105.117782200002694
4638066,0.87,887,089MG,089MG,MG,MEDLOCK,44,DEKALB,089,white,69707.739098399993964
4638128,1.03,816,089CJ,089CJ,CJ,CLAIRMONT ROAD,44,DEKALB,089,white,79524.795341799996095
4638195,1.59,456,063JB08,063JB08,JB08,JONESBORO 8,31,CLAYTON,063,black,44427.256727200001478
4638260,1.29,480,063MO8,063MO8,MO8,MORROW 8,31,CLAYTON,063,black,54253.908582399999432
4638309,2.92,477,063MO5,063MO5,MO5,MORROW 5,31,CLAYTON,063,black,64404.801722900003369
4544214,1.90,494,063RD07,063RD07,RD07,RIVERDALE 7,31,CLAYTON,063,black,39854.724575499996718
4544279,4.62,445,063FP3,063FP3,FP3,FOREST PARK 3,31,CLAYTON,063,,35993.113266300002579
4544380,1.68,493,063RD06,063RD06,RD06,RIVERDALE 6,31,CLAYTON,063,black,36949.330533799999102
4544453,2.31,463,063JB15,063JB15,JB15,JONESBORO 15,31,CLAYTON,063,black,35178.589514500003133
4544524,2.33,447,063FP5,063FP5,FP5,FOREST PARK 5,31,CLAYTON,063,,37037.875230400000873
4544594,0.86,448,063FP6,063FP6,FP6,FOREST PARK 6,31,CLAYTON,063,,46613.823066199998721
4538463,1.88,491,063RD04,063RD04,RD04,RIVERDALE 4,31,CLAYTON,063,black,49299.955695700002252
4030419,0.78,1349,12111J,12111J,11J,11J,60,FULTON,121,black,41628.000018099999579
4030469,3.18,1529,121SC23A,121SC23A,SC23A,SC23A,60,FULTON,121,black,56054.941005200002110
4030538,1.17,498,063RD11,063RD11,RD11,RIVERDALE 11,31,CLAYTON,063,black,65591.201658599995426
4030602,0.97,1531,121SC27,121SC27,SC27,SC27,60,FULTON,121,black,43809.167003599999589
4030651,0.38,1416,121CP083,121CP083,CP083,CP083,60,FULTON,121,black,41166.000000000000000
4030710,0.20,1418,121CP08A,121CP08A,CP08A,CP08A,60,FULTON,121,white,57248.999949600001855
4030748,1.94,495,063RD08,063RD08,RD08,RIVERDALE 8,31,CLAYTON,063,black,62179.274512999996659
4013924,3.46,1504,121SC08B,121SC08B,SC08B,SC08B,60,FULTON,121,black,43010.148678899997321
4014046,1.22,1532,121SC29A,121SC29A,SC29A,SC29A,60,FULTON,121,black,49669.000154699999257
4014094,0.71,1530,121SC23B,121SC23B,SC23B,SC23B,60,FULTON,121,black,54597.995984900000622
4014125,0.95,1511,121SC09B,121SC09B,SC09B,SC09B,60,FULTON,121,black,46959.085488899996562
4014175,0.81,1514,121SC11B,121SC11B,SC11B,SC11B,60,FULTON,121,black,56759.999977699997544
4014221,0.83,1513,121SC11A,121SC11A,SC11A,SC11A,60,FULTON,121,black,56759.999974699996528
4014346,0.17,1506,121SC08D,121SC08D,SC08D,SC08D,60,FULTON,121,black,39694.000000000000000
4014370,0.55,1576,121UC01B,121UC01B,UC01B,UC01B,60,FULTON,121,black,39848.998953000002075
4014446,1.28,1510,121SC09A,121SC09A,SC09A,SC09A,60,FULTON,121,black,44086.696913400002813
4007941,2.42,1575,121UC01A,121UC01A,UC01A,UC01A,60,FULTON,121,black,49338.617954800000007
4008004,2.28,1582,121UC031,121UC031,UC031,UC031,60,FULTON,121,black,51926.317363599999226
4008090,0.23,1507,121SC08E,121SC08E,SC08E,SC08E,60,FULTON,121,black,49346.997853399996529
4008147,0.27,1586,121UC035,121UC035,UC035,UC035,60,FULTON,121,black,50266.613728700001957
4008245,0.85,1578,121UC01D,121UC01D,UC01D,UC01D,60,FULTON,121,black,48657.000000000000000
4008306,0.15,1520,121SC17B,121SC17B,SC17B,SC17B,60,FULTON,121,black,48657.000000000000000
3974577,11.00,1501,121SC07A,121SC07A,SC07A,SC07A,60,FULTON,121,black,64043.840475600001810
3886504,17.58,1398,121CH03,121CH03,CH03,CH03,60,FULTON,121,white,41282.000000000000000
3886642,5.24,1397,121CH02,121CH02,CH02,CH02,60,FULTON,121,white,41282.000002300002961
3886700,2.77,1396,121CH01,121CH01,CH01,CH01,60,FULTON,121,white,41282.000000000000000
3886746,17.33,1497,121SC04,121SC04,SC04,SC04,60,FULTON,121,white,51949.844098599998688
797909,18.69,1401,121CH05,121CH05,CH05,CH05,60,FULTON,121,white,41282.000000000000000
798082,6.80,1399,121CH04A,121CH04A,CH04A,CH04A,60,FULTON,121,white,41282.000000000000000
1073521,2.69,466,063JB18,063JB18,JB18,JONESBORO 18,31,CLAYTON,063,black,52205.845437099997071
1073600,2.90,459,063JB11,063JB11,JB11,JONESBORO 11,31,CLAYTON,063,black,71803.028944899997441
1073694,2.02,455,063JB07,063JB07,JB07,JONESBORO 7,31,CLAYTON,063,black,61414.103632899998047
1073760,3.84,454,063JB06,063JB06,JB06,JONESBORO 6,31,CLAYTON,063,white,98786.090439299994614
890832,0.14,1583,121UC032,121UC032,UC032,UC032,60,FULTON,121,black,49669.000086200001533
890867,1.76,1526,121SC211,121SC211,SC211,SC211,60,FULTON,121,black,54300.206736300002376
898570,1.94,449,063JB01,063JB01,JB01,JONESBORO 1,31,CLAYTON,063,black,39933.077997899999900
1053163,1.68,486,063PH1,063PH1,PH1,PANHANDLE 1,31,CLAYTON,063,black,71320.000000000000000
1053201,2.08,461,063JB13,063JB13,JB13,JONESBORO 13,31,CLAYTON,063,black,61686.824594400000933
1053254,1.85,471,063LJ4,063LJ4,LJ4,LOVEJOY 4,31,CLAYTON,063,black,62823.996842100001231
1053297,1.17,472,063LJ5,063LJ5,LJ5,LOVEJOY 5,31,CLAYTON,063,black,48898.999807200001669
1044861,10.67,487,063PH2,063PH2,PH2,PANHANDLE 2,31,CLAYTON,063,black,71320.000000000000000
1067981,1.49,452,063JB04,063JB04,JB04,JONESBORO 4,31,CLAYTON,063,black,37524.605960699998832
1068024,7.56,470,063LJ3,063LJ3,LJ3,LOVEJOY 3,31,CLAYTON,063,black,66907.097958700003801
1068127,6.59,468,063LJ1,063LJ1,LJ1,LOVEJOY 1,31,CLAYTON,063,black,50463.516533100002562
1068221,4.84,469,063LJ2,063LJ2,LJ2,LOVEJOY 2,31,CLAYTON,063,black,59069.995596399996430
1068289,1.42,453,063JB05,063JB05,JB05,JONESBORO 5,31,CLAYTON,063,black,62825.000000000000000
1068337,3.61,462,063JB14,063JB14,JB14,JONESBORO 14,31,CLAYTON,063,black,66969.206290999994962
5075546,4.55,1804,135147,135147,147,BAYCREEK I,67,GWINNETT,135,,90842.566464400006225
5075606,7.52,1737,13580,13580,80,BAYCREEK C,67,GWINNETT,135,,84393.778434799998649
5075667,2.27,1747,13590,13590,90,LAWRENCEVILLE I,67,GWINNETT,135,,57021.610324499997660
5075729,2.33,1742,13585,13585,85,LAWRENCEVILLE H,67,GWINNETT,135,white,88378.161112200003117
5075788,1.38,1789,135132,135132,132,LAWRENCEVILLE K,67,GWINNETT,135,white,87845.014055000006920
5075831,4.06,1717,13560,13560,60,LAWRENCEVILLE D,67,GWINNETT,135,,62617.098667500002193
5075925,3.18,1699,13542,13542,42,LAWRENCEVILLE C,67,GWINNETT,135,white,86150.199204499993357
5219882,4.27,1666,1359,1359,9,PUCKETTS A,67,GWINNETT,135,white,80975.999974999998813
5220026,4.39,1792,135135,135135,135,PUCKETTS C,67,GWINNETT,135,white,90506.765734700005851
5093428,6.33,1660,1353,1353,3,DACULA,67,GWINNETT,135,white,88376.242855499993311
5093509,2.43,1809,135152,135152,152,ROCKYCREEK C,67,GWINNETT,135,white,92688.001727099996060
5093552,2.39,1794,135137,135137,137,ROCKYCREEK B,67,GWINNETT,135,white,80511.077768799994374
5093594,3.01,1811,135154,135154,154,PUCKETTS D,67,GWINNETT,135,white,80791.967380500005675
5093659,3.03,1665,1358,1358,8,DUNCANS A,67,GWINNETT,135,white,110889.981860999992932
5093729,1.60,1670,13513,13513,13,DUNCANS C,67,GWINNETT,135,white,111087.000000000000000
5093769,4.15,1479,121RW09,121RW09,RW09,RW09,60,FULTON,121,white,176443.563527999998769
5066269,3.41,1765,135108,135108,108,BAYCREEK E,67,GWINNETT,135,,80886.036670700006653
5066342,5.08,1802,135145,135145,145,BAYCREEK G,67,GWINNETT,135,white,76761.378865799997584
5066508,7.92,1803,135146,135146,146,BAYCREEK H,67,GWINNETT,135,white,82443.055625199995120
5066591,3.41,1748,13591,13591,91,BAYCREEK D,67,GWINNETT,135,white,94098.157945099999779
5521053,11.28,1790,135133,135133,133,HARBINS B,67,GWINNETT,135,white,82440.026503999994020
5521161,7.04,1685,13528,13528,28,ROCKYCREEK A,67,GWINNETT,135,white,103858.056819999997970
5521221,6.29,1786,135129,135129,129,DUNCANS B,67,GWINNETT,135,white,111273.950700999994297
5646016,7.06,1696,13539,13539,39,DUNCANS D,67,GWINNETT,135,white,111722.999983000001521
4973944,4.40,1761,135104,135104,104,ROCKBRIDGE F,67,GWINNETT,135,black,74483.995131400006358
4974009,3.91,1733,13576,13576,76,ROCKBRIDGE D,67,GWINNETT,135,black,74483.999939600005746
4974227,1.42,1709,13552,13552,52,BERKSHIRE G,67,GWINNETT,135,white,86326.544196400005603
5511983,13.74,1658,1351,1351,1,HARBINS A,67,GWINNETT,135,white,77447.999990800002706
5512082,5.93,1808,135151,135151,151,HARBINS C,67,GWINNETT,135,white,77448.000000300002284
4313752,1.30,649,067WL01,067WL01,WL01,WILLEO 01,33,COBB,067,white,136873.844336000009207
4785216,0.25,1477,121RW07B,121RW07B,RW07B,RW07B,60,FULTON,121,hispanic,45170.930199100002937
4785253,0.45,1380,121AP03,121AP03,AP03,AP03,60,FULTON,121,,57454.000009299998055
4785283,2.73,1474,121RW05,121RW05,RW05,RW05,60,FULTON,121,,58003.985561699999380
4785367,1.40,1377,121AP021,121AP021,AP021,AP021,60,FULTON,121,white,110781.941078000003472
4785430,1.25,1475,121RW06,121RW06,RW06,RW06,60,FULTON,121,white,93606.238502899999730
4785484,2.31,1484,121RW13,121RW13,RW13,RW13,60,FULTON,121,white,103843.601204000005964
4785583,1.55,1375,121AP01D,121AP01D,AP01D,AP01D,60,FULTON,121,white,81158.190762400001404
4785645,0.86,1379,121AP02B,121AP02B,AP02B,AP02B,60,FULTON,121,,61654.999888999998802
4785688,1.73,1378,121AP022,121AP022,AP022,AP022,60,FULTON,121,,61655.000275300000794
4785752,0.81,1373,121AP01B,121AP01B,AP01B,AP01B,60,FULTON,121,,84909.999985400005244
4036274,1.44,488,063RD01,063RD01,RD01,RIVERDALE 1,31,CLAYTON,063,black,59697.599561399998493
4036334,1.45,490,063RD03,063RD03,RD03,RIVERDALE 3,31,CLAYTON,063,black,48284.779115500001353
4036418,1.21,485,063OAK4,063OAK4,OAK4,OAK 4,31,CLAYTON,063,black,50172.318956299997808
4036474,1.01,483,063OAK2,063OAK2,OAK2,OAK 2,31,CLAYTON,063,black,46756.587874600001669
4036533,0.88,497,063RD10,063RD10,RD10,RIVERDALE 10,31,CLAYTON,063,black,31847.540210600000137
4036579,2.26,484,063OAK3,063OAK3,OAK3,OAK 3,31,CLAYTON,063,black,34426.862764700003027
4036644,0.76,1410,121CP06,121CP06,CP06,CP06,60,FULTON,121,white,57248.999933599996439
4036697,0.25,1409,121CP05B,121CP05B,CP05B,CP05B,60,FULTON,121,black,35056.316772099999071
4036726,0.08,1413,121CP07D,121CP07D,CP07D,CP07D,60,FULTON,121,black,35016.000000000000000
4770756,1.28,1478,121RW08,121RW08,RW08,RW08,60,FULTON,121,white,104907.832884999996168
4770800,1.38,1488,121RW18,121RW18,RW18,RW18,60,FULTON,121,white,152029.727252999990014
4770852,1.48,1486,121RW16,121RW16,RW16,RW16,60,FULTON,121,white,110849.313211000000592
4770890,2.40,1483,121RW12,121RW12,RW12,RW12,60,FULTON,121,white,113046.672823999993852
4770952,1.08,836,089DI,089DI,DI,DUNWOODY LIBRARY (DU,44,DEKALB,089,white,159717.823872000008123
4771006,1.23,789,089AD,089AD,AD,AUSTIN,44,DEKALB,089,white,157989.300633000006201
4771060,1.09,897,089MQ,089MQ,MQ,MOUNT VERNON EAST (D,44,DEKALB,089,white,146753.470410000008997
