DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge
121SS29B,103129.0,,SS29B,,,,,,,,left_only
12103P2,21209.0,black,03P2,,,,,,,,left_only
13555,64396.6603751,white,SUGAR HILL D,,,,,,,,left_only
135102,79498.6926708,white,PUCKETTS B,,,,,,,,left_only
13524,73604.6428598,,SUGAR HILL A,,,,,,,,left_only
135141,111178.852139,white,SUGAR HILL G,,,,,,,,left_only
13525,80193.2937559,white,SUGAR HILL B,,,,,,,,left_only
13589,88062.5945048,white,SUGAR HILL E,,,,,,,,left_only
13554,83876.5297412,white,SUGAR HILL C,,,,,,,,left_only
135130,111176.408953,white,SUWANEE D,,,,,,,,left_only
067DC01,132366.422976,white,DICKERSON 01,,,,,,,,left_only
067SA01,126620.496246,white,SANDY PLAINS 01,,,,,,,,left_only
067PP01,133844.556198,white,POPE 01,,,,,,,,left_only
067MB01,151583.999728,white,MABRY 01,,,,,,,,left_only
067DV01,107699.0,white,DAVIS 01,,,,,,,,left_only
067GM01,106741.00026,white,GARRISON MILL 01,,,,,,,,left_only
067PO01,138681.999949,white,POST OAK 01,,,,,,,,left_only
067HT01,145838.999948,white,HIGHTOWER 01,,,,,,,,left_only
067SF01,137689.69657,white,SHALLOWFORD FALLS 01,,,,,,,,left_only
089CE,73394.4072516,,CHAMBLEE (CHA),,,,,,,,left_only
089HF,65928.9603339,,HUNTLEY HILLS ELEM (CHA),,,,,,,,left_only
089PB,59632.0001897,,PEACHTREE MIDDLE (DUN),,,,,,,,left_only
089DG,145869.000002,white,DUNWOODY HIGH (DUN),,,,,,,,left_only
089CH,72004.6906385,white,CHESNUT ELEM (DUN),,,,,,,,left_only
089TG,102101.255157,white,TILLY MILL ROAD (DUN),,,,,,,,left_only
067MT03,168311.623111,white,MT BETHEL 03,,,,,,,,left_only
067PE01,54717.0484505,black,PEBBLEBROOK 01,,,,,,,,left_only
067MA02,59046.8462027,,MABLETON 02,,,,,,,,left_only
067BT02,40853.856121,black,BRYANT 02,,,,,,,,left_only
067RS01,46848.0001011,black,RIVERSIDE 01,,,,,,,,left_only
067AU1A,59962.8220394,black,AUSTELL 1A,,,,,,,,left_only
121SC08C,48657.023764,black,SC08C,,,,,,,,left_only
067CL01,60280.8508902,black,CLARKDALE 01,,,,,,,,left_only
067PS2A,66352.2386892,black,POWDER SPRINGS 2A,,,,,,,,left_only
067CO01,64283.2503091,black,COOPER 01,,,,,,,,left_only
067OR02,89559.9998885,,OREGON 02,,,,,,,,left_only
067AC1B,56038.6551555,white,ACWORTH 1B,,,,,,,,left_only
067MC01,70161.0019773,,MACLAND 01,,,,,,,,left_only
067OR05,115053.218289,white,OREGON 05,,,,,,,,left_only
067KP02,99899.129528,white,KEMP 02,,,,,,,,left_only
067OR04,67348.9999932,,OREGON 04,,,,,,,,left_only
