,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,Precinct,County,JEB BUSH,BEN CARSON,_merge
687,4702875.0,0.89,952.0,089SQ,089SQ,SQ,STONE MTN LIBRARY,44.0,DEKALB,89.0,black,64377.0594466,,,,,left_only
695,4790699.0,0.56,1392.0,121AP12C,121AP12C,AP12C,AP12D,60.0,FULTON,121.0,,85109.9573477,,,,,left_only
735,4617526.0,1.13,837.0,089EA,089EA,EA,EAST LAKE,44.0,DEKALB,89.0,black,79382.0158026,,,,,left_only
742,4631725.0,0.6,852.0,089GA,089GA,GA,GLENNWOOD,44.0,DEKALB,89.0,white,109095.808889,,,,,left_only
748,4556112.0,3.14,1371.0,12112T,12112T,12T,12T,60.0,FULTON,121.0,black,32949.4699222,,,,,left_only
752,4672384.0,1.28,793.0,089AI,089AI,AI,AVONDALE HIGH,44.0,DEKALB,89.0,white,86539.3731549,,,,,left_only
770,4667042.0,0.87,953.0,089SR,089SR,SR,SNAPFINGER ROAD N,44.0,DEKALB,89.0,black,44471.7333448,,,,,left_only
773,4567958.0,4.24,804.0,089BL,089BL,BL,BOULDERCREST ROAD,44.0,DEKALB,89.0,black,67348.9990567,,,,,left_only
786,4578796.0,0.37,1207.0,12101C2,12101C2,01C2,01C2,60.0,FULTON,121.0,black,35120.0000431,,,,,left_only
796,4622583.0,0.84,820.0,089CN,089CN,CN,COAN MIDDLE,44.0,DEKALB,89.0,white,56069.8578966,,,,,left_only
805,4612062.0,0.89,958.0,089TA,089TA,TA,TERRY MILL,44.0,DEKALB,89.0,black,49803.0111423,,,,,left_only
821,4778745.0,1.86,1491.0,121RW21A,121RW21A,RW21A,RW21A,60.0,FULTON,121.0,white,163434.327627,,,,,left_only
833,4835631.0,0.19,1492.0,121RW21B,121RW21B,RW21B,RW21B,60.0,FULTON,121.0,white,215870.515805,,,,,left_only
845,4823455.0,1.43,1677.0,13520,13520,20,PINKCNEYVILLE A,67.0,GWINNETT,135.0,hispanic,48121.3441719,,,,,left_only
853,4842566.0,0.07,1447.0,121JC18B,121JC18B,JC18B,JC18B,60.0,FULTON,121.0,white,117149.0,,,,,left_only
854,4842586.0,0.11,1445.0,121JC17,121JC17,JC17,JC17,60.0,FULTON,121.0,white,117142.980528,,,,,left_only
866,4743841.0,1.46,901.0,089MU,089MU,MU,MONTGOMERY,44.0,DEKALB,89.0,white,59718.1137412,,,,,left_only
868,4743959.0,1.54,855.0,089GD,089GD,GD,GEORGETOWN SQ,44.0,DEKALB,89.0,white,93518.2565336,,,,,left_only
870,4744072.0,1.03,899.0,089MS,089MS,MS,MOUNT VERNON WEST,44.0,DEKALB,89.0,white,135705.256782,,,,,left_only
895,5002457.0,2.75,1692.0,13535,13535,35,CATES D,67.0,GWINNETT,135.0,white,95189.7064185,,,,,left_only
914,,,,,,,,,,,,,HARMONY LELAND 01,Cobb,2.0,27.0,right_only
915,,,,,,,,,,,,,LASSSITER 01,Cobb,0.0,53.0,right_only
916,,,,,,,,,,,,,MOUNT BETHEL 01,Cobb,11.0,57.0,right_only
917,,,,,,,,,,,,,MOUNT BETHEL 03,Cobb,0.0,35.0,right_only
918,,,,,,,,,,,,,MOUNT BETHEL 04,Cobb,6.0,35.0,right_only
919,,,,,,,,,,,,,ROCKY MOUNTAIN 01,Cobb,5.0,40.0,right_only
920,,,,,,,,,,,,,SHALLOWFORD FALL 01,Cobb,4.0,25.0,right_only
921,,,,,,,,,,,,,VAUGHN 01,Cobb,4.0,45.0,right_only
922,,,,,,,,,,,,,WILEO 01,Cobb,5.0,35.0,right_only
923,,,,,,,,,,,,,AVONDALE HIGH - 04,DeKalb,4.0,6.0,right_only
