,Precinct,Precincts,dem_p,dem_votes,registered_v,rep_p,rep_votes,total,County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18,_merge
34,JONESBORO 2,,0,1392,3076,0,85,1487,CLAYTON,31.0,JB02,JONESBORO 2,422.0,13.0,34.0,77.0,6.0,,2.0,,,,,LRG,3.0,,,both
35,JONESBORO 3,,0,1216,2850,0,289,1526,CLAYTON,31.0,JB03,JONESBORO 3,423.0,13.0,44.0,75.0,6.0,,6.0,,,,,,3.0,,,both
36,JONESBORO 3,,0,1216,2850,0,289,1526,CLAYTON,31.0,JB03,JONESBORO 3,424.0,13.0,44.0,75.0,6.0,,6.0,,,,,LRG,3.0,,,both
37,JONESBORO 3,,0,1216,2850,0,289,1526,CLAYTON,31.0,JB03,JONESBORO 3,429.0,13.0,44.0,78.0,6.0,,6.0,,,,,LRG,4.0,,,both
38,JONESBORO 3,,0,1216,2850,0,289,1526,CLAYTON,31.0,JB03,JONESBORO 3,430.0,13.0,44.0,78.0,6.0,,6.0,,,,,,4.0,,,both
39,JONESBORO 3,,0,1216,2850,0,289,1526,CLAYTON,31.0,JB03,JONESBORO 3,481.0,13.0,44.0,75.0,6.0,,5.0,,,,,LRG,4.0,,,both
40,JONESBORO 3,,0,1216,2850,0,289,1526,CLAYTON,31.0,JB03,JONESBORO 3,482.0,13.0,44.0,78.0,6.0,,5.0,,,,,LRG,4.0,,,both
41,JONESBORO 3,,0,1216,2850,0,289,1526,CLAYTON,31.0,JB03,JONESBORO 3,483.0,13.0,44.0,75.0,6.0,,5.0,,,,,,4.0,,,both
42,JONESBORO 4,,0,520,1566,0,113,644,CLAYTON,31.0,JB04,JONESBORO 4,427.0,13.0,34.0,75.0,6.0,,5.0,,,,,,4.0,,,both
43,JONESBORO 4,,0,520,1566,0,113,644,CLAYTON,31.0,JB04,JONESBORO 4,428.0,13.0,34.0,75.0,6.0,,5.0,,,,,LRG,4.0,,,both
44,JONESBORO 5,,0,537,1532,0,223,768,CLAYTON,31.0,JB05,JONESBORO 5,429.0,13.0,44.0,78.0,6.0,,6.0,,,,,LRG,4.0,,,both
45,JONESBORO 5,,0,537,1532,0,223,768,CLAYTON,31.0,JB05,JONESBORO 5,430.0,13.0,44.0,78.0,6.0,,6.0,,,,,,4.0,,,both
46,JONESBORO 5,,0,537,1532,0,223,768,CLAYTON,31.0,JB05,JONESBORO 5,482.0,13.0,44.0,78.0,6.0,,5.0,,,,,LRG,4.0,,,both
47,JONESBORO 6,,0,551,2009,0,693,1264,CLAYTON,31.0,JB06,JONESBORO 6,430.0,13.0,44.0,78.0,6.0,,6.0,,,,,,4.0,,,both
48,JONESBORO 7,,0,930,2340,0,296,1242,CLAYTON,31.0,JB07,JONESBORO 7,483.0,13.0,44.0,75.0,6.0,,5.0,,,,,,4.0,,,both
49,JONESBORO 8,,0,907,2620,0,60,975,CLAYTON,31.0,JB08,JONESBORO 8,432.0,5.0,44.0,78.0,6.0,,9.0,,,,,,1.0,,,both
50,JONESBORO 9,,0,321,1049,0,95,428,CLAYTON,31.0,JB09,JONESBORO 9,433.0,13.0,34.0,77.0,6.0,,5.0,,,,,,4.0,,,both
51,JONESBORO 10,,0,786,2241,0,115,920,CLAYTON,31.0,JB10,JONESBORO 10,427.0,13.0,34.0,75.0,6.0,,5.0,,,,,,4.0,,,both
52,JONESBORO 10,,0,786,2241,0,115,920,CLAYTON,31.0,JB10,JONESBORO 10,434.0,13.0,34.0,75.0,6.0,,6.0,,,,,,4.0,,,both
53,JONESBORO 10,,0,786,2241,0,115,920,CLAYTON,31.0,JB10,JONESBORO 10,473.0,13.0,34.0,75.0,6.0,,6.0,,,,,,3.0,,,both
54,JONESBORO 11,,0,1145,2840,0,439,1611,CLAYTON,31.0,JB11,JONESBORO 11,430.0,13.0,44.0,78.0,6.0,,6.0,,,,,,4.0,,,both
55,JONESBORO 11,,0,1145,2840,0,439,1611,CLAYTON,31.0,JB11,JONESBORO 11,431.0,13.0,44.0,75.0,6.0,,6.0,,,,,,4.0,,,both
56,JONESBORO 11,,0,1145,2840,0,439,1611,CLAYTON,31.0,JB11,JONESBORO 11,481.0,13.0,44.0,75.0,6.0,,5.0,,,,,LRG,4.0,,,both
57,JONESBORO 11,,0,1145,2840,0,439,1611,CLAYTON,31.0,JB11,JONESBORO 11,483.0,13.0,44.0,75.0,6.0,,5.0,,,,,,4.0,,,both
58,JONESBORO 12,,0,864,2062,0,83,957,CLAYTON,31.0,JB12,JONESBORO 12,421.0,13.0,34.0,77.0,6.0,,2.0,,,,,,3.0,,,both
59,JONESBORO 13,,0,645,1336,0,154,813,CLAYTON,31.0,JB13,JONESBORO 13,423.0,13.0,44.0,75.0,6.0,,6.0,,,,,,3.0,,,both
60,JONESBORO 14,,0,1290,3390,0,684,2007,CLAYTON,31.0,JB14,JONESBORO 14,430.0,13.0,44.0,78.0,6.0,,6.0,,,,,,4.0,,,both
61,JONESBORO 15,,0,621,1955,0,114,749,CLAYTON,31.0,JB15,JONESBORO 15,459.0,13.0,34.0,77.0,6.0,,7.0,,,,,,4.0,,,both
62,JONESBORO 15,,0,621,1955,0,114,749,CLAYTON,31.0,JB15,JONESBORO 15,492.0,13.0,34.0,77.0,6.0,,7.0,,,,,LRG,4.0,,,both
63,JONESBORO 16,,0,570,1572,0,78,667,CLAYTON,31.0,JB16,JONESBORO 16,486.0,13.0,34.0,77.0,6.0,,2.0,,,,,,4.0,,,both
64,JONESBORO 17,,0,1453,3337,0,120,1591,CLAYTON,31.0,JB17,JONESBORO 17,420.0,13.0,34.0,75.0,6.0,,2.0,,,,,,3.0,,,both
65,JONESBORO 17,,0,1453,3337,0,120,1591,CLAYTON,31.0,JB17,JONESBORO 17,473.0,13.0,34.0,75.0,6.0,,6.0,,,,,,3.0,,,both
66,JONESBORO 18,,0,882,2263,0,174,1076,CLAYTON,31.0,JB18,JONESBORO 18,483.0,13.0,44.0,75.0,6.0,,5.0,,,,,,4.0,,,both
67,LAKE CITY,,0,654,2027,0,126,799,CLAYTON,31.0,LC1,LAKE CITY,438.0,5.0,44.0,76.0,6.0,,8.0,,,,,,1.0,,,both
68,LAKE CITY,,0,654,2027,0,126,799,CLAYTON,31.0,LC1,LAKE CITY,439.0,5.0,44.0,76.0,6.0,,8.0,,,,,LRG,1.0,,,both
69,LAKE CITY,,0,654,2027,0,126,799,CLAYTON,31.0,LC1,LAKE CITY,440.0,5.0,44.0,74.0,6.0,,8.0,,,,,LRG,1.0,,,both
70,LAKE CITY,,0,654,2027,0,126,799,CLAYTON,31.0,LC1,LAKE CITY,476.0,5.0,44.0,74.0,6.0,,8.0,,,,,LRG,1.0,,,both
71,LAKE CITY,,0,654,2027,0,126,799,CLAYTON,31.0,LC1,LAKE CITY,477.0,5.0,44.0,74.0,6.0,,8.0,,,,,,1.0,,,both
72,LOVEJOY 1,,0,1239,2716,0,269,1531,CLAYTON,31.0,LJ1,LOVEJOY 1,423.0,13.0,44.0,75.0,6.0,,6.0,,,,,,3.0,,,both
73,LOVEJOY 1,,0,1239,2716,0,269,1531,CLAYTON,31.0,LJ1,LOVEJOY 1,430.0,13.0,44.0,78.0,6.0,,6.0,,,,,,4.0,,,both
74,LOVEJOY 2,,0,936,2257,0,141,1088,CLAYTON,31.0,LJ2,LOVEJOY 2,436.0,13.0,44.0,78.0,6.0,,1.0,,,,,,4.0,,,both
75,LOVEJOY 2,,0,936,2257,0,141,1088,CLAYTON,31.0,LJ2,LOVEJOY 2,441.0,13.0,44.0,78.0,6.0,,1.0,,,,,,3.0,,,both
76,LOVEJOY 2,,0,936,2257,0,141,1088,CLAYTON,31.0,LJ2,LOVEJOY 2,474.0,13.0,44.0,78.0,6.0,,1.0,,,,,LRG,4.0,,,both
77,LOVEJOY 3,,0,1553,4240,0,405,1982,CLAYTON,31.0,LJ3,LOVEJOY 3,436.0,13.0,44.0,78.0,6.0,,1.0,,,,,,4.0,,,both
78,LOVEJOY 3,,0,1553,4240,0,405,1982,CLAYTON,31.0,LJ3,LOVEJOY 3,441.0,13.0,44.0,78.0,6.0,,1.0,,,,,,3.0,,,both
79,LOVEJOY 3,,0,1553,4240,0,405,1982,CLAYTON,31.0,LJ3,LOVEJOY 3,444.0,13.0,44.0,78.0,6.0,,1.0,,,,,LRG,3.0,,,both
80,LOVEJOY 3,,0,1553,4240,0,405,1982,CLAYTON,31.0,LJ3,LOVEJOY 3,474.0,13.0,44.0,78.0,6.0,,1.0,,,,,LRG,4.0,,,both
81,LOVEJOY 4,,0,1368,2983,0,159,1544,CLAYTON,31.0,LJ4,LOVEJOY 4,441.0,13.0,44.0,78.0,6.0,,1.0,,,,,,3.0,,,both
82,LOVEJOY 5,,0,951,2207,0,108,1074,CLAYTON,31.0,LJ5,LOVEJOY 5,441.0,13.0,44.0,78.0,6.0,,1.0,,,,,,3.0,,,both
83,LOVEJOY 5,,0,951,2207,0,108,1074,CLAYTON,31.0,LJ5,LOVEJOY 5,442.0,13.0,44.0,75.0,6.0,,1.0,,,,,,3.0,,,both
84,MORROW 1,,0,877,2104,0,112,1003,CLAYTON,31.0,MO1,MORROW 1,438.0,5.0,44.0,76.0,6.0,,8.0,,,,,,1.0,,,both
85,MORROW 1,,0,877,2104,0,112,1003,CLAYTON,31.0,MO1,MORROW 1,445.0,5.0,44.0,76.0,6.0,,8.0,,,,,3,1.0,,,both
86,MORROW 2,,0,418,1475,0,274,706,CLAYTON,31.0,MO2,MORROW 2,446.0,5.0,44.0,74.0,6.0,,9.0,,,,,,1.0,,,both
87,MORROW 2,,0,418,1475,0,274,706,CLAYTON,31.0,MO2,MORROW 2,447.0,5.0,44.0,74.0,6.0,,9.0,,,,,LRG,1.0,,,both
88,MORROW 2,,0,418,1475,0,274,706,CLAYTON,31.0,MO2,MORROW 2,487.0,5.0,44.0,74.0,6.0,,7.0,,,,,LRG,1.0,,,both
89,MORROW 3,,0,1208,3265,0,238,1470,CLAYTON,31.0,MO3,MORROW 3,438.0,5.0,44.0,76.0,6.0,,8.0,,,,,,1.0,,,both
90,MORROW 3,,0,1208,3265,0,238,1470,CLAYTON,31.0,MO3,MORROW 3,448.0,5.0,44.0,76.0,6.0,,8.0,,,,,LRG,1.0,,,both
91,MORROW 4,,0,480,1464,0,161,656,CLAYTON,31.0,MO4,MORROW 4,449.0,5.0,44.0,75.0,6.0,,9.0,,,,,,1.0,,,both
