,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
961,,,,,,,,,,,,,,SNAPFINGER ROAD SOUTH,1596.0,44.0,915.0,970.0,0.0,0.0,DEKALB,right_only
962,,,,,,,,,,,,,,STONE MOUNTAIN CHAMPION,2165.0,125.0,836.0,976.0,0.0,0.0,DEKALB,right_only
963,,,,,,,,,,,,,,STONE MOUNTAIN LIBRARY,1119.0,109.0,377.0,495.0,0.0,0.0,DEKALB,right_only
964,,,,,,,,,,,,,,STONE MOUNTAIN MIDDLE,2254.0,78.0,544.0,630.0,0.0,0.0,DEKALB,right_only
965,,,,,,,,,,,,,,TERRY MILL ELEM,2038.0,38.0,954.0,1003.0,0.0,0.0,DEKALB,right_only
966,,,,,,,,,,,,,,TILLY MILL ROAD,1310.0,551.0,281.0,861.0,0.0,0.0,DEKALB,right_only
967,,,,,,,,,,,,,,WESLEY CHAPEL LIBRARY,2485.0,46.0,1491.0,1542.0,0.0,0.0,DEKALB,right_only
968,,,,,,,,,,,,,,WINNONA PARK ELEM,1735.0,152.0,1013.0,1180.0,0.0,0.0,DEKALB,right_only
969,,,,,,,,,,,,,,WOODWARD ELEM,1858.0,263.0,491.0,775.0,0.0,0.0,DEKALB,right_only
970,,,,,,,,,,,,,,AP12C,912.0,292.0,152.0,451.0,0.0,0.0,FULTON,right_only
971,,,,,,,,,,,,,,PINCKNEYVILLE A,1846.0,134.0,514.0,671.0,0.0,0.0,GWINNETT,right_only
