,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
786,786.0,4578796.0,0.37,1207.0,12101C2,12101C2,01C2,01C2,60.0,FULTON,121.0,black,35120.0,01C2,,,,,,,,left_only
799,799.0,4622800.0,1.04,795.0,089BB,089BB,BB,BOULEVARD (ATL),44.0,DEKALB,89.0,white,52449.0,BOULEVARD,,,,,,,,left_only
805,805.0,4612062.0,0.89,958.0,089TA,089TA,TA,TERRY MILL,44.0,DEKALB,89.0,black,49803.0,TERRY MILL,,,,,,,,left_only
824,824.0,4805805.0,3.2,829.0,089DA,089DA,DA,DORAVILLE NORTH (DOR,44.0,DEKALB,89.0,,51380.0,DORAVILLE NORTH,,,,,,,,left_only
845,845.0,4823455.0,1.43,1677.0,13520,13520,20,PINKCNEYVILLE A,67.0,GWINNETT,135.0,hispanic,48121.0,PINKCNEYVILLE A,,,,,,,,left_only
851,851.0,4800733.0,0.83,830.0,089DB,089DB,DB,DORAVILLE SOUTH (DOR,44.0,DEKALB,89.0,,50535.0,DORAVILLE SOUTH,,,,,,,,left_only
864,864.0,4743709.0,1.5,791.0,089AG,089AG,AG,ASHFORD DUNWOODY RD,44.0,DEKALB,89.0,white,138754.0,ASHFORD DUNWOODY RD,,,,,,,,left_only
866,866.0,4743841.0,1.46,901.0,089MU,089MU,MU,MONTGOMERY  (BHAVN),44.0,DEKALB,89.0,white,59718.0,MONTGOMERY,,,,,,,,left_only
868,868.0,4743959.0,1.54,855.0,089GD,089GD,GD,GEORGETOWN SQ (DUN),44.0,DEKALB,89.0,white,93518.0,GEORGETOWN SQ,,,,,,,,left_only
870,870.0,4744072.0,1.03,899.0,089MS,089MS,MS,MOUNT VERNON WEST (D,44.0,DEKALB,89.0,white,135705.0,MOUNT VERNON WEST,,,,,,,,left_only
