DISTRICT,income,race,Precinct Description
089LB,75148.8796866,white,LAVISTA ROAD
089SI,44447.773362,black,STN MTN MIDDLE
089TF,96314.9255889,white,TUCKER
089HG,86195.7687577,,HUGH HOWELL
089SH,117152.875737,white,SMOKE RISE
13512,60552.4691547,,BERKSHIRE B
135148,73174.953133,,BERKSHIRE Q
089SU,60509.8194421,black,SOUTH HAIRSTON
089PH,63450.9241653,black,PANOLA
089SK,72872.6533676,black,SHADOW ROCK ELEM
089SP,43995.228424,black,STONE MTN CHAMPION (STO)
089SQ,64377.0594466,black,STONE MTN LIBRARY  (STO)
12108H,226996.999074,white,08H
13557,68527.5590905,,DULUTH D
13582,68022.5747984,,DULUTH E
13556,60812.2880176,,DULUTH C
121JC11,122981.463271,white,JC11
121JC09,120359.978589,white,JC09
121JC07,126839.488816,white,JC07
121AP12C,85109.9573477,,AP12C
089SN,75154.0001454,white,SHAMROCK
089ND,110455.999955,white,NORTHLAKE
089BD,155996.999767,white,BRIARLAKE ELEM
089RD,97723.8880976,white,REHOBOTH
089WI,56205.1077989,,WARREN TECH
13565,58383.6657037,,BERKSHIRE H
135123,43085.6810829,hispanic,PINCKNEYVILLE Y
13523,44776.1697722,,PINCKNEYVILLE D
13558,49756.4892071,,PINCKNEYVILLE K
13550,61858.2203188,,PINCKNEYVILLE I
089WL,126049.575239,white,WINTERS CHAPEL (DUN)
135101,62044.1526814,,PINCKNEYVILLE U
089MW,94871.7683969,white,MIDVALE ROAD
089HC,86202.9956996,white,HENDERSON MILL ELEM
089MK,82430.2820955,white,MONTREAL
089JB,43895.1366532,black,JOLLY ELEM
089IA,62406.8975829,black,IDLEWOOD ELEM (TUC)
089BH,70612.1762036,,BROCKETT (TUC)
089WJ,91628.9954277,,WOODWARD (BHAVN)
089CO,103435.932886,,CROSS KEYS HIGH (BHAVN)
089HI,84529.649367,white,HARRIS-MARGARET HARRIS ED
089BG,82487.2273616,white,BRIARCLIFF
089MJ,53960.4135568,hispanic,MONTCLAIR ELEM
089BE,83551.484499,hispanic,BRIARWOOD (BHAVN)
089BI,123167.521961,white,BROOKHAVEN (BHAVN)
089SE,120886.597542,white,SILVER LAKE (BHAVN)
089SF,101731.994626,,SKYLAND (BHAVN)
089AB,121469.258963,white,ASHFORD PARK ELEM (BHAVN)
089OA,102700.673396,white,OAK GROVE ELEM
089CW,88732.4900975,white,CORALWOOD
089SA,152270.048599,white,SAGAMORE HILLS ELEM
089LA,127376.406513,white,LAKESIDE HIGH
089DC,54242.2244947,hispanic,DRESDEN ELEM (CHA)
089HB,89142.956877,white,HAWTHORNE ELEM
089CL,57071.1882567,black,CLIFTON
089CR,60412.9860109,black,CEDAR GROVE MIDDLE
089FJ,49299.9421385,black,FLAT SHOALS
089FC,40205.6109299,black,FLAT SHOALS ELEM
089MP,63298.9618907,black,MCNAIR ACADEMY
089EA,79382.0158026,black,EAST LAKE (ATL)
089MD,60027.4694929,black,MCNAIR
089OK,106164.804212,white,OAKHURST (DEC)
089RN,106721.992146,white,RENFROE MIDDLE (DEC)
089PG,91336.453884,white,PONCE DE LEON (DEC)
089CV,94575.0664381,white,CLAIREMONT EAST (DEC)
089WF,107682.555416,white,WINNONA PARK ELEM (DEC)
089GA,109095.808889,white,GLENNWOOD (DEC)
089CI,109860.295873,white,CLAIREMONT WEST (DEC)
12112M,32997.0398197,black,12M
12112J,32930.0000227,black,12J
12112H,32339.3658542,black,12H
063FP2,36140.1578396,black,FOREST PARK 2
12112T,32949.4699222,black,12T
063MO2,47053.9136763,black,MORROW 2
063MO7,46943.0012069,black,MORROW 7
089GB,51183.999986,black,GLENHAVEN
089AI,86539.3731549,white,AVONDALE HIGH
089AE,74514.5410651,white,AVONDALE (AVO)
089MO,55244.8169723,black,MIDWAY
089CU,45725.1472133,black,COVINGTON
089NB,57972.1051015,,NORTH DECATUR
089ME,47316.0000925,,MCLENDON
063LC1,50361.1557331,,LAKE CITY
063MO4,47832.7742799,black,MORROW 4
063MO9,44338.0001804,black,MORROW 9
063MO6,58798.2297341,black,MORROW 6
063MO3,50130.6568649,,MORROW 3
089PA,45137.9976276,black,PEACHCREST
089MR,59521.993967,black,MATHIS-BOB MATHIS ELEM
089RA,56147.2972574,black,RAINBOW ELEM
089KC,56502.0000084,black,KELLEY CHAPEL ROAD
089CA,49146.9999949,black,COLUMBIA DRIVE
089AF,42576.6152659,black,AUSTIN DRIVE
089CB,44949.8348805,black,CANBY LANE ELEM
089SR,44471.7333448,black,SNAPFINGER ROAD N
089GF,46753.2187242,black,GLENWOOD ROAD
063MO1,40974.4173442,,MORROW 1
089BL,67348.9990567,black,BOULDERCREST ROAD
063EW1,56862.2945303,black,ELLENWOOD
089CS,65998.398768,black,CEDAR GROVE SOUTH
089CD,67577.9549057,black,CEDAR GROVE ELEM
12112F,38291.6535249,black,12F
12104V,24285.8435641,black,04V
12104I,53217.466991,black,04I
12101F,25282.0000225,black,01F
12101G,44017.9664044,black,01G
12101D,52036.5347394,black,01D
12101H,24479.6984578,black,01H
12105B,37228.5098978,black,05B
12101S,36673.1016468,black,01S
12101C2,35120.0000431,black,01C2
12101T,55133.2093864,,01T
12101P,39242.6726698,black,01P
12101R,20891.6639949,black,01R
12101E,90784.1397842,white,01E
12101A,92952.9622934,white,01A
12105A1,39463.2967499,black,05A1
12101B,80095.1839086,,01B
089KA,41734.4224844,black,KELLEY LAKE ELEM
089CQ,48441.992136,black,CANDLER
089CN,56069.8578966,white,COAN MIDDLE (ATL)
089EE,64047.6932682,white,EPWORTH (ATL)
089LE,59997.6991367,white,LIN-MARY LIN ELEM (ATL)
089BB,52449.3895367,white,BOULEVARD (ATL)
089ML,53920.7683813,black,MEADOWVIEW
089GC,55032.6402231,black,GRESHAM ROAD
089BR,56858.983108,white,BURGESS ELEM (ATL)
089MT,55994.556887,white,METROPOLITAN (ATL)
089PN,49885.9618547,black,PINEY GROVE
089TA,49803.0111423,black,TERRY MILL
12102G,59375.0279533,black,02G
12102D,51385.098194,black,02D
12102F2,27533.0,hispanic,02F2
12102J,27533.0003873,hispanic,02J
12106G,27533.0,hispanic,06G
12106B,75487.0,white,06B
12102E,25350.6313556,black,02E
12102F1,42909.2731933,white,02F1
12106F,58946.758234,white,06F
12106L1,87765.9992351,white,06L1
121RW17,100437.99017,white,RW17
121RW04,100437.999959,white,RW04
089KB,131053.188751,white,KINGSLEY ELEM (DUN)
121SS01,136488.870001,white,SS01
121RW20,141846.704718,white,RW20
121RW21A,163434.327627,white,RW21A
121RW22A,96248.0087598,white,RW22A
121RW07A,45163.0000085,hispanic,RW07A
089DA,51380.957949,,DORAVILLE NORTH (DOR)
089OB,48825.9669156,hispanic,OAKCLIFF ELEM
089NF,68242.5858185,,NORTH PEACHTREE (DUN)
13537,49915.3815158,,PINCKNEYVILLE E
089EC,72769.8156416,,EMBRY HILLS
089PF,42765.322967,,PLEASANTDALE ROAD
121SS25,240757.812902,white,SS25
13573,89159.9742188,white,PINCKNEYVILLE P
135126,157289.26475,white,PINCKNEYVILLE A1
121RW21B,215870.515805,white,RW21B
121JC19,116523.586226,white,JC19
121JC13A,215884.83114,white,JC13A
13522,112593.361519,white,PINCKNEYVILLE C
135125,157519.000127,white,PINCKNEYVILLE Z
13562,158449.136342,white,PINCKNEYVILLE L
121JC13B,215885.0,white,JC13B
13563,174588.43018,white,PINCKNEYVILLE M
13521,48705.2491376,hispanic,PINCKNEYVILLE B
13551,41192.3195348,hispanic,PINCKNEYVILLE J
135113,58325.9909451,,PINCKNEYVILLE V
135114,68796.7918856,,PINCKNEYVILLE W
13520,48121.3441719,hispanic,PINKCNEYVILLE A
13587,73037.8726623,,PINCKNEYVILLE S
089EF,77401.9394479,white,EVANSDALE ELEM
089MH,99403.6207026,white,MIDVALE ELEM
089TH,86583.1318894,white,TUCKER LIBRARY
089LV,96227.6770666,white,LIVSEY ELEM
089DB,50535.0285842,,DORAVILLE SOUTH (DOR)
121JC18A,98820.6053867,white,JC18A
121JC18B,117149.0,white,JC18B
121JC17,117142.980528,white,JC17
121AP01C,111815.650764,white,AP01C
121JC16,117148.995231,white,JC16
121AP01A,116185.023555,white,AP01A
121AP13,140031.290537,white,AP13
121AP12A,97284.0001583,,AP12A
121JC14,215884.999136,white,JC14
121AP14,118228.333247,white,AP14
121JC15,127036.418003,white,JC15
121JC10,111750.530237,white,JC10
089AG,138754.283642,white,ASHFORD DUNWOODY RD (BHAVN)
089AH,94373.329923,white,ASHFORD PARKSIDE (BHAVN)
089MU,59718.1137412,white,MONTGOMERY ELEM  (BHAVN)
089KG,64576.1341072,white,KITTREDGE ELEM (BHAVN)
089GD,93518.2565336,white,GEORGETOWN SQ (DUN)
089DF,103704.870622,,DUNWOODY (DUN)
089MS,135705.256782,white,MOUNT VERNON WEST (DUN)
12107F,120758.606402,white,07F
12107D,131764.348369,white,07D
12107N,52523.0003284,,07N
12107M,77244.3317819,,07M
12107E,126115.024592,white,07E
12107A,157276.007275,white,07A
12107C,176043.722072,white,07C
12107B,199294.36658,white,07B
089MZ,39873.7680554,black,MILLER GROVE HIGH
089RL,55589.406838,black,ROCK CHAPEL ROAD
089RF,69754.00005,black,ROCK CHAPEL ELEM
089RI,76356.9663357,black,ROCKBRIDGE ROAD
135122,66881.53564,black,ROCKBRIDGE G
13529,105833.146071,white,CATES B
13579,105832.992696,white,CATES K
135139,60154.2597737,,MARTINS K
135115,62549.6379779,,MARTINS H
13568,104667.072613,white,CATES I
13593,115555.99355,white,CATES M
135127,60407.0102112,,LAWRENCEVILLE J
13518,59237.7297579,,MARTINS B
13569,103561.424641,white,CATES J
13536,101285.282677,white,CATES E
135107,105700.685053,white,CATES O
13535,95189.7064185,white,CATES D
13544,69315.1544263,black,ROCKBRIDGE B
13553,55325.4170542,black,CATES H
13546,112113.957655,white,CATES F
13547,112113.999945,white,CATES G
135143,79124.9828859,,LAWRENCEVILLE L
13561,53880.4268808,,LAWRENCEVILLE E
135153,65770.3293267,,LAWRENCEVILLE N
13516,84147.2609054,,LAWRENCEVILLE B
13578,80066.6393881,white,BAYCREEK K
13515,54894.2737124,,LAWRENCEVILLE A
135110,62952.278405,,MARTINS G
135124,70959.3286338,,GOODWINS G
135149,93855.9999817,white,GOODWINS I
1356,82916.7351706,white,GOODWINS A
135128,72928.3511667,white,GOODWINS H
13583,83704.7140178,white,GOODWINS D
135106,104351.906772,,SUWANEE C
135105,111801.874104,white,SUGAR HILL F
