DISTRICT,income,race,Precinct Description
089AD,157989.300633,white,AUSTIN (DUN)
089MQ,146753.47041,white,MOUNT VERNON EAST (DUN)
121SS15B,72017.9998374,,SS15B
121SS17,46878.6732202,white,SS17
063OAK1,40769.3914333,black,OAK 1
121CP02,79794.9668548,,CP02
121CP01B,79794.9992581,,CP01B
067VG01,88765.7888437,white,VININGS 01
12109F,92955.4619794,white,09F
12108N2,221381.421359,white,08N2
12108N1,221299.000193,white,08N1
12108F1,226070.090638,white,08F1
12108A,263565.203108,white,08A
12108D,255725.654679,white,08D
067CA01,67115.7864348,,CHATTAHOOCHEE 01
067TM01,62734.6678864,,TERRELL MILL 01
067SO02,109556.046759,white,SOPE CREEK 02
121SS09A,66325.2756171,white,SS09A
067SO03,166386.08086,white,SOPE CREEK 03
121SS16,58034.0000791,,SS16
121AP09A,105645.403973,white,AP09A
135121,112622.830828,white,PINCKNEYVILLE X
13540,88833.7062525,,PINCKNEYVILLE H
121JC12,170409.619398,white,JC12
13599,63661.8072709,,PINCKNEYVILLE T
121SS15A,44353.0003431,black,SS15A
067RW01,135308.349366,white,ROSWELL 01
121RW02,142982.961069,white,RW02
121RW10,121373.989042,white,RW10
121RW15,166033.558256,white,RW15
121RW01,108603.189828,white,RW01
121RW03,71633.4028417,,RW03
135155,120739.198901,white,SUWANEE G
135140,145658.999772,white,SUWANEE H
13517,59083.7728671,,MARTINS A
13577,67035.1992435,,GOODWINS C
13597,83664.9144076,,GOODWINS E
067LM02,132393.217757,white,LOST MOUNTAIN 02
067FR01,140268.115179,white,FORD 01
067DU01,122343.99999,white,DURHAM 01
067KP03,123383.605978,white,KEMP 03
067FY01,121066.425676,white,FREY 01
067LM04,130492.169301,white,LOST MOUNTAIN 04
067MS01,105760.970971,white,MARS HILL 01
067LW01,99747.7968572,white,LEWIS 01
135131,145658.999952,white,SUWANEE E
1354,100037.072778,white,SUWANEE A
13598,86616.2120716,white,GOODWINS F
135142,108954.871969,,SUWANEE F
135100,108992.821252,,SUWANEE B
13530,70953.6404458,,CATES C
13570,102252.99995,white,GOODWINS B
13526,82901.170437,,HOG MOUNTAIN A
13531,89986.5605277,white,HOG MOUNTAIN D
135136,80519.2148583,white,HOG MOUNTAIN C
13567,80968.0378222,white,PUCKETTS E
13571,80776.9390566,,LAWRENCEVILLE F
135144,70796.5579162,,LAWRENCEVILLE M
13527,86588.316059,white,HOG MOUNTAIN B
067FP01,130850.90241,white,FULLERS PARK 01
067SM01,125454.990659,white,SEWELL MILL 01
067MD01,126857.326326,white,MURDOCK 01
067MT04,209538.999635,white,MT BETHEL 04
067EA01,122972.150886,white,EASTSIDE 01
067DO01,135135.423006,white,DODGEN 01
067CR01,126045.486549,white,CHESTNUT RIDGE 01
067RW02,153556.991168,white,ROSWELL 02
067WG02,84696.1926927,white,WADE GREEN 02
067BG02,101215.728602,white,BIG SHANTY 02
067PT01,111668.999885,white,PITNER 01
067CK01,57427.9083144,white,CHALKER 01
067PR01,87389.9386063,white,PALMER 01
067BF03,77375.5927994,white,BELLS FERRY 03
12103E,19653.4983947,black,03E
12104J,25242.292842,black,04J
12103L,60667.9997259,black,03L
12103M,57334.3119909,white,03M
12103N,29787.4994217,black,03N
12109G1,67895.0182723,white,09G1
12109G2,67895.0000883,white,09G2
12109H,67895.0,white,09H
12108M,135365.035419,white,08M
12107J,125829.486437,white,07J
12107H,129059.000016,white,07H
12108G,118764.009889,white,08G
12108C,256389.389374,white,08C
12108B,245507.920083,white,08B
12106I,69900.5230237,,06I
067MT01,157721.753009,white,MT BETHEL 01
121SS18B,90477.0004194,white,SS18B
067TR01,157506.254459,white,TIMBER RIDGE 01
121SS02A,90477.0,white,SS02A
121SS19B,77423.006892,white,SS19B
121SS19A,66247.9391108,,SS19A
121SS29B,103129.0,,SS29B
121SS26,57995.7841135,,SS26
121SS20,68393.6845785,,SS20
121SS22,52899.405147,,SS22
121RW11A,92566.1771281,white,RW11A
121RW19,187821.165651,white,RW19
121ML012,177525.000024,white,ML012
121ML01B,178143.432728,white,ML01B
121AP04A,138431.719885,white,AP04A
121ML011,177524.999989,white,ML011
121AP04B,177524.999495,white,AP04B
12105A2,74509.8315883,white,05A2
12103G,15389.0001477,black,03G
12103T,44311.8871663,black,03T
12103P2,21209.0,black,03P2
12104F,49896.5106383,white,04F
12103P1A,53680.0186107,white,03P1A
12103I,66113.854176,,03I
121AP06,111870.317795,white,AP06
121AP07B,138287.349975,white,AP07B
121ML023,177681.167199,white,ML023
121ML022,190427.0,white,ML022
121AP10,169333.999407,white,AP10
121ML04A,163189.779537,white,ML04A
121AP07A,90764.2214155,white,AP07A
121ML024,190426.999955,white,ML024
121ML04B,177112.076944,white,ML04B
121ML021,187591.470592,white,ML021
121ML03,190427.0,white,ML03
121ML07A,190427.0,white,ML07A
121ML05B,190427.0,white,ML05B
