v_id,race,avg_income
0517-8 C,white,54643
0517-9 C,,57974
0518-1 C,white,57148
0518-10C,white,45931
0518-11C,black,32674
0518-12C,,53105
0518-13C,white,69798
0518-15C,black,40080
0518-2 C,black,49759
0518-3 C,white,52491
0518-5 C,white,48969
0518-6 C,,49985
0518-7 C,white,57832
0518-8 C,white,59373
0518-9 C,white,52489
0531,white,36140
0551083,white,55009
0551216,white,54986
0551382,white,61056
0551484,white,49659
055870,white,37300
055925,white,36657
055940,white,61055
055961,white,49658
055962,white,61056
055968,white,47670
055P-870,white,32874
055XC-968,white,54539
0571,white,90399
05710,black,46121
05711,white,62254
05712,white,65440
05713,black,46975
05714,white,38083
05715,white,113350
05716,white,72540
05718,white,103604
05719,white,94937
0572,white,92976
05720,white,87801
05721,white,113549
05722,white,58965
05723,white,74939
05724,white,93633
05726,white,86931
05727,white,109321
05728,white,101517
05729,white,76278
0573,white,98530
05730,white,41750
05731,white,85316
05732,white,102926
05733,white,42882
05734,white,94245
05735,white,37659
05736,white,59635
05737,white,91189
05738,white,106858
05739,white,77676
0574,white,38084
05740,white,90601
05741,white,42882
05742,white,74209
05743,white,86931
05744,white,70247
0575,white,101304
0576,white,70436
0577,white,112296
0578,white,96625
0579,white,93661
0591A,,45124
0591B,white,60565
0591C,white,45349
0591D,white,77573
0592A,,37319
0592B,white,108676
0593A,white,84744
0593B,white,70529
0594A,white,55760
0594B,white,53315
0595A,,53338
0595B,,66956
0595C,white,60283
0595D,,46216
0596A,white,62060
0596B,white,58794
0596C,white,58159
0596D,white,54292
0597A,white,78771
0597B,white,43889
0597C,white,37593
0598A,white,58977
0598B,white,79295
0598C,white,37196
0611,white,49809
0612,white,49808
0613,white,49808
0614,white,49809
0615,white,49808
063EW1,black,56862
063FP1,black,37380
063FP2,black,36139
063FP3,black,35993
063FP4,,48873
063FP5,,37037
063FP6,,46613
063JB01,black,39933
063JB02,black,49034
063JB03,black,56599
063JB04,black,37525
063JB05,black,62825
063JB06,white,98789
063JB07,black,61403
063JB08,black,44427
063JB09,black,35822
063JB10,black,44509
063JB11,black,71822
063JB12,black,52808
063JB13,black,61698
063JB14,black,66969
063JB15,black,35178
063JB16,black,40743
063JB17,black,43596
063JB18,black,52204
063LC1,black,50363
063LJ1,black,50463
063LJ2,black,59073
063LJ3,black,66907
063LJ4,black,62824
063LJ5,black,48899
063MO1,black,40974
063MO2,black,47053
063MO3,,50130
063MO4,black,47832
063MO5,black,64404
063MO6,black,58798
063MO7,black,46943
063MO8,black,54248
063MO9,black,44337
063OAK1,black,40769
063OAK2,black,46757
063OAK3,black,34426
063OAK4,black,50174
063PH1,black,71320
063PH2,black,71320
063RD01,black,59696
063RD02,black,48828
063RD03,black,48306
063RD04,black,49299
063RD05,black,50020
063RD06,black,36949
063RD07,black,39859
063RD08,black,62179
063RD09,black,50495
063RD10,black,31847
063RD11,black,65591
063RD12,black,56432
065AB,white,62392
065AG,white,62392
065D,white,50732
065F,white,47583
065H,white,57098
067AC1A,white,86606
067AC1B,white,56038
067AC1C,white,79031
067AD01,white,96407
067AU1A,black,59945
067BF02,white,88513
067BF03,white,77375
067BG01,white,69132
067BG02,white,101215
067BK01,white,83133
067BR01,,81758
067BR02,white,88901
067BT01,black,48001
067BT02,black,40853
067BW01,white,92280
067CA01,,67115
067CH02,white,96504
067CH03,white,101448
067CK01,white,57427
067CL01,black,60280
067CL02,black,67228
067CO01,black,64283
067CR01,white,126045
067DC01,white,132366
067DI01,,48432
067DL01,,116142
067DO01,white,135135
067DU01,white,122344
067DV01,white,107699
067EA01,white,122972
067EA02,white,103993
067EL01,white,68561
067EL02,white,71124
067EL03,white,100872
067EL04,white,69450
067EL05,white,107569
067EP01,white,64825
067FO01,,59273
067FO02,,52712
067FO04,,44912
067FO05,,40611
067FP01,white,130850
067FR01,white,140268
067FY01,white,121066
067GM01,white,106741
067GT01,white,86430
067HL01,,80364
067HR01,white,129495
067HT01,white,145838
067HY01,white,93193
067KE1A,white,77015
067KE2A,white,85698
067KE3A,white,75715
067KE4A,white,77266
067KE5A,white,79632
067KL01,white,90600
067KP01,white,115967
067KP02,white,99897
067KP03,white,123383
067LA01,white,135333
067LI01,,133845
067LM01,white,115726
067LM02,white,132393
067LM03,white,127437
067LM04,white,130492
067LW01,white,99747
067MA01,,76534
067MA02,black,59046
067MA03,white,90712
067MA04,white,85858
067MB01,white,151583
067MC01,,70161
067MD01,white,126857
067ME01,,80636
067MK01,white,102495
067ML01,white,98470
067MR1A,,44244
067MR2A,white,89297
067MR2B,,65711
067MR3A,,59452
067MR4A,white,83951
067MR4B,white,65071
067MR4C,white,74968
067MR5A,white,54417
067MR5B,white,71131
067MR6A,white,58692
067MR6B,white,84439
067MR7A,,45575
067MS01,white,105882
067MS02,white,98471
067MT01,white,157721
067MT03,white,168312
067MT04,white,209539
067NC01,white,74357
067NJ01,white,96528
067NP01,,78399
067NS01,white,98730
067OK01,white,114410
067OR01,white,113406
067OR02,,89560
067OR03,,56990
067OR04,,67349
067OR05,,115053
067PE01,black,54717
067PF01,white,72146
067PM01,white,114203
067PM02,white,86941
067PO01,white,138682
067PP01,white,133844
067PR01,white,87389
067PS1A,,72507
067PS2A,,66300
067PS3A,,69734
067PT01,white,111669
067RM01,white,107844
067RS01,black,46848
067RW01,white,135308
067RW02,white,153556
067SA01,white,126620
067SF01,white,137689
067SI01,white,123586
067SM01,white,125454
067SM03,white,77700
067SN1A,,62805
067SN2A,,63168
067SN3A,,57525
067SN4A,white,88558
067SN5A,,49759
067SN6A,white,117284
067SN7A,white,99052
067SN7B,white,114849
067SO01,white,128432
067SO02,white,109556
067SO03,white,166386
067SW01,,71456
067SW02,,48161
067TM01,,62734
067TR01,white,157506
067VA01,white,133632
