,DISTRICT,income,race,Precinct Description,Precinct,prec,County,MITT ROMNEY (R),BARACK OBAMA (I)(D)
295,121AP05,158709.308464,white,AP05,AP05,AP05,Fulton,2114,798
296,121AP09B,115719.401279,white,AP09B,AP09B,AP09B,Fulton,284,199
297,089HF,65928.9603339,,HUNTLEY HILLS ELEM (CHA),HUNTLEY HILLS ELEM,HUNTLEY HILLS ELEM (CHA),DeKalb,471,906
298,089PB,59632.0001897,,PEACHTREE MIDDLE (DUN),PEACHTREE MIDDLE,PEACHTREE MIDDLE (DUN),DeKalb,638,1119
299,089CH,72004.6906385,white,CHESNUT ELEM (DUN),CHESNUT ELEM,CHESNUT ELEM (DUN),DeKalb,506,864
300,067MT03,168311.623111,white,MT BETHEL 03,MT BETHEL 03,MT BETHEL 03,Cobb,1362,588
301,067PE01,54717.0484505,black,PEBBLEBROOK 01,PEBBLEBROOK 01,PEBBLEBROOK 01,Cobb,559,2294
302,067MA02,59046.8462027,,MABLETON 02,MABLETON 02,MABLETON 02,Cobb,555,895
303,067BT02,40853.856121,black,BRYANT 02,BRYANT 02,BRYANT 02,Cobb,114,2500
304,067RS01,46848.0001011,black,RIVERSIDE 01,RIVERSIDE 01,RIVERSIDE 01,Cobb,88,918
305,067AU1A,59962.8220394,black,AUSTELL 1A,AUSTELL 1A,AUSTELL 1A,Cobb,551,1883
306,121UC02B,99633.9108888,black,UC02B,UC02B,UC02B,Fulton,0,5
307,121SC05B,101950.239027,black,SC05B,SC05B,SC05B,Fulton,178,3105
308,121SC08C,48657.023764,black,SC08C,SC08C,SC08C,Fulton,0,88
309,121SC18B,101953.999923,black,SC18B,SC18B,SC18B,Fulton,84,2914
310,067CL01,60280.8508902,black,CLARKDALE 01,CLARKDALE 01,CLARKDALE 01,Cobb,462,532
311,067PS2A,66352.2386892,black,POWDER SPRINGS 2A,POWDER SPRINGS 2A,POWDER SPRINGS 2A,Cobb,339,1278
312,067CO01,64283.2503091,black,COOPER 01,COOPER 01,COOPER 01,Cobb,730,1955
313,067OR02,89559.9998885,,OREGON 02,OREGON 02,OREGON 02,Cobb,638,1275
314,121SC13B,56422.003735,white,SC13B,SC13B,SC13B,Fulton,82,1265
315,121SC05A,58258.2233014,white,SC05A,SC05A,SC05A,Fulton,11,392
316,121SC13A,56422.0002889,white,SC13A,SC13A,SC13A,Fulton,125,3400
317,12109K,31091.9225552,black,09K,09K,09K,Fulton,11,1215
318,12109M,118699.999949,white,09M,09M,09M,Fulton,421,694
319,12109E,42531.6628892,black,09E,09E,09E,Fulton,42,1161
320,12109A,100512.153848,,09A,09A,09A,Fulton,643,1035
321,12103A,27740.6627099,black,03A,03A,03A,Fulton,13,1016
322,12103D,27340.0000291,black,03D,03D,03D,Fulton,3,456
323,12103B,27406.0000852,black,03B,03B,03B,Fulton,1,260
324,067AC1B,56038.6551555,white,ACWORTH 1B,ACWORTH 1B,ACWORTH 1B,Cobb,1537,941
325,067MC01,70161.0019773,,MACLAND 01,MACLAND 01,MACLAND 01,Cobb,773,1415
326,067OR05,115053.218289,white,OREGON 05,OREGON 05,OREGON 05,Cobb,1309,1115
327,067KP02,99899.129528,white,KEMP 02,KEMP 02,KEMP 02,Cobb,1695,811
328,067OR04,67348.9999932,,OREGON 04,OREGON 04,OREGON 04,Cobb,479,1366
329,067DL01,116142.006679,white,DOWELL 01,DOWELL 01,DOWELL 01,Cobb,1316,811
330,067CH03,101431.856003,white,CHEATHAM HILL 03,CHEATHAM HILL 03,CHEATHAM HILL 03,Cobb,1745,912
331,067MA01,76526.1134595,,MABLETON 01,MABLETON 01,MABLETON 01,Cobb,1156,1696
332,067SW02,48164.3079317,black,SWEETWATER 02,SWEETWATER 02,SWEETWATER 02,Cobb,435,1166
333,067BR02,88901.4144031,white,BIRNEY 02,BIRNEY 02,BIRNEY 02,Cobb,1154,1198
334,067BR01,81757.9999983,,BIRNEY 01,BIRNEY 01,BIRNEY 01,Cobb,651,766
335,067MA03,90712.6836194,white,MABLETON 03,MABLETON 03,MABLETON 03,Cobb,959,787
336,067MA04,85874.5923571,white,MABLETON 04,MABLETON 04,MABLETON 04,Cobb,702,353
337,067AC1A,86606.9200046,white,ACWORTH 1A,ACWORTH 1A,ACWORTH 1A,Cobb,1635,1226
338,067ME01,80636.2928891,,MCEACHERN 01,MCEACHERN 01,MCEACHERN 01,Cobb,1017,848
339,067LM01,115676.017844,white,LOST MOUNTAIN 01,LOST MOUNTAIN 01,LOST MOUNTAIN 01,Cobb,1656,541
340,067OR01,113406.000007,white,OREGON 01,OREGON 01,OREGON 01,Cobb,832,324
341,067VA01,133633.008538,white,VAUGHAN 01,VAUGHAN 01,VAUGHAN 01,Cobb,1703,451
342,067PS1A,72507.5992392,,POWDER SPRINGS 1A,POWDER SPRINGS 1A,POWDER SPRINGS 1A,Cobb,1184,1722
343,067PS3A,69734.9063381,,POWDER SPRINGS 3A,POWDER SPRINGS 3A,POWDER SPRINGS 3A,Cobb,697,1195
344,067LM03,127437.776917,white,LOST MOUNTAIN 03,LOST MOUNTAIN 03,LOST MOUNTAIN 03,Cobb,2007,740
345,067SW01,71456.3040366,,SWEETWATER 01,SWEETWATER 01,SWEETWATER 01,Cobb,952,1008
346,067CL02,67228.7038238,black,CLARKDALE 02,CLARKDALE 02,CLARKDALE 02,Cobb,1028,1956
347,067MR3A,59452.946863,,MARIETTA 3A,MARIETTA 3A,MARIETTA 3A,Cobb,1177,1257
348,067HR01,129495.146669,white,HARRISON 01,HARRISON 01,HARRISON 01,Cobb,1477,372
349,067KP01,115967.16253,white,KEMP 01,KEMP 01,KEMP 01,Cobb,1046,309
350,067ML01,98471.0045237,white,MCCLURE 01,MCCLURE 01,MCCLURE 01,Cobb,825,260
351,067NC01,74359.4702,white,NORTH COBB 01,NORTH COBB 01,NORTH COBB 01,Cobb,825,494
352,067SN7B,114849.058097,,SMYRNA 7B,SMYRNA 7B,SMYRNA 7B,Cobb,1996,2105
353,121SC14,42668.9250389,black,SC14,SC14,SC14,Fulton,15,564
354,067HL01,80364.0067912,,HARMONY-LELAND 01,HARMONY-LELAND 01,HARMONY-LELAND 01,Cobb,840,2421
355,067LI01,133845.983744,,LINDLEY 01,LINDLEY 01,LINDLEY 01,Cobb,1134,1743
356,121CP04,36599.8336446,black,CP04,CP04,CP04,Fulton,3,45
357,121CP012,39986.8709058,,CP012,CP012,CP012,Fulton,264,636
358,121EP03,40753.9595325,black,EP03,EP03,EP03,Fulton,49,556
359,121CP011,40399.8685842,,CP011,CP011,CP011,Fulton,80,321
360,121SC19B,47644.2055908,black,SC19B,SC19B,SC19B,Fulton,23,764
361,121EP04,44235.3064161,black,EP04,EP04,EP04,Fulton,185,784
362,121CP051,51275.8443223,black,CP051,CP051,CP051,Fulton,23,930
363,121CP07A,35016.0003381,black,CP07A,CP07A,CP07A,Fulton,7,544
364,12111P,45767.3397957,black,11P,11P,11P,Fulton,11,1052
365,121SC10,41164.0363432,black,SC10,SC10,SC10,Fulton,18,836
366,121CP081,41166.0001052,black,CP081,CP081,CP081,Fulton,2,132
367,121SC17A,48657.006409,black,SC17A,SC17A,SC17A,Fulton,0,44
368,121SC17C,40697.9825237,black,SC17C,SC17C,SC17C,Fulton,21,692
369,121SC19A,39780.2115605,black,SC19A,SC19A,SC19A,Fulton,5,127
370,121SC18A,53108.6451605,black,SC18A,SC18A,SC18A,Fulton,5,299
371,12111E3,50016.1480866,black,11E3,11E3,11E3,Fulton,15,1200
372,12111E1,51445.000011,black,11E1,11E1,11E1,Fulton,21,656
373,12111E2,51445.0,black,11E2,11E2,11E2,Fulton,13,1002
374,121UC02A,58366.7049726,black,UC02A,UC02A,UC02A,Fulton,155,3746
375,121SC08F,48657.0,black,SC08F,SC08F,SC08F,Fulton,16,394
376,121SC01B,87927.9411808,black,SC01B,SC01B,SC01B,Fulton,56,2549
377,121SC02,71485.7392749,black,SC02,SC02,SC02,Fulton,20,1004
378,121SC16,81562.9999511,black,SC16,SC16,SC16,Fulton,47,2719
379,067BT01,48001.3799581,black,BRYANT 01,BRYANT 01,BRYANT 01,Cobb,73,1243
380,12111C,71432.8537365,black,11C,11C,11C,Fulton,24,1656
381,121SC30A,71467.0,black,SC30A,SC30A,SC30A,Fulton,0,93
382,12110A,37740.3164043,black,10A,10A,10A,Fulton,12,1905
383,12110C,29262.0318226,black,10C,10C,10C,Fulton,5,1430
384,12111N,50322.0366046,black,11N,11N,11N,Fulton,22,1486
385,12111M,52641.9999697,black,11M,11M,11M,Fulton,16,1694
386,121SC30B,61707.4505136,black,SC30B,SC30B,SC30B,Fulton,6,797
387,12110L,72578.9996085,black,10L,10L,10L,Fulton,27,2042
388,12110R,27503.9998312,black,10R,10R,10R,Fulton,3,427
389,12110H,31296.7654716,black,10H,10H,10H,Fulton,19,1370
390,12111B,65759.240361,black,11B,11B,11B,Fulton,46,3068
391,12110D,26177.6079698,black,10D,10D,10D,Fulton,16,2315
392,12110E,33518.5280698,black,10E,10E,10E,Fulton,3,613
393,12110P,32046.999984,black,10P,10P,10P,Fulton,3,786
394,12109C,40447.9996988,black,09C,09C,09C,Fulton,25,1736
395,12109B,35970.8214809,black,09B,09B,09B,Fulton,1,237
396,12109L,40094.0606534,black,09L,09L,09L,Fulton,26,1008
397,12111R,21537.9448448,black,11R,11R,11R,Fulton,1,898
398,12111K,42006.4885368,black,11K,11K,11K,Fulton,31,1176
399,12111G,25664.1565825,black,11G,11G,11G,Fulton,16,1411
400,12112C,41225.9998394,black,12C,12C,12C,Fulton,33,777
401,12104S,46545.999876,black,04S,04S,04S,Fulton,14,1240
402,12104X1,35759.0200937,black,04X1,04X1,04X1,Fulton,9,1047
403,12104M,21568.0,black,04M,04M,04M,Fulton,3,352
404,12104T,35386.0,black,04T,04T,04T,Fulton,4,608
405,12110M,36298.822261,black,10M,10M,10M,Fulton,20,1341
406,12104X2,35959.1343464,black,04X2,04X2,04X2,Fulton,6,314
407,12104L,36129.9999521,black,04L,04L,04L,Fulton,22,705
408,12104D,35651.9999567,black,04D,04D,04D,Fulton,9,782
409,12104G,36778.0,black,04G,04G,04G,Fulton,3,353
410,12104A,30341.9999945,black,04A,04A,04A,Fulton,10,579
411,12104K,35074.0841761,black,04K,04K,04K,Fulton,22,1163
412,12104W,38930.9239721,black,04W,04W,04W,Fulton,2,813
413,12110F,40447.8169444,black,10F,10F,10F,Fulton,14,673
414,12103S,35997.0000039,black,03S,03S,03S,Fulton,1,374
415,12109D,26088.6688216,black,09D,09D,09D,Fulton,8,1039
416,12103C,39291.3838513,black,03C,03C,03C,Fulton,5,866
417,12103H,35997.0000251,black,03H,03H,03H,Fulton,5,490
418,067OR03,56990.6482891,,OREGON 03,OREGON 03,OREGON 03,Cobb,673,1106
419,067MR2A,89297.6799139,white,MARIETTA 2A,MARIETTA 2A,MARIETTA 2A,Cobb,1155,723
420,067NP01,78399.9406555,,NORTON PARK 01,NORTON PARK 01,NORTON PARK 01,Cobb,1178,1156
421,067FO01,59273.0004728,,FAIR OAKS 01,FAIR OAKS 01,FAIR OAKS 01,Cobb,660,1530
422,067LA01,135333.297273,white,LASSITER 01,LASSITER 01,LASSITER 01,Cobb,1778,573
423,067KL01,90600.0000324,white,KELL 01,KELL 01,KELL 01,Cobb,946,408
424,067RM01,107844.870771,white,ROCKY MOUNT 01,ROCKY MOUNT 01,ROCKY MOUNT 01,Cobb,1604,644
425,067EA02,103993.958473,white,EASTSIDE 02,EASTSIDE 02,EASTSIDE 02,Cobb,2017,859
426,067SO01,128431.999861,white,SOPE CREEK 01,SOPE CREEK 01,SOPE CREEK 01,Cobb,1142,468
427,067FO02,52712.4392107,,FAIR OAKS 02,FAIR OAKS 02,FAIR OAKS 02,Cobb,686,1497
428,067FO04,44912.2795331,,FAIR OAKS 04,FAIR OAKS 04,FAIR OAKS 04,Cobb,487,638
429,067MR2B,65711.1799342,,MARIETTA 2B,MARIETTA 2B,MARIETTA 2B,Cobb,1266,1624
430,067BF02,88512.9901919,white,BELLS FERRY 02,BELLS FERRY 02,BELLS FERRY 02,Cobb,1172,741
431,067BW01,92280.8493667,white,BLACKWELL 01,BLACKWELL 01,BLACKWELL 01,Cobb,939,558
432,067GT01,86430.0564448,white,GRITTERS 01,GRITTERS 01,GRITTERS 01,Cobb,950,496
433,067MK01,102494.999956,white,MCCLESKEY 01,MCCLESKEY 01,MCCLESKEY 01,Cobb,867,372
434,067NS01,98730.8242133,white,NICHOLSON 01,NICHOLSON 01,NICHOLSON 01,Cobb,1051,543
435,067AD01,96407.00754,white,ADDISON 01,ADDISON 01,ADDISON 01,Cobb,971,500
436,067SI01,123586.000049,white,SIMPSON 01,SIMPSON 01,SIMPSON 01,Cobb,924,383
437,067MR6A,58686.2957434,white,MARIETTA 6A,MARIETTA 6A,MARIETTA 6A,Cobb,272,874
438,067MR5B,71131.401242,white,MARIETTA 5B,MARIETTA 5B,MARIETTA 5B,Cobb,304,750
439,067HY01,93193.9643763,white,HAYES 01,HAYES 01,HAYES 01,Cobb,1949,646
440,067PM02,86939.8596807,white,PINE MOUNTAIN 02,PINE MOUNTAIN 02,PINE MOUNTAIN 02,Cobb,1641,307
441,067CH02,96504.704698,white,CHEATHAM HILL 02,CHEATHAM HILL 02,CHEATHAM HILL 02,Cobb,1476,530
442,067PF01,72146.5837328,white,POWERS FERRY 01,POWERS FERRY 01,POWERS FERRY 01,Cobb,1367,811
443,12108E,269010.312053,white,08E,08E,08E,Fulton,1301,545
444,067VG04,126661.805272,white,VININGS 04,VININGS 04,VININGS 04,Cobb,1567,738
445,067MR7A,45574.9659184,,MARIETTA 7A,MARIETTA 7A,MARIETTA 7A,Cobb,313,1266
446,067FO05,40611.7386728,,FAIR OAKS 05,FAIR OAKS 05,FAIR OAKS 05,Cobb,306,477
447,067MR1A,44243.5740626,,MARIETTA 1A,MARIETTA 1A,MARIETTA 1A,Cobb,396,1191
448,067DI01,48433.5654379,,DOBBINS 01,DOBBINS 01,DOBBINS 01,Cobb,357,1508
449,067SN5A,49751.0936112,,SMYRNA 5A,SMYRNA 5A,SMYRNA 5A,Cobb,749,1215
450,067SN3A,57525.2561464,,SMYRNA 3A,SMYRNA 3A,SMYRNA 3A,Cobb,849,1207
451,067MR4C,74968.78785,white,MARIETTA 4C,MARIETTA 4C,MARIETTA 4C,Cobb,1465,618
452,067KE3A,75715.0304655,white,KENNESAW 3A,KENNESAW 3A,KENNESAW 3A,Cobb,475,358
453,067MR4A,83951.0,white,MARIETTA 4A,MARIETTA 4A,MARIETTA 4A,Cobb,1244,321
454,067MR5A,54417.3046791,,MARIETTA 5A,MARIETTA 5A,MARIETTA 5A,Cobb,299,766
455,067SN7A,99052.1272221,white,SMYRNA 7A,SMYRNA 7A,SMYRNA 7A,Cobb,1406,774
456,067SN4A,88558.9035795,white,SMYRNA 4A,SMYRNA 4A,SMYRNA 4A,Cobb,1347,1325
457,067EP01,64825.2446372,white,EAST PIEDMONT 01,EAST PIEDMONT 01,EAST PIEDMONT 01,Cobb,772,640
458,067KE1A,77015.5050269,white,KENNESAW 1A,KENNESAW 1A,KENNESAW 1A,Cobb,640,435
459,067BG01,69130.7263802,white,BIG SHANTY 01,BIG SHANTY 01,BIG SHANTY 01,Cobb,961,522
460,067MR4B,65071.6983488,white,MARIETTA 4B,MARIETTA 4B,MARIETTA 4B,Cobb,802,702
461,067EL01,68561.6172113,white,ELIZABETH 01,ELIZABETH 01,ELIZABETH 01,Cobb,787,913
462,067PM01,114203.499666,white,PINE MOUNTAIN 01,PINE MOUNTAIN 01,PINE MOUNTAIN 01,Cobb,1624,388
463,067KE2A,85698.9271015,white,KENNESAW 2A,KENNESAW 2A,KENNESAW 2A,Cobb,944,1360
464,067MS02,98446.0335185,white,MARS HILL 02,MARS HILL 02,MARS HILL 02,Cobb,1014,587
465,067AC1C,79031.1637163,white,ACWORTH 1C,ACWORTH 1C,ACWORTH 1C,Cobb,1218,1300
466,067KE4A,77266.2969222,white,KENNESAW 4A,KENNESAW 4A,KENNESAW 4A,Cobb,842,602
467,067KE5A,79632.8809973,white,KENNESAW 5A,KENNESAW 5A,KENNESAW 5A,Cobb,1336,705
468,067BK01,83133.409111,white,BAKER 01,BAKER 01,BAKER 01,Cobb,1379,1133
469,067OK01,114410.028123,white,OAKDALE 01,OAKDALE 01,OAKDALE 01,Cobb,1309,989
470,067NJ01,96528.8662411,white,NICKAJACK 01,NICKAJACK 01,NICKAJACK 01,Cobb,952,1504
471,067SN6A,117261.09756,white,SMYRNA 6A,SMYRNA 6A,SMYRNA 6A,Cobb,1697,1607
472,067VG03,101153.096721,white,VININGS 03,VININGS 03,VININGS 03,Cobb,1255,1282
473,067VG02,85128.5831797,,VININGS 02,VININGS 02,VININGS 02,Cobb,1444,1820
474,067SN2A,63168.5304485,,SMYRNA 2A,SMYRNA 2A,SMYRNA 2A,Cobb,598,901
475,067SN1A,62805.5286894,,SMYRNA 1A,SMYRNA 1A,SMYRNA 1A,Cobb,629,1433
476,067MR6B,84439.8843064,white,MARIETTA 6B,MARIETTA 6B,MARIETTA 6B,Cobb,1092,719
477,067EL02,71124.8854385,white,ELIZABETH 02,ELIZABETH 02,ELIZABETH 02,Cobb,936,492
478,067EL04,69450.4283272,white,ELIZABETH 04,ELIZABETH 04,ELIZABETH 04,Cobb,760,785
479,067SM03,77698.3457055,white,SEWELL MILL 03,SEWELL MILL 03,SEWELL MILL 03,Cobb,1352,1211
480,067EL03,100849.673996,white,ELIZABETH 03,ELIZABETH 03,ELIZABETH 03,Cobb,935,422
481,067EL05,107569.000056,white,ELIZABETH 05,ELIZABETH 05,ELIZABETH 05,Cobb,1203,735
482,089SM,67964.3714773,black,SALEM MIDDLE,SALEM MIDDLE,SALEM MIDDLE,DeKalb,56,2217
483,089CC,37708.5424923,black,COLUMBIA ELEM,COLUMBIA ELEM,COLUMBIA ELEM,DeKalb,13,835
484,089FL,53082.3465227,black,FLAT SHOALS LIBRARY,FLAT SHOALS LIBRARY,FLAT SHOALS LIBRARY,DeKalb,27,1404
485,089CM,48321.456227,black,COLUMBIA MIDDLE,COLUMBIA MIDDLE,COLUMBIA MIDDLE,DeKalb,19,1078
486,089TC,31018.0001088,black,TONEY ELEM,TONEY ELEM,TONEY ELEM,DeKalb,19,1013
487,089SG,49201.5433753,black,SNAPFINGER ELEM,SNAPFINGER ELEM,SNAPFINGER ELEM,DeKalb,32,1223
488,13566,43949.9557506,hispanic,PINCKNEYVILLE O,PINCKNEYVILLE O,PINCKNEYVILLE O,Gwinnett,382,1134
489,13538,48601.4434474,hispanic,PINCKNEYVILLE F,PINCKNEYVILLE F,PINCKNEYVILLE F,Gwinnett,293,523
490,13559,46957.0349528,,PINCKNEYVILLE N,PINCKNEYVILLE N,PINCKNEYVILLE N,Gwinnett,318,1404
491,089NC,60236.9999293,black,NORTH HAIRSTON,NORTH HAIRSTON,NORTH HAIRSTON,DeKalb,161,1097
492,089BF,58317.6675457,,BROCKETT ELEM (TUC),BROCKETT ELEM,BROCKETT ELEM (TUC),DeKalb,506,772
493,13584,80120.3323567,,LAWRENCEVILLE G,LAWRENCEVILLE G,LAWRENCEVILLE G,Gwinnett,497,979
494,135150,33750.9787657,,DULUTH K,DULUTH K,DULUTH K,Gwinnett,231,775
495,13548,72921.5412114,,DULUTH B,DULUTH B,DULUTH B,Gwinnett,1142,688
496,13596,110492.900219,,DULUTH G,DULUTH G,DULUTH G,Gwinnett,1087,582
497,13572,44527.0956843,,MARTINS E,MARTINS E,MARTINS E,Gwinnett,298,2171
498,13595,80415.67377,,DULUTH F,DULUTH F,DULUTH F,Gwinnett,543,1515
499,135138,104633.557229,,DULUTH I,DULUTH I,DULUTH I,Gwinnett,1648,657
500,121JC01,145436.99994,,JC01,JC01,JC01,Fulton,1612,1170
501,1357,98014.0090971,white,DULUTH A,DULUTH A,DULUTH A,Gwinnett,1573,1068
502,089MN,41417.7465845,black,MEMORIAL SOUTH,MEMORIAL SOUTH,MEMORIAL SOUTH,DeKalb,78,833
503,089MM,43097.1164635,black,MEMORIAL NORTH,MEMORIAL NORTH,MEMORIAL NORTH,DeKalb,189,1408
504,089WB,56502.0,black,WESLEY CHAPEL LIBRARY,WESLEY CHAPEL LIBRARY,WESLEY CHAPEL LIBRARY,DeKalb,42,2032
505,089MF,65251.9999564,black,MCWILLIAMS,MCWILLIAMS,MCWILLIAMS,DeKalb,18,1317
506,089BM,53747.6837004,black,BETHUNE MIDDLE,BETHUNE MIDDLE,BETHUNE MIDDLE,DeKalb,56,2544
507,089SD,71286.1437994,black,STONE MOUNTAIN ELEM,STONE MOUNTAIN ELEM,STONE MOUNTAIN ELEM,DeKalb,465,1033
508,089WN,73882.004222,black,WYNBROOKE ELEM,WYNBROOKE ELEM,WYNBROOKE ELEM,DeKalb,129,2052
509,089ST,77019.3781422,black,STEPHENSON MIDDLE,STEPHENSON MIDDLE,STEPHENSON MIDDLE,DeKalb,117,2131
510,089SO,76661.6416358,black,SOUTH DESHON,SOUTH DESHON,SOUTH DESHON,DeKalb,53,2004
511,13564,68808.0899946,black,GARNERS D,GARNERS D,GARNERS D,Gwinnett,606,1295
512,089VB,47316.0002603,,VALLEY BROOK,VALLEY BROOK,VALLEY BROOK,DeKalb,172,348
513,089SC,53268.7732685,black,SHAW-ROBERT SHAW ELEM,SHAW-ROBERT SHAW ELEM,SHAW-ROBERT SHAW ELEM,DeKalb,341,1682
514,089RG,35326.7998836,black,ROWLAND ELEM,ROWLAND ELEM,ROWLAND ELEM,DeKalb,93,1678
515,089DE,58731.7910895,black,DUNAIRE ELEM,DUNAIRE ELEM,DUNAIRE ELEM,DeKalb,161,1033
516,089AA,63471.9998234,black,ALLGOOD ELEM,ALLGOOD ELEM,ALLGOOD ELEM,DeKalb,180,1628
517,089IB,37167.245448,black,INDIAN CREEK ELEM,INDIAN CREEK ELEM,INDIAN CREEK ELEM,DeKalb,130,874
518,089CK,37306.7694379,black,CLARKSTON (CLA),CLARKSTON,CLARKSTON (CLA),DeKalb,189,1357
519,13510,93438.5673772,white,CATES A,CATES A,CATES A,Gwinnett,1033,472
520,13581,70051.9971414,,CATES L,CATES L,CATES L,Gwinnett,1248,1110
521,135156,80793.2614533,,BAYCREEK J,BAYCREEK J,BAYCREEK J,Gwinnett,1137,1287
522,13541,78720.2706164,,BAYCREEK B,BAYCREEK B,BAYCREEK B,Gwinnett,1272,1645
523,135134,76728.0000797,white,BAYCREEK F,BAYCREEK F,BAYCREEK F,Gwinnett,1065,1128
524,13594,101025.320875,white,CATES N,CATES N,CATES N,Gwinnett,1339,364
525,1355,89086.6851566,white,BAYCREEK A,BAYCREEK A,BAYCREEK A,Gwinnett,1213,648
526,13586,48606.0125066,,MARTINS F,MARTINS F,MARTINS F,Gwinnett,340,885
527,13534,58238.2312173,,BERKSHIRE F,BERKSHIRE F,BERKSHIRE F,Gwinnett,450,514
528,135119,82742.4891836,white,BERKSHIRE O,BERKSHIRE O,BERKSHIRE O,Gwinnett,1173,515
529,13519,59659.7987336,,MARTINS C,MARTINS C,MARTINS C,Gwinnett,700,643
530,13543,52116.1756184,,MARTINS D,MARTINS D,MARTINS D,Gwinnett,203,769
531,135116,62145.012094,,MARTINS I,MARTINS I,MARTINS I,Gwinnett,500,1166
532,135117,47118.6057567,,MARTINS J,MARTINS J,MARTINS J,Gwinnett,368,1415
533,13588,56859.2083175,black,ROCKBRIDGE E,ROCKBRIDGE E,ROCKBRIDGE E,Gwinnett,715,1592
534,121SS12,124374.241597,white,SS12,SS12,SS12,Fulton,1096,592
535,121SS07C,108524.999954,white,SS07C,SS07C,SS07C,Fulton,260,164
536,121SS07B,108524.999331,white,SS07B,SS07B,SS07B,Fulton,178,92
537,121SS07A,84328.9999613,white,SS07A,SS07A,SS07A,Fulton,426,162
538,121SS08B,108524.991486,white,SS08B,SS08B,SS08B,Fulton,304,151
539,121SS02B,90477.0,white,SS02B,SS02B,SS02B,Fulton,281,432
540,121SS08C,84329.0001405,white,SS08C,SS08C,SS08C,Fulton,171,173
541,121SS04,74517.0043037,,SS04,SS04,SS04,Fulton,680,856
542,121SS08A,108525.000018,white,SS08A,SS08A,SS08A,Fulton,523,609
543,121SS29A,103129.00006,,SS29A,SS29A,SS29A,Fulton,859,758
544,089LC,91469.3933821,,LAVISTA,LAVISTA,LAVISTA,DeKalb,586,873
545,12106J,45081.057745,,06J,06J,06J,Fulton,508,1139
546,12106E,72178.7174635,white,06E,06E,06E,Fulton,320,906
547,12106S,59200.5701212,white,06S,06S,06S,Fulton,778,1498
548,12106H,59582.2674532,white,06H,06H,06H,Fulton,453,736
549,12106D,71373.3689554,white,06D,06D,06D,Fulton,497,1174
550,089MB,66331.6333265,black,MCNAIR HIGH,MCNAIR HIGH,MCNAIR HIGH,DeKalb,156,1947
551,089LH,55563.9999656,black,LITHONIA HIGH,LITHONIA HIGH,LITHONIA HIGH,DeKalb,22,1779
552,089RH,49647.55742,black,REDAN-TROTTI LIBRARY,REDAN-TROTTI LIBRARY,REDAN-TROTTI LIBRARY,DeKalb,41,2206
553,089LD,48247.0,black,LITHONIA (LIT),LITHONIA,LITHONIA (LIT),DeKalb,48,679
554,089SL,43697.5894288,black,STONEVIEW ELEM,STONEVIEW ELEM,STONEVIEW ELEM,DeKalb,61,863
555,089PC,72649.0000008,black,PRINCETON ELEM,PRINCETON ELEM,PRINCETON ELEM,DeKalb,61,1315
556,089RC,72655.0937844,black,REDAN ELEM,REDAN ELEM,REDAN ELEM,DeKalb,45,1768
557,089SV,72877.0000043,black,STEPHENSON HIGH,STEPHENSON HIGH,STEPHENSON HIGH,DeKalb,123,2043
558,12108L,87289.0007578,white,08L,08L,08L,Fulton,989,1227
559,12102W,87766.0,white,02W,02W,02W,Fulton,227,709
560,12102A,46303.0001382,white,02A,02A,02A,Fulton,90,894
561,12106R,37734.6990054,hispanic,06R,06R,06R,Fulton,318,666
562,12106L2,87766.0000903,white,06L2,06L2,06L2,Fulton,205,274
563,12102S,57249.8912256,,02S,02S,02S,Fulton,117,1380
564,12102B,57686.6943556,,02B,02B,02B,Fulton,189,966
565,12105C,34376.6748439,black,05C,05C,05C,Fulton,2,66
566,12102L2,100864.999874,white,02L2,02L2,02L2,Fulton,150,264
567,12102C,29512.0016958,white,02C,02C,02C,Fulton,152,879
568,12102L1,45188.9725985,hispanic,02L1,02L1,02L1,Fulton,752,1971
569,12108P,67895.2872147,white,08P,08P,08P,Fulton,331,809
570,12108K,138803.068553,white,08K,08K,08K,Fulton,273,158
571,089FA,48858.0000259,black,FAIRINGTON ELEM,FAIRINGTON ELEM,FAIRINGTON ELEM,DeKalb,39,2552
572,089PI,65558.0327844,black,PANOLA WAY ELEM,PANOLA WAY ELEM,PANOLA WAY ELEM,DeKalb,27,1069
573,089RM,50272.9792647,black,REDAN MIDDLE,REDAN MIDDLE,REDAN MIDDLE,DeKalb,75,1463
574,089MC,55545.1416782,black,MARBUT ELEM,MARBUT ELEM,MARBUT ELEM,DeKalb,26,2452
575,089WG,51184.0000336,black,WOODRIDGE ELEM,WOODRIDGE ELEM,WOODRIDGE ELEM,DeKalb,109,1891
576,089WK,47216.0000308,black,WHITE OAK,WHITE OAK,WHITE OAK,DeKalb,30,1556
577,089FM,56095.4040655,black,FREEDOM MIDDLE,FREEDOM MIDDLE,FREEDOM MIDDLE,DeKalb,172,1560
578,089PE,42070.0496019,black,PINE LAKE (PIN),PINE LAKE,PINE LAKE (PIN),DeKalb,63,323
579,089HA,50233.8643098,black,HAMBRICK ELEM,HAMBRICK ELEM,HAMBRICK ELEM,DeKalb,234,1610
580,089SJ,36927.3545,black,STONE MILL ELEM,STONE MILL ELEM,STONE MILL ELEM,DeKalb,92,1491
