Precinct,County,DAVID A. PERDUE (R),M. MICHELLE NUNN (D)
078 BAYCREEK K,Gwinnett,794,570
079 CATES K,Gwinnett,797,353
080 BAYCREEK C,Gwinnett,1158,1076
081 CATES L,Gwinnett,847,775
082 DULUTH E,Gwinnett,515,805
083 GOODWINS D,Gwinnett,887,635
084 LAWRENCEVILLE G,Gwinnett,315,581
085 LAWRENCEVILLE H,Gwinnett,1000,559
086 MARTINS F,Gwinnett,211,443
087 PINCKNEYVILLE S,Gwinnett,446,479
088 ROCKBRIDGE E,Gwinnett,428,1086
089 SUGAR HILL E,Gwinnett,727,319
090 LAWRENCEVILLE I,Gwinnett,572,522
091 BAYCREEK D,Gwinnett,1185,671
092 BERKSHIRE J,Gwinnett,882,477
093 CATES M,Gwinnett,1321,555
094 CATES N,Gwinnett,963,295
095 DULUTH F,Gwinnett,306,779
096 DULUTH G,Gwinnett,749,431
097 GOODWINS E,Gwinnett,1131,715
098 GOODWINS F,Gwinnett,622,478
099 PINCKNEYVILLE T,Gwinnett,466,505
100 SUWANEE B,Gwinnett,1037,523
101 PINCKNEYVILLE U,Gwinnett,418,382
102 PUCKETTS B,Gwinnett,867,349
103 BERKSHIRE L,Gwinnett,295,556
104 ROCKBRIDGE F,Gwinnett,604,1673
105 SUGAR HILL F,Gwinnett,956,417
106 SUWANEE C,Gwinnett,1142,569
107 CATES O,Gwinnett,382,217
108 BAYCREEK E,Gwinnett,635,488
109 BERKSHIRE M,Gwinnett,489,267
110 MARTINS G,Gwinnett,253,420
111 DULUTH H,Gwinnett,567,354
112 BERKSHIRE N,Gwinnett,1046,498
113 PINCKNEYVILLE V,Gwinnett,223,284
114 PINCKNEYVILLE W,Gwinnett,650,569
115 MARTINS H,Gwinnett,615,856
116 MARTINS I,Gwinnett,290,680
117 MARTINS J,Gwinnett,210,746
118 GARNERS F,Gwinnett,464,261
119 BERKSHIRE O,Gwinnett,833,390
120 BERKSHIRE P,Gwinnett,232,236
121 PINCKNEYVILLE X,Gwinnett,779,540
122 ROCKBRIDGE G,Gwinnett,484,1468
123 PINCKNEYVILLE Y,Gwinnett,186,552
124 GOODWINS G,Gwinnett,287,472
125 PINCKNEYVILLE Z,Gwinnett,779,277
126 PINCKNEYVILLE A1,Gwinnett,1014,446
127 LAWRENCEVILLE J,Gwinnett,334,384
128 GOODWINS H,Gwinnett,555,455
129 DUNCANS B,Gwinnett,1370,390
130 SUWANEE D,Gwinnett,1416,464
131 SUWANEE E,Gwinnett,1208,460
132 LAWRENCEVILLE K,Gwinnett,767,473
133 HARBINS B,Gwinnett,1084,348
134 BAYCREEK F,Gwinnett,731,781
135 PUCKETTS C,Gwinnett,792,307
136 HOG MOUNTAIN C,Gwinnett,946,456
137 ROCKYCREEK B,Gwinnett,1227,641
138 DULUTH I,Gwinnett,1154,473
139 MARTINS K,Gwinnett,390,1101
140 SUWANEE H,Gwinnett,1211,361
141 SUGAR HILL G,Gwinnett,805,316
142 SUWANEE F,Gwinnett,851,529
143 LAWRENCEVILLE L,Gwinnett,951,850
144 LAWRENCEVILLE M,Gwinnett,423,1207
145 BAYCREEK G,Gwinnett,939,683
146 BAYCREEK H,Gwinnett,1464,689
147 BAYCREEK I,Gwinnett,914,928
148 BERKSHIRE Q,Gwinnett,481,256
149 GOODWINS I,Gwinnett,751,430
150 DULUTH K,Gwinnett,124,406
151 HARBINS C,Gwinnett,721,203
152 ROCKYCREEK C,Gwinnett,1206,661
153 LAWRENCEVILLE N,Gwinnett,418,364
154 PUCKETTS D,Gwinnett,903,303
155 SUWANEE G,Gwinnett,791,501
156 BAYCREEK J,Gwinnett,777,882
