,income,precinct_n,race
762,50130.6568649,MORROW 3,
763,45137.9976276,PEACHCREST ELEM,black
764,59521.993967,MATHIS-BOB MATHIS EL,black
765,56147.2972574,RAINBOW ELEM,black
766,56502.0000084,KELLEY CHAPEL ROAD,black
767,49146.9999949,COLUMBIA DRIVE,black
768,42576.6152659,AUSTIN DRIVE,black
769,44949.8348805,CANBY LANE ELEM,black
770,44471.7333448,SNAPFINGER ROAD N,black
771,46753.2187242,GLENWOOD ROAD,black
772,40974.4173442,MORROW 1,
773,67348.9990567,BOULDERCREST ROAD,black
774,56862.2945303,ELLENWOOD,black
775,65998.398768,CEDAR GROVE SOUTH,black
776,67577.9549057,CEDAR GROVE ELEM,black
777,38291.6535249,12F,black
778,24285.8435641,04V,black
779,53217.466991,04I,black
780,25282.0000225,01F,black
781,44017.9664044,01G,black
782,52036.5347394,01D,black
783,24479.6984578,01H,black
784,37228.5098978,05B,black
785,36673.1016468,01S,black
786,35120.0000431,01C2,black
787,55133.2093864,01T,
788,39242.6726698,01P,black
789,20891.6639949,01R,black
790,90784.1397842,01E,white
791,92952.9622934,01A,white
792,39463.2967499,05A1,black
793,80095.1839086,01B,
794,41734.4224844,KELLEY LAKE ELEM,black
795,48441.992136,CANDLER,black
796,56069.8578966,COAN MIDDLE (ATL),white
797,64047.6932682,EPWORTH (ATL),white
798,59997.6991367,LIN-MARY LIN ELEM (A,white
799,52449.3895367,BOULEVARD (ATL),white
800,53920.7683813,MEADOWVIEW ELEM,black
801,55032.6402231,GRESHAM ROAD,black
802,56858.983108,BURGESS ELEM (ATL),white
803,55994.556887,METROPOLITAN (ATL),white
804,49885.9618547,PINEY GROVE,black
805,49803.0111423,TERRY MILL,black
806,59375.0279533,02G,black
807,51385.098194,02D,black
808,27533.0,02F2,hispanic
809,27533.0003873,02J,hispanic
810,27533.0,06G,hispanic
811,75487.0,06B,white
812,25350.6313556,02E,black
813,42909.2731933,02F1,white
814,58946.758234,06F,white
815,87765.9992351,06L1,white
816,100437.99017,RW17,white
817,100437.999959,RW04,white
818,131053.188751,KINGSLEY ELEM (DUN),white
819,136488.870001,SS01,white
820,141846.704718,RW20,white
821,163434.327627,RW21A,white
822,96248.0087598,RW22A,white
823,45163.0000085,RW07A,hispanic
824,51380.957949,DORAVILLE NORTH (DOR,
825,48825.9669156,OAKCLIFF ELEM,hispanic
826,68242.5858185,NORTH PEACHTREE (DUN,
827,49915.3815158,PINCKNEYVILLE E,
828,72769.8156416,EMBRY HILLS,
829,42765.322967,PLEASANTDALE ELEM,
830,240757.812902,SS25,white
831,89159.9742188,PINCKNEYVILLE P,white
832,157289.26475,PINCKNEYVILLE A1,white
833,215870.515805,RW21B,white
834,116523.586226,JC19,white
835,215884.83114,JC13A,white
836,112593.361519,PINCKNEYVILLE C,white
837,157519.000127,PINCKNEYVILLE Z,white
838,158449.136342,PINCKNEYVILLE L,white
839,215885.0,JC13B,white
840,174588.43018,PINCKNEYVILLE M,white
841,48705.2491376,PINCKNEYVILLE B,hispanic
842,41192.3195348,PINCKNEYVILLE J,hispanic
843,58325.9909451,PINCKNEYVILLE V,
844,68796.7918856,PINCKNEYVILLE W,
845,48121.3441719,PINKCNEYVILLE A,hispanic
846,73037.8726623,PINCKNEYVILLE S,
847,77401.9394479,EVANSDALE ELEM,white
848,99403.6207026,MIDVALE ELEM,white
849,86583.1318894,TUCKER LIBRARY,white
850,96227.6770666,LIVSEY ELEM,white
851,50535.0285842,DORAVILLE SOUTH (DOR,
852,98820.6053867,JC18A,white
853,117149.0,JC18B,white
854,117142.980528,JC17,white
855,111815.650764,AP01C,white
856,117148.995231,JC16,white
857,116185.023555,AP01A,white
858,140031.290537,AP13,white
859,97284.0001583,AP12A,
860,215884.999136,JC14,white
861,118228.333247,AP14,white
862,127036.418003,JC15,white
863,111750.530237,JC10,white
864,138754.283642,ASHFORD DUNWOODY RD,white
865,94373.329923,ASHFORD PARKSIDE (BH,white
866,59718.1137412,MONTGOMERY  (BHAVN),white
867,64576.1341072,KITTREDGE ELEM (BHAV,white
868,93518.2565336,GEORGETOWN SQ (DUN),white
869,103704.870622,DUNWOODY (DUN),
870,135705.256782,MOUNT VERNON WEST (D,white
871,120758.606402,07F,white
872,131764.348369,07D,white
873,52523.0003284,07N,
874,77244.3317819,07M,
875,126115.024592,07E,white
876,157276.007275,07A,white
877,176043.722072,07C,white
878,199294.36658,07B,white
879,39873.7680554,MILLER GROVE HIGH,black
880,55589.406838,ROCK CHAPEL ROAD,black
881,69754.00005,ROCK CHAPEL ELEM,black
882,76356.9663357,ROCKBRIDGE ROAD,black
883,66881.53564,ROCKBRIDGE G,black
884,105833.146071,CATES B,white
885,105832.992696,CATES K,white
886,60154.2597737,MARTINS K,
887,62549.6379779,MARTINS H,
888,104667.072613,CATES I,white
889,115555.99355,CATES M,white
890,60407.0102112,LAWRENCEVILLE J,
891,59237.7297579,MARTINS B,
892,103561.424641,CATES J,white
893,101285.282677,CATES E,white
894,105700.685053,CATES O,white
895,95189.7064185,CATES D,white
896,69315.1544263,ROCKBRIDGE B,black
897,55325.4170542,CATES H,black
898,112113.957655,CATES F,white
899,112113.999945,CATES G,white
900,79124.9828859,LAWRENCEVILLE L,
901,53880.4268808,LAWRENCEVILLE E,
902,65770.3293267,LAWRENCEVILLE N,
903,84147.2609054,LAWRENCEVILLE B,
904,80066.6393881,BAYCREEK K,white
905,54894.2737124,LAWRENCEVILLE A,
906,62952.278405,MARTINS G,
907,70959.3286338,GOODWINS G,
908,93855.9999817,GOODWINS I,white
909,82916.7351706,GOODWINS A,white
910,72928.3511667,GOODWINS H,white
911,83704.7140178,GOODWINS D,white
912,104351.906772,SUWANEE C,
913,111801.874104,SUGAR HILL F,white
