,income,precinct_n,race
175,63661.8072709,PINCKNEYVILLE T,
176,44353.0003431,SS15A,black
177,135308.349366,ROSWELL 01,white
178,142982.961069,RW02,white
179,121373.989042,RW10,white
180,166033.558256,RW15,white
181,108603.189828,RW01,white
182,71633.4028417,RW03,
183,120739.198901,SUWANEE G,white
184,145658.999772,SUWANEE H,white
185,59083.7728671,MARTINS A,
186,67035.1992435,GOODWINS C,
187,83664.9144076,GOODWINS E,
188,132393.217757,LOST MOUNTAIN 02,white
189,140268.115179,FORD 01,white
190,122343.99999,DURHAM 01,white
191,123383.605978,KEMP 03,white
192,121066.425676,FREY 01,white
193,130492.169301,LOST MOUNTAIN 04,white
194,105760.970971,MARS HILL 01,white
195,99747.7968572,LEWIS 01,white
196,145658.999952,SUWANEE E,white
197,100037.072778,SUWANEE A,white
198,86616.2120716,GOODWINS F,white
199,108954.871969,SUWANEE F,
200,108992.821252,SUWANEE B,
201,70953.6404458,CATES C,
202,102252.99995,GOODWINS B,white
203,82901.170437,HOG MOUNTAIN A,
204,89986.5605277,HOG MOUNTAIN D,white
205,80519.2148583,HOG MOUNTAIN C,white
206,80968.0378222,PUCKETTS E,white
207,80776.9390566,LAWRENCEVILLE F,
208,70796.5579162,LAWRENCEVILLE M,
209,86588.316059,HOG MOUNTAIN B,white
210,130850.90241,FULLERS PARK 01,white
211,125454.990659,SEWELL MILL 01,white
212,126857.326326,MURDOCK 01,white
213,209538.999635,MT BETHEL 04,white
214,122972.150886,EASTSIDE 01,white
215,135135.423006,DODGEN 01,white
216,126045.486549,CHESTNUT RIDGE 01,white
217,153556.991168,ROSWELL 02,white
218,84696.1926927,WADE GREEN 02,white
219,101215.728602,BIG SHANTY 02,white
220,111668.999885,PITNER 01,white
221,57427.9083144,CHALKER 01,white
222,87389.9386063,PALMER 01,white
223,77375.5927994,BELLS FERRY 03,white
224,19653.4983947,03E,black
225,25242.292842,04J,black
226,60667.9997259,03L,black
227,57334.3119909,03M,white
228,29787.4994217,03N,black
229,67895.0182723,09G1,white
230,67895.0000883,09G2,white
231,67895.0,09H,white
232,135365.035419,08M,white
233,125829.486437,07J,white
234,129059.000016,07H,white
235,118764.009889,08G,white
236,256389.389374,08C,white
237,245507.920083,08B,white
238,69900.5230237,06I,
239,157721.753009,MT BETHEL 01,white
240,90477.0004194,SS18B,white
241,157506.254459,TIMBER RIDGE 01,white
242,90477.0,SS02A,white
243,77423.006892,SS19B,white
244,66247.9391108,SS19A,
245,103129.0,SS29B,
246,57995.7841135,SS26,
247,68393.6845785,SS20,
248,52899.405147,SS22,
249,92566.1771281,RW11A,white
250,187821.165651,RW19,white
251,177525.000024,ML012,white
252,178143.432728,ML01B,white
253,138431.719885,AP04A,white
254,177524.999989,ML011,white
255,177524.999495,AP04B,white
256,74509.8315883,05A2,white
257,15389.0001477,03G,black
258,44311.8871663,03T,black
259,21209.0,03P2,black
260,49896.5106383,04F,white
261,53680.0186107,03P1A,white
262,66113.854176,03I,
263,111870.317795,AP06,white
264,138287.349975,AP07B,white
265,177681.167199,ML023,white
266,190427.0,ML022,white
267,169333.999407,AP10,white
268,163189.779537,ML04A,white
269,90764.2214155,AP07A,white
270,190426.999955,ML024,white
271,177112.076944,ML04B,white
272,187591.470592,ML021,white
273,190427.0,ML03,white
274,190427.0,ML07A,white
275,190427.0,ML05B,white
276,48162.9999502,12B,black
277,37724.9999756,12S,black
278,30444.8270649,01J,black
279,38173.0765435,01C1,black
280,48162.9996438,12A,black
281,29682.5130538,12K,black
282,28004.0125754,12N,black
283,43957.3952996,04B,black
284,64396.6603751,SUGAR HILL D,white
285,79498.6926708,PUCKETTS B,white
286,73604.6428598,SUGAR HILL A,
287,40334.9878689,10K,black
288,38163.730312,10G,black
289,44749.0923361,11H,black
290,27505.4212903,10J,black
291,24448.6012747,12L,black
