,DISTRICT,income,race,Precinct Description,Precinct,County,MITT ROMNEY (R),BARACK OBAMA (I)(D),_merge
739,089PG,91336.453884,white,PONCE DE LEON (DEC),,,,,left_only
740,089CV,94575.0664381,white,CLAIREMONT EAST (DEC),,,,,left_only
741,089WF,107682.555416,white,WINNONA PARK ELEM (DEC),,,,,left_only
742,089GA,109095.808889,white,GLENNWOOD (DEC),,,,,left_only
743,089CI,109860.295873,white,CLAIREMONT WEST (DEC),,,,,left_only
753,089AE,74514.5410651,white,AVONDALE (AVO),,,,,left_only
754,089MO,55244.8169723,black,MIDWAY,,,,,left_only
763,089PA,45137.9976276,black,PEACHCREST,,,,,left_only
770,089SR,44471.7333448,black,SNAPFINGER ROAD N,,,,,left_only
773,089BL,67348.9990567,black,BOULDERCREST ROAD,,,,,left_only
779,12104I,53217.466991,black,04I,,,,,left_only
783,12101H,24479.6984578,black,01H,,,,,left_only
796,089CN,56069.8578966,white,COAN MIDDLE (ATL),,,,,left_only
797,089EE,64047.6932682,white,EPWORTH (ATL),,,,,left_only
798,089LE,59997.6991367,white,LIN-MARY LIN ELEM (ATL),,,,,left_only
799,089BB,52449.3895367,white,BOULEVARD (ATL),,,,,left_only
800,089ML,53920.7683813,black,MEADOWVIEW,,,,,left_only
802,089BR,56858.983108,white,BURGESS ELEM (ATL),,,,,left_only
803,089MT,55994.556887,white,METROPOLITAN (ATL),,,,,left_only
805,089TA,49803.0111423,black,TERRY MILL,,,,,left_only
818,089KB,131053.188751,white,KINGSLEY ELEM (DUN),,,,,left_only
823,121RW07A,45163.0000085,hispanic,RW07A,,,,,left_only
824,089DA,51380.957949,,DORAVILLE NORTH (DOR),,,,,left_only
826,089NF,68242.5858185,,NORTH PEACHTREE (DUN),,,,,left_only
829,089PF,42765.322967,,PLEASANTDALE ROAD,,,,,left_only
845,13520,48121.3441719,hispanic,PINKCNEYVILLE A,,,,,left_only
851,089DB,50535.0285842,,DORAVILLE SOUTH (DOR),,,,,left_only
864,089AG,138754.283642,white,ASHFORD DUNWOODY RD (BHAVN),,,,,left_only
865,089AH,94373.329923,white,ASHFORD PARKSIDE (BHAVN),,,,,left_only
866,089MU,59718.1137412,white,MONTGOMERY ELEM  (BHAVN),,,,,left_only
867,089KG,64576.1341072,white,KITTREDGE ELEM (BHAVN),,,,,left_only
868,089GD,93518.2565336,white,GEORGETOWN SQ (DUN),,,,,left_only
869,089DF,103704.870622,,DUNWOODY (DUN),,,,,left_only
870,089MS,135705.256782,white,MOUNT VERNON WEST (DUN),,,,,left_only
