0,1,2,3
JACKSON,http://results.enr.clarityelections.com/GA/Jackson/42356/112388,19135,4238
JASPER,http://results.enr.clarityelections.com/GA/Jasper/42357/112389,4136,1845
JEFF DAVIS,http://results.enr.clarityelections.com/GA/Jeff_Davis/42358/112390,3996,1275
JEFFERSON,http://results.enr.clarityelections.com/GA/Jefferson/42359/112391,2999,4261
JENKINS,http://results.enr.clarityelections.com/GA/Jenkins/42360/112392,1887,1488
JOHNSON,http://results.enr.clarityelections.com/GA/Johnson/42361/112393,2440,1305
JONES,http://results.enr.clarityelections.com/GA/Jones/42362/112395,7744,4274
LAMAR,http://results.enr.clarityelections.com/GA/Lamar/42363/112396,4899,2602
LANIER,http://results.enr.clarityelections.com/GA/Lanier/42364/112397,1820,1114
LAURENS,http://results.enr.clarityelections.com/GA/Laurens/42365/112398,11950,7513
LEE,http://results.enr.clarityelections.com/GA/Lee/42366/112399,10314,3196
LIBERTY,http://results.enr.clarityelections.com/GA/Liberty/42367/112400,5565,10457
LINCOLN,http://results.enr.clarityelections.com/GA/Lincoln/42368/112402,2807,1586
LONG,http://results.enr.clarityelections.com/GA/Long/42369/112403,2306,1442
LOWNDES,http://results.enr.clarityelections.com/GA/Lowndes/42370/112404,21327,17470
LUMPKIN,http://results.enr.clarityelections.com/GA/Lumpkin/42371/112405,8647,2055
MACON,http://results.enr.clarityelections.com/GA/Macon/42372/112406,1545,3211
MADISON,http://results.enr.clarityelections.com/GA/Madison/42373/112407,8443,2494
MARION,http://results.enr.clarityelections.com/GA/Marion/42374/112409,1733,1412
MCDUFFIE,http://results.enr.clarityelections.com/GA/McDuffie/42375/112410,5475,4044
MCINTOSH,http://results.enr.clarityelections.com/GA/McIntosh/42376/112411,3409,2864
MERIWETHER,http://results.enr.clarityelections.com/GA/Meriwether/42377/112412,4856,4331
MILLER,http://results.enr.clarityelections.com/GA/Miller/42378/112413,1905,852
MITCHELL,http://results.enr.clarityelections.com/GA/Mitchell/42379/112414,4155,4081
MONROE,http://results.enr.clarityelections.com/GA/Monroe/42380/112415,8361,3785
MONTGOMERY,http://results.enr.clarityelections.com/GA/Montgomery/42381/112416,2662,1135
MORGAN,http://results.enr.clarityelections.com/GA/Morgan/42382/112417,6186,2753
MURRAY,http://results.enr.clarityelections.com/GA/Murray/42383/112418,8443,2542
MUSCOGEE,http://results.enr.clarityelections.com/GA/Muscogee/42384/112419,27510,42573
NEWTON,http://results.enr.clarityelections.com/GA/Newton/42385/112335,20982,21851
OCONEE,http://results.enr.clarityelections.com/GA/Oconee/42386/112334,13098,4421
OGLETHORPE,http://results.enr.clarityelections.com/GA/Oglethorpe/42387/112332,4251,1914
PAULDING,http://results.enr.clarityelections.com/GA/Paulding/42388/112330,40846,15825
PEACH,http://results.enr.clarityelections.com/GA/Peach/42389/112329,5287,6148
PICKENS,http://results.enr.clarityelections.com/GA/Pickens/42390/112326,10547,1975
PIERCE,http://results.enr.clarityelections.com/GA/Pierce/42391/112325,5667,1124
PIKE,http://results.enr.clarityelections.com/GA/Pike/42392/112323,6668,1356
POLK,http://results.enr.clarityelections.com/GA/Polk/42393/112322,9811,3615
PULASKI,http://results.enr.clarityelections.com/GA/Pulaski/42394/112321,2444,1219
PUTNAM,http://results.enr.clarityelections.com/GA/Putnam/42395/112314,6215,2926
QUITMAN,http://results.enr.clarityelections.com/GA/Quitman/42396/112312,510,612
RABUN,http://results.enr.clarityelections.com/GA/Rabun/42397/112309,5754,1559
RANDOLPH,http://results.enr.clarityelections.com/GA/Randolph/42398/112311,1271,1770
RICHMOND,http://results.enr.clarityelections.com/GA/Richmond/42399/112304,25845,52560
ROCKDALE,http://results.enr.clarityelections.com/GA/Rockdale/42400/112303,15716,22023
SCHLEY,http://results.enr.clarityelections.com/GA/Schley/42401/112300,1286,448
SCREVEN,http://results.enr.clarityelections.com/GA/Screven/42402/112299,3287,2774
SEMINOLE,http://results.enr.clarityelections.com/GA/Seminole/42403/112297,2245,1478
SPALDING,http://results.enr.clarityelections.com/GA/Spalding/42404/112294,14911,9898
STEPHENS,http://results.enr.clarityelections.com/GA/Stephens/42405/112292,7221,2131
STEWART,http://results.enr.clarityelections.com/GA/Stewart/42406/112287,745,1323
SUMTER,http://results.enr.clarityelections.com/GA/Sumter/42407/112283,5378,6375
TALBOT,http://results.enr.clarityelections.com/GA/Talbot/42408/112280,1202,2265
TALIAFERRO,http://results.enr.clarityelections.com/GA/Taliaferro/42409/112274,323,636
TATTNALL,http://results.enr.clarityelections.com/GA/Tattnall/42410/112272,4706,1897
TAYLOR,http://results.enr.clarityelections.com/GA/Taylor/42411/112271,1948,1572
TELFAIR,http://results.enr.clarityelections.com/GA/Telfair/42412/112270,2480,1805
TERRELL,http://results.enr.clarityelections.com/GA/Terrell/42413/112268,1834,2544
THOMAS,http://results.enr.clarityelections.com/GA/Thomas/42414/112260,11156,7653
TIFT,http://results.enr.clarityelections.com/GA/Tift/42415/112258,9185,4660
TOOMBS,http://results.enr.clarityelections.com/GA/Toombs/42416/112255,6524,2746
TOWNS,http://results.enr.clarityelections.com/GA/Towns/42417/112253,4876,1273
TREUTLEN,http://results.enr.clarityelections.com/GA/Treutlen/42418/112252,1652,1074
TROUP,http://results.enr.clarityelections.com/GA/Troup/42419/112251,15179,10547
TURNER,http://results.enr.clarityelections.com/GA/Turner/42420/112250,2028,1510
TWIGGS,http://results.enr.clarityelections.com/GA/Twiggs/42421/112249,1907,2270
UNION,http://results.enr.clarityelections.com/GA/Union/42422/112247,8773,2139
UPSON,http://results.enr.clarityelections.com/GA/Upson/42423/112246,7230,3959
WALKER,http://results.enr.clarityelections.com/GA/Walker/42424/112423,16247,5274
WALTON,http://results.enr.clarityelections.com/GA/Walton/42425/112241,29036,8148
WARE,http://results.enr.clarityelections.com/GA/Ware/42426/112239,7941,3900
WARREN,http://results.enr.clarityelections.com/GA/Warren/42427/112234,990,1529
WASHINGTON,http://results.enr.clarityelections.com/GA/Washington/42428/112232,4035,4714
WAYNE,http://results.enr.clarityelections.com/GA/Wayne/42429/112228,7557,2596
WEBSTER,http://results.enr.clarityelections.com/GA/Webster/42430/112226,601,582
WHEELER,http://results.enr.clarityelections.com/GA/Wheeler/42431/112224,1366,772
WHITE,http://results.enr.clarityelections.com/GA/White/42432/112213,8651,1671
WHITFIELD,http://results.enr.clarityelections.com/GA/Whitfield/42433/112210,19305,7210
WILCOX,http://results.enr.clarityelections.com/GA/Wilcox/42434/112209,2053,1060
WILKES,http://results.enr.clarityelections.com/GA/Wilkes/42435/112208,2635,2087
WILKINSON,http://results.enr.clarityelections.com/GA/Wilkinson/42436/112207,2246,2181
WORTH,http://results.enr.clarityelections.com/GA/Worth/42437/112204,5869,2487
