,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p
70,COBB,1190,BRYANT 01,74,1264,0.0585443037975,0.941455696203
71,COBB,2450,BRYANT 02,140,2590,0.0540540540541,0.945945945946
72,COBB,767,BLACKWELL 01,875,1642,0.532886723508,0.467113276492
73,COBB,2134,CHATTAHOOCHEE 01,780,2914,0.267673301304,0.732326698696
74,COBB,702,CHEATHAM HILL 02,1298,2000,0.649,0.351
75,COBB,1117,CHEATHAM HILL 03,1507,2624,0.57431402439,0.42568597561
76,COBB,1468,CHALKER 01,1282,2750,0.466181818182,0.533818181818
77,COBB,666,CLARKDALE 01,448,1114,0.402154398564,0.597845601436
78,COBB,2063,CLARKDALE 02,981,3044,0.322273324573,0.677726675427
79,COBB,1998,COOPER 01,625,2623,0.23827678231,0.76172321769
80,COBB,809,CHESTNUT RIDGE 01,1410,2219,0.635421360973,0.364578639027
81,COBB,823,DICKERSON 01,1145,1968,0.581808943089,0.418191056911
82,COBB,1638,DOBBINS 01,400,2038,0.196270853778,0.803729146222
83,COBB,973,DOWELL 01,1059,2032,0.521161417323,0.478838582677
84,COBB,553,DODGEN 01,929,1482,0.62685560054,0.37314439946
85,COBB,718,DURHAM 01,2056,2774,0.741167988464,0.258832011536
86,COBB,502,DAVIS 01,803,1305,0.615325670498,0.384674329502
87,COBB,832,EASTSIDE 01,1231,2063,0.596703829375,0.403296170625
88,COBB,1115,EASTSIDE 02,1651,2766,0.596890817064,0.403109182936
89,COBB,1240,ELIZABETH 01,685,1925,0.355844155844,0.644155844156
90,COBB,617,ELIZABETH 02,961,1578,0.608998732573,0.391001267427
91,COBB,723,ELIZABETH 03,1138,1861,0.611499193982,0.388500806018
92,COBB,928,ELIZABETH 04,709,1637,0.433109346365,0.566890653635
93,COBB,860,ELIZABETH 05,1071,1931,0.554634904195,0.445365095805
94,COBB,733,EAST PIEDMONT 01,694,1427,0.486334968465,0.513665031535
95,COBB,1564,FAIR OAKS 01,603,2167,0.278264882326,0.721735117674
96,COBB,1617,FAIR OAKS 02,588,2205,0.266666666667,0.733333333333
97,COBB,738,FAIR OAKS 04,436,1174,0.371379897785,0.628620102215
98,COBB,542,FAIR OAKS 05,297,839,0.353992848629,0.646007151371
99,COBB,982,FULLERS PARK 01,1274,2256,0.564716312057,0.435283687943
100,COBB,557,FORD 01,1562,2119,0.737140160453,0.262859839547
101,COBB,511,FREY 01,1115,1626,0.685731857319,0.314268142681
102,COBB,759,GARRISON MILL 01,1119,1878,0.595846645367,0.404153354633
103,COBB,960,GRITTERS 01,1472,2432,0.605263157895,0.394736842105
104,COBB,2753,HARMONY LELAND 01,646,3399,0.190055898794,0.809944101206
105,COBB,491,HARRISON 01,1412,1903,0.741986337362,0.258013662638
106,COBB,1146,HIGHTOWER 01,1713,2859,0.599160545645,0.400839454355
107,COBB,789,HAYES 01,1796,2585,0.694777562863,0.305222437137
108,COBB,652,KENNESAW 1A,688,1340,0.513432835821,0.486567164179
109,COBB,936,KENNESAW 2A,1250,2186,0.571820677036,0.428179322964
110,COBB,1899,KENNESAW 3A,1227,3126,0.392514395393,0.607485604607
111,COBB,1002,KENNESAW 4A,1155,2157,0.535465924896,0.464534075104
112,COBB,1708,KENNESAW 5A,1788,3496,0.511441647597,0.488558352403
113,COBB,461,KELL 01,840,1301,0.645657186779,0.354342813221
114,COBB,335,KEMP 01,943,1278,0.737871674491,0.262128325509
115,COBB,978,KEMP 02,1643,2621,0.626859977108,0.373140022892
116,COBB,633,KEMP 03,2032,2665,0.762476547842,0.237523452158
117,COBB,843,LASSSITER 01,1606,2449,0.655777868518,0.344222131482
118,COBB,2170,LINDLEY 01,796,2966,0.268374915711,0.731625084289
