County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18
CLAYTON,31,JB18,JONESBORO 18,483,13,44,75,6,,5,,,,,,4,,
CLAYTON,31,LC1,LAKE CITY,438,5,44,76,6,,8,,,,,,1,,
CLAYTON,31,LC1,LAKE CITY,439,5,44,76,6,,8,,,,,LRG,1,,
CLAYTON,31,LC1,LAKE CITY,440,5,44,74,6,,8,,,,,LRG,1,,
CLAYTON,31,LC1,LAKE CITY,476,5,44,74,6,,8,,,,,LRG,1,,
CLAYTON,31,LC1,LAKE CITY,477,5,44,74,6,,8,,,,,,1,,
CLAYTON,31,LJ1,LOVEJOY 1,423,13,44,75,6,,6,,,,,,3,,
CLAYTON,31,LJ1,LOVEJOY 1,430,13,44,78,6,,6,,,,,,4,,
CLAYTON,31,LJ2,LOVEJOY 2,436,13,44,78,6,,1,,,,,,4,,
CLAYTON,31,LJ2,LOVEJOY 2,441,13,44,78,6,,1,,,,,,3,,
CLAYTON,31,LJ2,LOVEJOY 2,474,13,44,78,6,,1,,,,,LRG,4,,
CLAYTON,31,LJ3,LOVEJOY 3,436,13,44,78,6,,1,,,,,,4,,
CLAYTON,31,LJ3,LOVEJOY 3,441,13,44,78,6,,1,,,,,,3,,
CLAYTON,31,LJ3,LOVEJOY 3,444,13,44,78,6,,1,,,,,LRG,3,,
CLAYTON,31,LJ3,LOVEJOY 3,474,13,44,78,6,,1,,,,,LRG,4,,
CLAYTON,31,LJ4,LOVEJOY 4,441,13,44,78,6,,1,,,,,,3,,
CLAYTON,31,LJ5,LOVEJOY 5,441,13,44,78,6,,1,,,,,,3,,
CLAYTON,31,LJ5,LOVEJOY 5,442,13,44,75,6,,1,,,,,,3,,
CLAYTON,31,MO1,MORROW 1,438,5,44,76,6,,8,,,,,,1,,
CLAYTON,31,MO1,MORROW 1,445,5,44,76,6,,8,,,,,3,1,,
CLAYTON,31,MO2,MORROW 2,446,5,44,74,6,,9,,,,,,1,,
CLAYTON,31,MO2,MORROW 2,447,5,44,74,6,,9,,,,,LRG,1,,
CLAYTON,31,MO2,MORROW 2,487,5,44,74,6,,7,,,,,LRG,1,,
CLAYTON,31,MO3,MORROW 3,438,5,44,76,6,,8,,,,,,1,,
CLAYTON,31,MO3,MORROW 3,448,5,44,76,6,,8,,,,,LRG,1,,
CLAYTON,31,MO4,MORROW 4,449,5,44,75,6,,9,,,,,,1,,
CLAYTON,31,MO5,MORROW 5,401,5,44,76,6,,9,,,,,,1,,
CLAYTON,31,MO5,MORROW 5,438,5,44,76,6,,8,,,,,,1,,
CLAYTON,31,MO6,MORROW 6,401,5,44,76,6,,9,,,,,,1,,
CLAYTON,31,MO7,MORROW 7,449,5,44,75,6,,9,,,,,,1,,
CLAYTON,31,MO8,MORROW 8,401,5,44,76,6,,9,,,,,,1,,
CLAYTON,31,MO9,MORROW 9,432,5,44,78,6,,9,,,,,,1,,
CLAYTON,31,OAK1,OAK 1,402,5,34,60,6,,4,,,,,,2,,
CLAYTON,31,OAK1,OAK 1,452,5,34,60,6,,4,,,,,3,2,,
CLAYTON,31,OAK2,OAK 2,402,5,34,60,6,,4,,,,,,2,,
CLAYTON,31,OAK2,OAK 2,410,5,34,74,6,,4,,,,,,2,,
CLAYTON,31,OAK3,OAK 3,410,5,34,74,6,,4,,,,,,2,,
CLAYTON,31,OAK4,OAK 4,410,5,34,74,6,,4,,,,,,2,,
CLAYTON,31,OAK4,OAK 4,454,5,34,74,6,,3,,,,,,2,,
CLAYTON,31,PH1,PANHANDLE 1,455,13,44,63,6,,1,,,,,,3,,
CLAYTON,31,PH2,PANHANDLE 2,455,13,44,63,6,,1,,,,,,3,,
CLAYTON,31,RD01,RIVERDALE 1,456,13,34,74,6,,3,,,,,,2,,
CLAYTON,31,RD02,RIVERDALE 2,421,13,34,77,6,,2,,,,,,3,,
CLAYTON,31,RD02,RIVERDALE 2,466,13,34,77,6,,2,,,,,,2,,
CLAYTON,31,RD03,RIVERDALE 3,456,13,34,74,6,,3,,,,,,2,,
CLAYTON,31,RD03,RIVERDALE 3,457,13,34,74,6,,3,,,,,LRG,2,,
CLAYTON,31,RD04,RIVERDALE 4,433,13,34,77,6,,5,,,,,,4,,
CLAYTON,31,RD04,RIVERDALE 4,458,13,34,77,6,,5,,,,,LRG,4,,
CLAYTON,31,RD04,RIVERDALE 4,465,13,34,77,6,,3,,,,,LRG,4,,
CLAYTON,31,RD04,RIVERDALE 4,469,13,34,77,6,,3,,,,,,4,,
CLAYTON,31,RD05,RIVERDALE 5,433,13,34,77,6,,5,,,,,,4,,
CLAYTON,31,RD05,RIVERDALE 5,458,13,34,77,6,,5,,,,,LRG,4,,
CLAYTON,31,RD06,RIVERDALE 6,459,13,34,77,6,,7,,,,,,4,,
CLAYTON,31,RD07,RIVERDALE 7,469,13,34,77,6,,3,,,,,,4,,
CLAYTON,31,RD07,RIVERDALE 7,488,13,34,77,6,,3,,,,,LRG,2,,
CLAYTON,31,RD07,RIVERDALE 7,489,13,34,77,6,,3,,,,,,2,,
CLAYTON,31,RD08,RIVERDALE 8,456,13,34,74,6,,3,,,,,,2,,
CLAYTON,31,RD08,RIVERDALE 8,457,13,34,74,6,,3,,,,,LRG,2,,
