,PRECINCT_N,ajc_precinct
186,GOODWINS C,GOODWINS C
187,GOODWINS E,GOODWINS E
188,LOST MOUNTAIN 02,LOST MOUNTAIN 02
189,FORD 01,FORD 01
190,DURHAM 01,DURHAM 01
191,KEMP 03,KEMP 03
192,FREY 01,FREY 01
193,LOST MOUNTAIN 04,LOST MOUNTAIN 04
194,MARS HILL 01,MARS HILL 01
195,LEWIS 01,LEWIS 01
196,SUWANEE E,SUWANEE E
197,SUWANEE A,SUWANEE A
198,GOODWINS F,GOODWINS F
199,SUWANEE F,SUWANEE F
200,SUWANEE B,SUWANEE B
201,CATES C,CATES C
202,GOODWINS B,GOODWINS B
203,HOG MOUNTAIN A,HOG MOUNTAIN A
204,HOG MOUNTAIN D,HOG MOUNTAIN D
205,HOG MOUNTAIN C,HOG MOUNTAIN C
206,PUCKETTS E,PUCKETTS E
207,LAWRENCEVILLE F,LAWRENCEVILLE F
208,LAWRENCEVILLE M,LAWRENCEVILLE M
209,HOG MOUNTAIN B,HOG MOUNTAIN B
210,FULLERS PARK 01,FULLERS PARK 01
211,SEWELL MILL 01,SEWELL MILL 01
212,MURDOCK 01,MURDOCK 01
213,MT BETHEL 04,MOUNT BETHEL 04
214,EASTSIDE 01,EASTSIDE 01
215,DODGEN 01,DODGEN 01
216,CHESTNUT RIDGE 01,CHESTNUT RIDGE 01
217,ROSWELL 02,ROSWELL 02
218,WADE GREEN 02,WADE GREEN 02
219,BIG SHANTY 02,BIG SHANTY 02
220,PITNER 01,PITNER 01
221,CHALKER 01,CHALKER 01
222,PALMER 01,PALMER 01
223,BELLS FERRY 03,BELLS FERRY 03
224,03E,03E
225,04J,04J
226,03L,03L
227,03M,03M
228,03N,03N
229,09G1,09G
230,09G2,09G
231,09H,09H
232,08M,08M
233,07J,07J
234,07H,07H
235,08G,08G
236,08C,08C
237,08B,08B
238,06I,06I
239,MT BETHEL 01,MOUNT BETHEL 01
240,SS18B,SS18B
241,TIMBER RIDGE 01,TIMBER RIDGE 01
242,SS02A,SS02A
243,SS19B,SS19B
244,SS19A,SS19A
245,SS29B,SS29B
246,SS26,SS26
247,SS20,SS20
248,SS22,SS22
249,RW11A,RW11A
250,RW19,RW19
251,ML012,ML012
252,ML01B,ML01B
253,AP04A,AP04A
254,ML011,ML011
255,AP04B,AP04B
256,05A2,05A2
257,03G,03G
258,03T,03T
259,03P2,03P2
260,04F,04F
261,03P1A,03P1A
262,03I,03I
263,AP06,AP06
264,AP07B,AP07B
265,ML023,ML023
266,ML022,ML022
267,AP10,AP10
268,ML04A,ML04A
269,AP07A,AP07A
270,ML024,ML024
271,ML04B,ML04B
272,ML021,ML021
273,ML03,ML03
274,ML07A,ML07A
275,ML05B,ML05B
276,12B,12B
277,12S,12S
278,01J,01J
279,01C1,01C
280,12A,12A
281,12K,12K
282,12N,12N
283,04B,04B
284,SUGAR HILL D,SUGAR HILL D
285,PUCKETTS B,PUCKETTS B
286,SUGAR HILL A,SUGAR HILL A
287,10K,10K
288,10G,10G
289,11H,11H
290,10J,10J
291,12L,12L
292,12G,12G
293,12D,12D
294,SUGAR HILL G,SUGAR HILL G
295,SUGAR HILL B,SUGAR HILL B
296,SUGAR HILL E,SUGAR HILL E
297,SUGAR HILL C,SUGAR HILL C
298,MP01,MP01
299,SUWANEE D,SUWANEE D
300,DICKERSON 01,DICKERSON 01
301,SANDY PLAINS 01,SANDY PLAINS 01
302,POPE 01,POPE 01
303,MABRY 01,MABRY 01
304,DAVIS 01,DAVIS 01
305,GARRISON MILL 01,GARRISON MILL 01
306,POST OAK 01,POST OAK 01
307,HIGHTOWER 01,HIGHTOWER 01
308,SHALLOWFORD FALLS 01,SHALLOWFORD FALL 01
309,ML05A,ML05A
310,ML06A,ML06A
311,AP12B,AP12B
312,ML05C,ML05C
313,ML04C,ML04C
314,ML071,ML071
315,ML06B,ML06B
316,SS09B,SS09B
317,SS13B,SS13B
318,SS11D,SS11D
