,PRECINCT_N,ajc_precinct
792,05A1,05A1
793,01B,01B
794,KELLEY LAKE ELEM,KELLEY LAKE ELEM
795,CANDLER,CANDLER
796,COAN MIDDLE (ATL),COAN MIDDLE
797,EPWORTH (ATL),EPWORTH
798,LIN-MARY LIN ELEM (A,LIN-MARY LIN ELEM
799,BOULEVARD (ATL),BOULEVARD
800,MEADOWVIEW ELEM,MEADOWVIEW ELEM
801,GRESHAM ROAD,GRESHAM ROAD
802,BURGESS ELEM (ATL),BURGESS ELEM
803,METROPOLITAN (ATL),METROPOLITAN
804,PINEY GROVE,PINEY GROVE
805,TERRY MILL,TERRY MILL ELEM
806,02G,02G
807,02D,02D
808,02F2,02F2
809,02J,02J
810,06G,06G
811,06B,06B
812,02E,02E
813,02F1,02F1
814,06F,06F
815,06L1,06L1
816,RW17,RW17
817,RW04,RW04
818,KINGSLEY ELEM (DUN),KINGSLEY ELEM
819,SS01,SS01
820,RW20,RW20
821,RW21A,RW21
822,RW22A,RW22A
823,RW07A,RW07A
824,DORAVILLE NORTH (DOR,DORAVILLE NORTH
825,OAKCLIFF ELEM,OAKCLIFF ELEM
826,NORTH PEACHTREE (DUN,NORTH PEACHTREE
827,PINCKNEYVILLE E,PINCKNEYVILLE E
828,EMBRY HILLS,EMBRY HILLS
829,PLEASANTDALE ELEM,PLEASANTDALE ELEM
830,SS25,SS25
831,PINCKNEYVILLE P,PINCKNEYVILLE P
832,PINCKNEYVILLE A1,PINCKNEYVILLE A1
833,RW21B,RW21
834,JC19,JC19
835,JC13A,JC13A
836,PINCKNEYVILLE C,PINCKNEYVILLE C
837,PINCKNEYVILLE Z,PINCKNEYVILLE Z
838,PINCKNEYVILLE L,PINCKNEYVILLE L
839,JC13B,JC13B
840,PINCKNEYVILLE M,PINCKNEYVILLE M
841,PINCKNEYVILLE B,PINCKNEYVILLE B
842,PINCKNEYVILLE J,PINCKNEYVILLE J
843,PINCKNEYVILLE V,PINCKNEYVILLE V
844,PINCKNEYVILLE W,PINCKNEYVILLE W
845,PINKCNEYVILLE A,PINCKNEYVILLE A
846,PINCKNEYVILLE S,PINCKNEYVILLE S
847,EVANSDALE ELEM,EVANSDALE ELEM
848,MIDVALE ELEM,MIDVALE ELEM
849,TUCKER LIBRARY,TUCKER LIBRARY
850,LIVSEY ELEM,LIVSEY ELEM
851,DORAVILLE SOUTH (DOR,DORAVILLE SOUTH
852,JC18A,JC18A
853,JC18B,JC18B
854,JC17,JC17
855,AP01C,AP01C
856,JC16,JC16
857,AP01A,AP01A
858,AP13,AP13
859,AP12A,AP12A
860,JC14,JC14
861,AP14,AP14
862,JC15,JC15
863,JC10,JC10
864,ASHFORD DUNWOODY RD,ASHFORD DUNWOODY RD
865,ASHFORD PARKSIDE (BH,ASHFORD PARKSIDE
866,MONTGOMERY  (BHAVN),MONTGOMERY ELEM
867,KITTREDGE ELEM (BHAV,KITTREDGE ELEM
868,GEORGETOWN SQ (DUN),GEORGETOWN SQUARE
869,DUNWOODY (DUN),DUNWOODY
870,MOUNT VERNON WEST (D,MT. VERNON WEST
871,07F,07F
872,07D,07D
873,07N,07N
874,07M,07M
875,07E,07E
876,07A,07A
877,07C,07C
878,07B,07B
879,MILLER GROVE HIGH,MILLER GROVE MIDDLE
880,ROCK CHAPEL ROAD,ROCK CHAPEL ROAD
881,ROCK CHAPEL ELEM,ROCK CHAPEL ELEM
882,ROCKBRIDGE ROAD,ROCKBRIDGE ROAD
883,ROCKBRIDGE G,ROCKBRIDGE G
884,CATES B,CATES B
885,CATES K,CATES K
886,MARTINS K,MARTINS K
887,MARTINS H,MARTINS H
888,CATES I,CATES I
889,CATES M,CATES M
890,LAWRENCEVILLE J,LAWRENCEVILLE J
891,MARTINS B,MARTINS B
892,CATES J,CATES J
893,CATES E,CATES E
894,CATES O,CATES O
895,CATES D,CATES D
896,ROCKBRIDGE B,ROCKBRIDGE B
897,CATES H,CATES H
898,CATES F,CATES F
899,CATES G,CATES G
900,LAWRENCEVILLE L,LAWRENCEVILLE L
901,LAWRENCEVILLE E,LAWRENCEVILLE E
902,LAWRENCEVILLE N,LAWRENCEVILLE N
903,LAWRENCEVILLE B,LAWRENCEVILLE B
904,BAYCREEK K,BAYCREEK K
905,LAWRENCEVILLE A,LAWRENCEVILLE A
906,MARTINS G,MARTINS G
907,GOODWINS G,GOODWINS G
908,GOODWINS I,GOODWINS I
909,GOODWINS A,GOODWINS A
910,GOODWINS H,GOODWINS H
911,GOODWINS D,GOODWINS D
912,SUWANEE C,SUWANEE C
913,SUGAR HILL F,SUGAR HILL F
