,PRECINCT_N,XCOORD,YCOORD,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
44,FOREST PARK 3,-84.390084,33.614651,4544279,4.62,445,063FP3,063FP3,FP3,31,CLAYTON,63,,35993,FOREST PARK 3
45,RIVERDALE 6,-84.371785,33.571033,4544380,1.68,493,063RD06,063RD06,RD06,31,CLAYTON,63,black,36949,RIVERDALE 6
46,JONESBORO 15,-84.355757,33.565054,4544453,2.31,463,063JB15,063JB15,JB15,31,CLAYTON,63,black,35178,JONESBORO 15
47,FOREST PARK 5,-84.374529,33.594664,4544524,2.33,447,063FP5,063FP5,FP5,31,CLAYTON,63,,37037,FOREST PARK 5
48,FOREST PARK 6,-84.352956,33.589724,4544594,0.86,448,063FP6,063FP6,FP6,31,CLAYTON,63,,46613,FOREST PARK 6
49,RIVERDALE 4,-84.398593,33.569526,4538463,1.88,491,063RD04,063RD04,RD04,31,CLAYTON,63,black,49299,RIVERDALE 4
50,11J,-84.488249,33.684081,4030419,0.78,1349,12111J,12111J,11J,60,FULTON,121,black,41628,11J
51,SC23A,-84.470795,33.564428,4030469,3.18,1529,121SC23A,121SC23A,SC23A,60,FULTON,121,black,56054,SC23A
52,RIVERDALE 11,-84.454006,33.578224,4030538,1.17,498,063RD11,063RD11,RD11,31,CLAYTON,63,black,65591,RIVERDALE 11
53,SC27,-84.463828,33.599699,4030602,0.97,1531,121SC27,121SC27,SC27,60,FULTON,121,black,43809,SC27
54,CP083,-84.46868,33.612519,4030651,0.38,1416,121CP083,121CP083,CP083,60,FULTON,121,black,41166,CP083
55,CP08A,-84.4661,33.618048,4030710,0.2,1418,121CP08A,121CP08A,CP08A,60,FULTON,121,white,57248,CP08A
56,RIVERDALE 8,-84.441371,33.561459,4030748,1.94,495,063RD08,063RD08,RD08,31,CLAYTON,63,black,62179,RIVERDALE 8
57,SC08B,-84.513664,33.603945,4013924,3.46,1504,121SC08B,121SC08B,SC08B,60,FULTON,121,black,43010,SC08B
58,SC29A,-84.500953,33.568516,4014046,1.22,1532,121SC29A,121SC29A,SC29A,60,FULTON,121,black,49669,SC29A
59,SC23B,-84.495021,33.554997,4014094,0.71,1530,121SC23B,121SC23B,SC23B,60,FULTON,121,black,54597,SC23B
60,SC09B,-84.497234,33.586539,4014125,0.95,1511,121SC09B,121SC09B,SC09B,60,FULTON,121,black,46959,SC09B
61,SC11B,-84.487567,33.57304,4014175,0.81,1514,121SC11B,121SC11B,SC11B,60,FULTON,121,black,56759,SC11B
62,SC11A,-84.476128,33.580888,4014221,0.83,1513,121SC11A,121SC11A,SC11A,60,FULTON,121,black,56759,SC11A
63,SC08D,-84.494275,33.603752,4014346,0.17,1506,121SC08D,121SC08D,SC08D,60,FULTON,121,black,39694,SC08D
64,UC01B,-84.492968,33.605981,4014370,0.55,1576,121UC01B,121UC01B,UC01B,60,FULTON,121,black,39848,UC01B
65,SC09A,-84.479512,33.595311,4014446,1.28,1510,121SC09A,121SC09A,SC09A,60,FULTON,121,black,44086,SC09A
66,UC01A,-84.539297,33.583711,4007941,2.42,1575,121UC01A,121UC01A,UC01A,60,FULTON,121,black,49338,UC01A
67,UC031,-84.518135,33.564968,4008004,2.28,1582,121UC031,121UC031,UC031,60,FULTON,121,black,51926,UC031
68,SC08E,-84.522922,33.582448,4008090,0.23,1507,121SC08E,121SC08E,SC08E,60,FULTON,121,black,49346,SC08E
69,UC035,-84.512411,33.579302,4008147,0.27,1586,121UC035,121UC035,UC035,60,FULTON,121,black,50266,UC035
70,UC01D,-84.54007,33.614051,4008245,0.85,1578,121UC01D,121UC01D,UC01D,60,FULTON,121,black,48657,UC01D
