ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1,XCOORD,YCOORD
4030419,0.78,1349,12111J,12111J,11J,11J,60,FULTON,121,black,41628.000018,-84.488249,33.684081
4030469,3.18,1529,121SC23A,121SC23A,SC23A,SC23A,60,FULTON,121,black,56054.941005,-84.470795,33.564428
4030538,1.17,498,063RD11,063RD11,RD11,RIVERDALE 11,31,CLAYTON,063,black,65591.201659,-84.454006,33.578224
4030602,0.97,1531,121SC27,121SC27,SC27,SC27,60,FULTON,121,black,43809.167004,-84.463828,33.599699
4030651,0.38,1416,121CP083,121CP083,CP083,CP083,60,FULTON,121,black,41166,-84.46868,33.612519
4030710,0.2,1418,121CP08A,121CP08A,CP08A,CP08A,60,FULTON,121,white,57248.99995,-84.4661,33.618048
4030748,1.94,495,063RD08,063RD08,RD08,RIVERDALE 8,31,CLAYTON,063,black,62179.274513,-84.441371,33.561459
4013924,3.46,1504,121SC08B,121SC08B,SC08B,SC08B,60,FULTON,121,black,43010.148679,-84.513664,33.603945
4014046,1.22,1532,121SC29A,121SC29A,SC29A,SC29A,60,FULTON,121,black,49669.000155,-84.500953,33.568516
4014094,0.71,1530,121SC23B,121SC23B,SC23B,SC23B,60,FULTON,121,black,54597.995985,-84.495021,33.554997
4014125,0.95,1511,121SC09B,121SC09B,SC09B,SC09B,60,FULTON,121,black,46959.085489,-84.497234,33.586539
4014175,0.81,1514,121SC11B,121SC11B,SC11B,SC11B,60,FULTON,121,black,56759.999978,-84.487567,33.57304
4014221,0.83,1513,121SC11A,121SC11A,SC11A,SC11A,60,FULTON,121,black,56759.999975,-84.476128,33.580888
4014346,0.17,1506,121SC08D,121SC08D,SC08D,SC08D,60,FULTON,121,black,39694,-84.494275,33.603752
4014370,0.55,1576,121UC01B,121UC01B,UC01B,UC01B,60,FULTON,121,black,39848.998953,-84.492968,33.605981
4014446,1.28,1510,121SC09A,121SC09A,SC09A,SC09A,60,FULTON,121,black,44086.696913,-84.479512,33.595311
4007941,2.42,1575,121UC01A,121UC01A,UC01A,UC01A,60,FULTON,121,black,49338.617955,-84.539297,33.583711
4008004,2.28,1582,121UC031,121UC031,UC031,UC031,60,FULTON,121,black,51926.317364,-84.518135,33.564968
4008090,0.23,1507,121SC08E,121SC08E,SC08E,SC08E,60,FULTON,121,black,49346.997853,-84.522922,33.582448
4008147,0.27,1586,121UC035,121UC035,UC035,UC035,60,FULTON,121,black,50266.613729,-84.512411,33.579302
4008245,0.85,1578,121UC01D,121UC01D,UC01D,UC01D,60,FULTON,121,black,48657,-84.54007,33.614051
4008306,0.15,1520,121SC17B,121SC17B,SC17B,SC17B,60,FULTON,121,black,48657,-84.530987,33.610103
3974577,11,1501,121SC07A,121SC07A,SC07A,SC07A,60,FULTON,121,black,64043.840476,-84.624144,33.572924
3886504,17.58,1398,121CH03,121CH03,CH03,CH03,60,FULTON,121,white,41282,-84.751412,33.583595
3886642,5.24,1397,121CH02,121CH02,CH02,CH02,60,FULTON,121,white,41282.000002,-84.706726,33.593946
3886700,2.77,1396,121CH01,121CH01,CH01,CH01,60,FULTON,121,white,41282,-84.690312,33.562941
