PRECINCT_N,ajc_precinct
LAWRENCEVILLE J,LAWRENCEVILLE J
MARTINS B,MARTINS B
CATES J,CATES J
CATES E,CATES E
CATES O,CATES O
CATES D,CATES D
ROCKBRIDGE B,ROCKBRIDGE B
CATES H,CATES H
CATES F,CATES F
CATES G,CATES G
LAWRENCEVILLE L,LAWRENCEVILLE L
LAWRENCEVILLE E,LAWRENCEVILLE E
LAWRENCEVILLE N,LAWRENCEVILLE N
LAWRENCEVILLE B,LAWRENCEVILLE B
BAYCREEK K,BAYCREEK K
LAWRENCEVILLE A,LAWRENCEVILLE A
MARTINS G,MARTINS G
GOODWINS G,GOODWINS G
GOODWINS I,GOODWINS I
GOODWINS A,GOODWINS A
GOODWINS H,GOODWINS H
GOODWINS D,GOODWINS D
SUWANEE C,SUWANEE C
SUGAR HILL F,SUGAR HILL F
