,Unnamed: 0,Unnamed: 0.1,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
897,893.0,893.0,5002342.0,2.06,1693.0,13536,13536,36,CATES E,67.0,GWINNETT,135.0,white,101285.0,CATES E,GWINNETT,203.0,CATES E,227.0,817.0,0.277845777234,0.24847001224,both
898,894.0,894.0,5002405.0,0.88,1764.0,135107,135107,107,CATES O,67.0,GWINNETT,135.0,white,105700.0,CATES O,GWINNETT,98.0,CATES O,99.0,358.0,0.276536312849,0.27374301676,both
900,896.0,896.0,5002539.0,2.01,1701.0,13544,13544,44,ROCKBRIDGE B,67.0,GWINNETT,135.0,black,69315.0,ROCKBRIDGE B,GWINNETT,111.0,ROCKBRIDGE B,142.0,409.0,0.347188264059,0.271393643032,both
901,897.0,897.0,5002592.0,2.41,1710.0,13553,13553,53,CATES H,67.0,GWINNETT,135.0,black,55325.0,CATES H,GWINNETT,155.0,CATES H,167.0,457.0,0.365426695842,0.339168490153,both
902,898.0,898.0,5002671.0,1.2,1703.0,13546,13546,46,CATES F,67.0,GWINNETT,135.0,white,112113.0,CATES F,GWINNETT,144.0,CATES F,197.0,549.0,0.35883424408,0.262295081967,both
903,899.0,899.0,5002721.0,2.09,1704.0,13547,13547,47,CATES G,67.0,GWINNETT,135.0,white,112113.0,CATES G,GWINNETT,232.0,CATES G,266.0,988.0,0.269230769231,0.234817813765,both
904,900.0,900.0,5060326.0,2.01,1800.0,135143,135143,143,LAWRENCEVILLE L,67.0,GWINNETT,135.0,,79124.0,LAWRENCEVILLE L,GWINNETT,213.0,LAWRENCEVILLE L,259.0,869.0,0.298043728423,0.245109321059,both
905,901.0,901.0,5060402.0,1.82,1718.0,13561,13561,61,LAWRENCEVILLE E,67.0,GWINNETT,135.0,,53880.0,LAWRENCEVILLE E,GWINNETT,139.0,LAWRENCEVILLE E,214.0,601.0,0.356073211314,0.231281198003,both
906,902.0,902.0,5060464.0,1.21,1810.0,135153,135153,153,LAWRENCEVILLE N,67.0,GWINNETT,135.0,,65770.0,LAWRENCEVILLE N,GWINNETT,110.0,LAWRENCEVILLE N,135.0,404.0,0.334158415842,0.272277227723,both
907,903.0,903.0,5060536.0,2.59,1673.0,13516,13516,16,LAWRENCEVILLE B,67.0,GWINNETT,135.0,,84147.0,LAWRENCEVILLE B,GWINNETT,145.0,LAWRENCEVILLE B,228.0,601.0,0.379367720466,0.241264559068,both
908,904.0,904.0,5060594.0,2.33,1735.0,13578,13578,78,BAYCREEK K,67.0,GWINNETT,135.0,white,80066.0,BAYCREEK K,GWINNETT,216.0,BAYCREEK K,223.0,730.0,0.305479452055,0.295890410959,both
909,905.0,905.0,5060650.0,2.73,1672.0,13515,13515,15,LAWRENCEVILLE A,67.0,GWINNETT,135.0,,54894.0,LAWRENCEVILLE A,GWINNETT,149.0,LAWRENCEVILLE A,215.0,564.0,0.381205673759,0.264184397163,both
910,906.0,906.0,5041393.0,2.37,1767.0,135110,135110,110,MARTINS G,67.0,GWINNETT,135.0,,62952.0,MARTINS G,GWINNETT,69.0,MARTINS G,100.0,230.0,0.434782608696,0.3,both
911,907.0,907.0,5041451.0,0.84,1781.0,135124,135124,124,GOODWINS G,67.0,GWINNETT,135.0,,70959.0,GOODWINS G,GWINNETT,73.0,GOODWINS G,82.0,266.0,0.308270676692,0.274436090226,both
912,908.0,908.0,5041507.0,0.83,1806.0,135149,135149,149,GOODWINS I,67.0,GWINNETT,135.0,white,93855.0,GOODWINS I,GWINNETT,144.0,GOODWINS I,214.0,719.0,0.297635605007,0.200278164117,both
913,909.0,909.0,5041556.0,1.51,1663.0,1356,1356,6,GOODWINS A,67.0,GWINNETT,135.0,white,82916.0,GOODWINS A,GWINNETT,167.0,GOODWINS A,234.0,679.0,0.344624447717,0.245949926362,both
914,910.0,910.0,5041625.0,1.18,1785.0,135128,135128,128,GOODWINS H,67.0,GWINNETT,135.0,white,72928.0,GOODWINS H,GWINNETT,158.0,GOODWINS H,171.0,595.0,0.287394957983,0.265546218487,both
915,911.0,911.0,5041693.0,1.94,1740.0,13583,13583,83,GOODWINS D,67.0,GWINNETT,135.0,white,83704.0,GOODWINS D,GWINNETT,228.0,GOODWINS D,267.0,809.0,0.330037082818,0.281829419036,both
916,912.0,912.0,5041762.0,5.7,1763.0,135106,135106,106,SUWANEE C,67.0,GWINNETT,135.0,,104351.0,SUWANEE C,GWINNETT,253.0,SUWANEE C,329.0,1061.0,0.310084825636,0.238454288407,both
917,913.0,913.0,5184155.0,2.74,1762.0,135105,135105,105,SUGAR HILL F,67.0,GWINNETT,135.0,white,111801.0,SUGAR HILL F,GWINNETT,240.0,SUGAR HILL F,277.0,864.0,0.320601851852,0.277777777778,both
