,Unnamed: 0,Unnamed: 0.1,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
50,50.0,50.0,4030419.0,0.78,1349.0,12111J,12111J,11J,11J,60.0,FULTON,121.0,black,41628.0,11J,FULTON,1.0,11J,6.0,14.0,0.428571428571,0.0714285714286,both
51,51.0,51.0,4030469.0,3.18,1529.0,121SC23A,121SC23A,SC23A,SC23A,60.0,FULTON,121.0,black,56054.0,SC23A,FULTON,11.0,SC23A,20.0,52.0,0.384615384615,0.211538461538,both
52,52.0,52.0,4030538.0,1.17,498.0,063RD11,063RD11,RD11,RIVERDALE 11,31.0,CLAYTON,63.0,black,65591.0,RIVERDALE 11,CLAYTON,9.0,RIVERDALE 11,22.0,54.0,0.407407407407,0.166666666667,both
53,53.0,53.0,4030602.0,0.97,1531.0,121SC27,121SC27,SC27,SC27,60.0,FULTON,121.0,black,43809.0,SC27,FULTON,5.0,SC27,7.0,22.0,0.318181818182,0.227272727273,both
54,54.0,54.0,4030651.0,0.38,1416.0,121CP083,121CP083,CP083,CP083,60.0,FULTON,121.0,black,41166.0,CP083,FULTON,0.0,CP083,0.0,0.0,0.0,0.0,both
55,55.0,55.0,4030710.0,0.2,1418.0,121CP08A,121CP08A,CP08A,CP08A,60.0,FULTON,121.0,white,57248.0,CP08A,FULTON,0.0,CP08A,1.0,1.0,1.0,0.0,both
56,56.0,56.0,4030748.0,1.94,495.0,063RD08,063RD08,RD08,RIVERDALE 8,31.0,CLAYTON,63.0,black,62179.0,RIVERDALE 8,CLAYTON,24.0,RIVERDALE 8,52.0,124.0,0.41935483871,0.193548387097,both
57,57.0,57.0,4013924.0,3.46,1504.0,121SC08B,121SC08B,SC08B,SC08B,60.0,FULTON,121.0,black,43010.0,SC08B,FULTON,8.0,SC08B,10.0,35.0,0.285714285714,0.228571428571,both
58,58.0,58.0,4014046.0,1.22,1532.0,121SC29A,121SC29A,SC29A,SC29A,60.0,FULTON,121.0,black,49669.0,SC29A,FULTON,5.0,SC29A,9.0,23.0,0.391304347826,0.217391304348,both
59,59.0,59.0,4014094.0,0.71,1530.0,121SC23B,121SC23B,SC23B,SC23B,60.0,FULTON,121.0,black,54597.0,SC23B,FULTON,0.0,SC23B,5.0,11.0,0.454545454545,0.0,both
60,60.0,60.0,4014125.0,0.95,1511.0,121SC09B,121SC09B,SC09B,SC09B,60.0,FULTON,121.0,black,46959.0,SC09B,FULTON,5.0,SC09B,3.0,20.0,0.15,0.25,both
61,61.0,61.0,4014175.0,0.81,1514.0,121SC11B,121SC11B,SC11B,SC11B,60.0,FULTON,121.0,black,56759.0,SC11B,FULTON,2.0,SC11B,3.0,13.0,0.230769230769,0.153846153846,both
62,62.0,62.0,4014221.0,0.83,1513.0,121SC11A,121SC11A,SC11A,SC11A,60.0,FULTON,121.0,black,56759.0,SC11A,FULTON,4.0,SC11A,6.0,18.0,0.333333333333,0.222222222222,both
63,63.0,63.0,4014346.0,0.17,1506.0,121SC08D,121SC08D,SC08D,SC08D,60.0,FULTON,121.0,black,39694.0,SC08D,FULTON,3.0,SC08D,0.0,4.0,0.0,0.75,both
64,64.0,64.0,4014370.0,0.55,1576.0,121UC01B,121UC01B,UC01B,UC01B,60.0,FULTON,121.0,black,39848.0,UC01B,FULTON,0.0,UC01B,0.0,3.0,0.0,0.0,both
65,65.0,65.0,4014446.0,1.28,1510.0,121SC09A,121SC09A,SC09A,SC09A,60.0,FULTON,121.0,black,44086.0,SC09A,FULTON,12.0,SC09A,11.0,44.0,0.25,0.272727272727,both
66,66.0,66.0,4007941.0,2.42,1575.0,121UC01A,121UC01A,UC01A,UC01A,60.0,FULTON,121.0,black,49338.0,UC01A,FULTON,13.0,UC01A,9.0,40.0,0.225,0.325,both
67,67.0,67.0,4008004.0,2.28,1582.0,121UC031,121UC031,UC031,UC031,60.0,FULTON,121.0,black,51926.0,UC031,FULTON,50.0,UC031,60.0,180.0,0.333333333333,0.277777777778,both
68,68.0,68.0,4008090.0,0.23,1507.0,121SC08E,121SC08E,SC08E,SC08E,60.0,FULTON,121.0,black,49346.0,SC08E,FULTON,0.0,SC08E,0.0,1.0,0.0,0.0,both
72,72.0,72.0,3974577.0,11.0,1501.0,121SC07A,121SC07A,SC07A,SC07A,60.0,FULTON,121.0,black,64043.0,SC07A,FULTON,52.0,SC07A,67.0,193.0,0.347150259067,0.269430051813,both
73,73.0,73.0,3886504.0,17.58,1398.0,121CH03,121CH03,CH03,CH03,60.0,FULTON,121.0,white,41282.0,CH03,FULTON,28.0,CH03,51.0,109.0,0.467889908257,0.256880733945,both
74,74.0,74.0,3886642.0,5.24,1397.0,121CH02,121CH02,CH02,CH02,60.0,FULTON,121.0,white,41282.0,CH02,FULTON,26.0,CH02,40.0,93.0,0.430107526882,0.279569892473,both
75,75.0,75.0,3886700.0,2.77,1396.0,121CH01,121CH01,CH01,CH01,60.0,FULTON,121.0,white,41282.0,CH01,FULTON,7.0,CH01,6.0,16.0,0.375,0.4375,both
76,76.0,76.0,3886746.0,17.33,1497.0,121SC04,121SC04,SC04,SC04,60.0,FULTON,121.0,white,51949.0,SC04,FULTON,56.0,SC04,57.0,158.0,0.360759493671,0.354430379747,both
77,77.0,77.0,797909.0,18.69,1401.0,121CH05,121CH05,CH05,CH05,60.0,FULTON,121.0,white,41282.0,CH05,FULTON,31.0,CH05,68.0,143.0,0.475524475524,0.216783216783,both
78,78.0,78.0,798082.0,6.8,1399.0,121CH04A,121CH04A,CH04A,CH04A,60.0,FULTON,121.0,white,41282.0,CH04A,FULTON,28.0,CH04A,55.0,143.0,0.384615384615,0.195804195804,both
79,79.0,79.0,1073521.0,2.69,466.0,063JB18,063JB18,JB18,JONESBORO 18,31.0,CLAYTON,63.0,black,52205.0,JONESBORO 18,CLAYTON,29.0,JONESBORO 18,46.0,126.0,0.365079365079,0.230158730159,both
80,80.0,80.0,1073600.0,2.9,459.0,063JB11,063JB11,JB11,JONESBORO 11,31.0,CLAYTON,63.0,black,71803.0,JONESBORO 11,CLAYTON,92.0,JONESBORO 11,116.0,338.0,0.343195266272,0.272189349112,both
81,81.0,81.0,1073694.0,2.02,455.0,063JB07,063JB07,JB07,JONESBORO 7,31.0,CLAYTON,63.0,black,61414.0,JONESBORO 7,CLAYTON,55.0,JONESBORO 7,88.0,241.0,0.365145228216,0.228215767635,both
82,82.0,82.0,1073760.0,3.84,454.0,063JB06,063JB06,JB06,JONESBORO 6,31.0,CLAYTON,63.0,white,98786.0,JONESBORO 6,CLAYTON,137.0,JONESBORO 6,235.0,590.0,0.398305084746,0.232203389831,both
83,83.0,83.0,890832.0,0.14,1583.0,121UC032,121UC032,UC032,UC032,60.0,FULTON,121.0,black,49669.0,UC032,FULTON,1.0,UC032,4.0,10.0,0.4,0.1,both
84,84.0,84.0,890867.0,1.76,1526.0,121SC211,121SC211,SC211,SC211,60.0,FULTON,121.0,black,54300.0,SC211,FULTON,5.0,SC211,5.0,17.0,0.294117647059,0.294117647059,both
85,85.0,85.0,898570.0,1.94,449.0,063JB01,063JB01,JB01,JONESBORO 1,31.0,CLAYTON,63.0,black,39933.0,JONESBORO 1,CLAYTON,31.0,JONESBORO 1,64.0,128.0,0.5,0.2421875,both
86,86.0,86.0,1053163.0,1.68,486.0,063PH1,063PH1,PH1,PANHANDLE 1,31.0,CLAYTON,63.0,black,71320.0,PANHANDLE 1,CLAYTON,45.0,PANHANDLE 1,41.0,143.0,0.286713286713,0.314685314685,both
87,87.0,87.0,1053201.0,2.08,461.0,063JB13,063JB13,JB13,JONESBORO 13,31.0,CLAYTON,63.0,black,61686.0,JONESBORO 13,CLAYTON,30.0,JONESBORO 13,47.0,122.0,0.385245901639,0.245901639344,both
88,88.0,88.0,1053254.0,1.85,471.0,063LJ4,063LJ4,LJ4,LOVEJOY 4,31.0,CLAYTON,63.0,black,62823.0,LOVEJOY 4,CLAYTON,23.0,LOVEJOY 4,48.0,113.0,0.424778761062,0.203539823009,both
89,89.0,89.0,1053297.0,1.17,472.0,063LJ5,063LJ5,LJ5,LOVEJOY 5,31.0,CLAYTON,63.0,black,48898.0,LOVEJOY 5,CLAYTON,18.0,LOVEJOY 5,30.0,83.0,0.361445783133,0.21686746988,both
90,90.0,90.0,1044861.0,10.67,487.0,063PH2,063PH2,PH2,PANHANDLE 2,31.0,CLAYTON,63.0,black,71320.0,PANHANDLE 2,CLAYTON,72.0,PANHANDLE 2,132.0,315.0,0.419047619048,0.228571428571,both
91,91.0,91.0,1067981.0,1.49,452.0,063JB04,063JB04,JB04,JONESBORO 4,31.0,CLAYTON,63.0,black,37524.0,JONESBORO 4,CLAYTON,16.0,JONESBORO 4,56.0,100.0,0.56,0.16,both
92,92.0,92.0,1068024.0,7.56,470.0,063LJ3,063LJ3,LJ3,LOVEJOY 3,31.0,CLAYTON,63.0,black,66907.0,LOVEJOY 3,CLAYTON,79.0,LOVEJOY 3,127.0,319.0,0.398119122257,0.247648902821,both
93,93.0,93.0,1068127.0,6.59,468.0,063LJ1,063LJ1,LJ1,LOVEJOY 1,31.0,CLAYTON,63.0,black,50463.0,LOVEJOY 1,CLAYTON,47.0,LOVEJOY 1,69.0,168.0,0.410714285714,0.279761904762,both
94,94.0,94.0,1068221.0,4.84,469.0,063LJ2,063LJ2,LJ2,LOVEJOY 2,31.0,CLAYTON,63.0,black,59069.0,LOVEJOY 2,CLAYTON,30.0,LOVEJOY 2,43.0,93.0,0.462365591398,0.322580645161,both
95,95.0,95.0,1068289.0,1.42,453.0,063JB05,063JB05,JB05,JONESBORO 5,31.0,CLAYTON,63.0,black,62825.0,JONESBORO 5,CLAYTON,50.0,JONESBORO 5,80.0,188.0,0.425531914894,0.265957446809,both
96,96.0,96.0,1068337.0,3.61,462.0,063JB14,063JB14,JB14,JONESBORO 14,31.0,CLAYTON,63.0,black,66969.0,JONESBORO 14,CLAYTON,142.0,JONESBORO 14,210.0,607.0,0.345963756178,0.233937397035,both
97,97.0,97.0,5075546.0,4.55,1804.0,135147,135147,147,BAYCREEK I,67.0,GWINNETT,135.0,,90842.0,BAYCREEK I,GWINNETT,248.0,BAYCREEK I,305.0,850.0,0.358823529412,0.291764705882,both
98,98.0,98.0,5075606.0,7.52,1737.0,13580,13580,80,BAYCREEK C,67.0,GWINNETT,135.0,,84393.0,BAYCREEK C,GWINNETT,274.0,BAYCREEK C,345.0,1002.0,0.344311377246,0.273453093812,both
99,99.0,99.0,5075667.0,2.27,1747.0,13590,13590,90,LAWRENCEVILLE I,67.0,GWINNETT,135.0,,57021.0,LAWRENCEVILLE I,GWINNETT,137.0,LAWRENCEVILLE I,128.0,482.0,0.265560165975,0.284232365145,both
100,100.0,100.0,5075729.0,2.33,1742.0,13585,13585,85,LAWRENCEVILLE H,67.0,GWINNETT,135.0,white,88378.0,LAWRENCEVILLE H,GWINNETT,277.0,LAWRENCEVILLE H,265.0,913.0,0.290251916758,0.303395399781,both
101,101.0,101.0,5075788.0,1.38,1789.0,135132,135132,132,LAWRENCEVILLE K,67.0,GWINNETT,135.0,white,87845.0,LAWRENCEVILLE K,GWINNETT,193.0,LAWRENCEVILLE K,233.0,699.0,0.333333333333,0.276108726753,both
102,102.0,102.0,5075831.0,4.06,1717.0,13560,13560,60,LAWRENCEVILLE D,67.0,GWINNETT,135.0,,62617.0,LAWRENCEVILLE D,GWINNETT,81.0,LAWRENCEVILLE D,127.0,308.0,0.412337662338,0.262987012987,both
103,103.0,103.0,5075925.0,3.18,1699.0,13542,13542,42,LAWRENCEVILLE C,67.0,GWINNETT,135.0,white,86150.0,LAWRENCEVILLE C,GWINNETT,194.0,LAWRENCEVILLE C,271.0,702.0,0.38603988604,0.276353276353,both
104,104.0,104.0,5219882.0,4.27,1666.0,1359,1359,9,PUCKETTS A,67.0,GWINNETT,135.0,white,80975.0,PUCKETTS A,GWINNETT,361.0,PUCKETTS A,458.0,1312.0,0.349085365854,0.275152439024,both
105,105.0,105.0,5220026.0,4.39,1792.0,135135,135135,135,PUCKETTS C,67.0,GWINNETT,135.0,white,90506.0,PUCKETTS C,GWINNETT,201.0,PUCKETTS C,265.0,711.0,0.372714486639,0.282700421941,both
106,106.0,106.0,5093428.0,6.33,1660.0,1353,1353,3,DACULA,67.0,GWINNETT,135.0,white,88376.0,DACULA,GWINNETT,248.0,DACULA,303.0,854.0,0.354800936768,0.290398126464,both
107,107.0,107.0,5093509.0,2.43,1809.0,135152,135152,152,ROCKYCREEK C,67.0,GWINNETT,135.0,white,92688.0,ROCKYCREEK C,GWINNETT,298.0,ROCKYCREEK C,356.0,1125.0,0.316444444444,0.264888888889,both
108,108.0,108.0,5093552.0,2.39,1794.0,135137,135137,137,ROCKYCREEK B,67.0,GWINNETT,135.0,white,80511.0,ROCKYCREEK B,GWINNETT,306.0,ROCKYCREEK B,379.0,1143.0,0.331583552056,0.267716535433,both
109,109.0,109.0,5093594.0,3.01,1811.0,135154,135154,154,PUCKETTS D,67.0,GWINNETT,135.0,white,80791.0,PUCKETTS D,GWINNETT,229.0,PUCKETTS D,307.0,841.0,0.365041617122,0.272294887039,both
110,110.0,110.0,5093659.0,3.03,1665.0,1358,1358,8,DUNCANS A,67.0,GWINNETT,135.0,white,110889.0,DUNCANS A,GWINNETT,322.0,DUNCANS A,465.0,1370.0,0.339416058394,0.23503649635,both
111,111.0,111.0,5093729.0,1.6,1670.0,13513,13513,13,DUNCANS C,67.0,GWINNETT,135.0,white,111087.0,DUNCANS C,GWINNETT,217.0,DUNCANS C,315.0,975.0,0.323076923077,0.222564102564,both
112,112.0,112.0,5093769.0,4.15,1479.0,121RW09,121RW09,RW09,RW09,60.0,FULTON,121.0,white,176443.0,RW09,FULTON,318.0,RW09,544.0,1886.0,0.288441145281,0.168610816543,both
113,113.0,113.0,5066269.0,3.41,1765.0,135108,135108,108,BAYCREEK E,67.0,GWINNETT,135.0,,80886.0,BAYCREEK E,GWINNETT,175.0,BAYCREEK E,216.0,573.0,0.376963350785,0.305410122164,both
114,114.0,114.0,5066342.0,5.08,1802.0,135145,135145,145,BAYCREEK G,67.0,GWINNETT,135.0,white,76761.0,BAYCREEK G,GWINNETT,242.0,BAYCREEK G,251.0,813.0,0.308733087331,0.29766297663,both
115,115.0,115.0,5066508.0,7.92,1803.0,135146,135146,146,BAYCREEK H,67.0,GWINNETT,135.0,white,82443.0,BAYCREEK H,GWINNETT,395.0,BAYCREEK H,474.0,1334.0,0.355322338831,0.296101949025,both
116,116.0,116.0,5066591.0,3.41,1748.0,13591,13591,91,BAYCREEK D,67.0,GWINNETT,135.0,white,94098.0,BAYCREEK D,GWINNETT,337.0,BAYCREEK D,316.0,1038.0,0.304431599229,0.324662813102,both
117,117.0,117.0,5521053.0,11.28,1790.0,135133,135133,133,HARBINS B,67.0,GWINNETT,135.0,white,82440.0,HARBINS B,GWINNETT,293.0,HARBINS B,377.0,1027.0,0.367088607595,0.2852969815,both
118,118.0,118.0,5521161.0,7.04,1685.0,13528,13528,28,ROCKYCREEK A,67.0,GWINNETT,135.0,white,103858.0,ROCKYCREEK A,GWINNETT,363.0,ROCKYCREEK A,409.0,1219.0,0.335520918786,0.297785069729,both
119,119.0,119.0,5521221.0,6.29,1786.0,135129,135129,129,DUNCANS B,67.0,GWINNETT,135.0,white,111273.0,DUNCANS B,GWINNETT,356.0,DUNCANS B,451.0,1255.0,0.359362549801,0.283665338645,both
120,120.0,120.0,5646016.0,7.06,1696.0,13539,13539,39,DUNCANS D,67.0,GWINNETT,135.0,white,111722.0,DUNCANS D,GWINNETT,406.0,DUNCANS D,582.0,1682.0,0.346016646849,0.241379310345,both
121,121.0,121.0,4973944.0,4.4,1761.0,135104,135104,104,ROCKBRIDGE F,67.0,GWINNETT,135.0,black,74483.0,ROCKBRIDGE F,GWINNETT,139.0,ROCKBRIDGE F,191.0,534.0,0.357677902622,0.260299625468,both
122,122.0,122.0,4974009.0,3.91,1733.0,13576,13576,76,ROCKBRIDGE D,67.0,GWINNETT,135.0,black,74483.0,ROCKBRIDGE D,GWINNETT,146.0,ROCKBRIDGE D,138.0,471.0,0.292993630573,0.309978768577,both
123,123.0,123.0,4974227.0,1.42,1709.0,13552,13552,52,BERKSHIRE G,67.0,GWINNETT,135.0,white,86326.0,BERKSHIRE G,GWINNETT,156.0,BERKSHIRE G,221.0,647.0,0.341576506955,0.241112828439,both
124,124.0,124.0,5511983.0,13.74,1658.0,1351,1351,1,HARBINS A,67.0,GWINNETT,135.0,white,77447.0,HARBINS A,GWINNETT,390.0,HARBINS A,467.0,1272.0,0.36713836478,0.306603773585,both
125,125.0,125.0,5512082.0,5.93,1808.0,135151,135151,151,HARBINS C,67.0,GWINNETT,135.0,white,77448.0,HARBINS C,GWINNETT,203.0,HARBINS C,246.0,679.0,0.362297496318,0.298969072165,both
126,126.0,126.0,4313752.0,1.3,649.0,067WL01,067WL01,WL01,WILLEO 01,33.0,COBB,67.0,white,136873.0,WILEO 01,COBB,169.0,WILEO 01,250.0,996.0,0.251004016064,0.169678714859,both
127,127.0,127.0,4785216.0,0.25,1477.0,121RW07B,121RW07B,RW07B,RW07B,60.0,FULTON,121.0,hispanic,45170.0,RW07B,FULTON,20.0,RW07B,16.0,50.0,0.32,0.4,both
128,128.0,128.0,4785253.0,0.45,1380.0,121AP03,121AP03,AP03,AP03,60.0,FULTON,121.0,,57454.0,AP03,FULTON,12.0,AP03,19.0,57.0,0.333333333333,0.210526315789,both
129,129.0,129.0,4785283.0,2.73,1474.0,121RW05,121RW05,RW05,RW05,60.0,FULTON,121.0,,58003.0,RW05,FULTON,59.0,RW05,78.0,256.0,0.3046875,0.23046875,both
130,130.0,130.0,4785367.0,1.4,1377.0,121AP021,121AP021,AP021,AP021,60.0,FULTON,121.0,white,110781.0,AP021,FULTON,124.0,AP021,184.0,692.0,0.265895953757,0.179190751445,both
131,131.0,131.0,4785430.0,1.25,1475.0,121RW06,121RW06,RW06,RW06,60.0,FULTON,121.0,white,93606.0,RW06,FULTON,140.0,RW06,171.0,713.0,0.239831697055,0.196353436185,both
132,132.0,132.0,4785484.0,2.31,1484.0,121RW13,121RW13,RW13,RW13,60.0,FULTON,121.0,white,103843.0,RW13,FULTON,189.0,RW13,272.0,1001.0,0.271728271728,0.188811188811,both
133,133.0,133.0,4785583.0,1.55,1375.0,121AP01D,121AP01D,AP01D,AP01D,60.0,FULTON,121.0,white,81158.0,AP01D,FULTON,25.0,AP01D,39.0,120.0,0.325,0.208333333333,both
134,134.0,134.0,4785645.0,0.86,1379.0,121AP02B,121AP02B,AP02B,AP02B,60.0,FULTON,121.0,,61654.0,AP02B,FULTON,12.0,AP02B,12.0,65.0,0.184615384615,0.184615384615,both
135,135.0,135.0,4785688.0,1.73,1378.0,121AP022,121AP022,AP022,AP022,60.0,FULTON,121.0,,61655.0,AP022,FULTON,96.0,AP022,123.0,424.0,0.290094339623,0.22641509434,both
136,136.0,136.0,4785752.0,0.81,1373.0,121AP01B,121AP01B,AP01B,AP01B,60.0,FULTON,121.0,,84909.0,AP01B,FULTON,13.0,AP01B,30.0,89.0,0.337078651685,0.14606741573,both
137,137.0,137.0,4036274.0,1.44,488.0,063RD01,063RD01,RD01,RIVERDALE 1,31.0,CLAYTON,63.0,black,59697.0,RIVERDALE 1,CLAYTON,11.0,RIVERDALE 1,36.0,66.0,0.545454545455,0.166666666667,both
138,138.0,138.0,4036334.0,1.45,490.0,063RD03,063RD03,RD03,RIVERDALE 3,31.0,CLAYTON,63.0,black,48284.0,RIVERDALE 3,CLAYTON,14.0,RIVERDALE 3,21.0,53.0,0.396226415094,0.264150943396,both
139,139.0,139.0,4036418.0,1.21,485.0,063OAK4,063OAK4,OAK4,OAK 4,31.0,CLAYTON,63.0,black,50172.0,OAK 4,CLAYTON,10.0,OAK 4,11.0,41.0,0.268292682927,0.243902439024,both
140,140.0,140.0,4036474.0,1.01,483.0,063OAK2,063OAK2,OAK2,OAK 2,31.0,CLAYTON,63.0,black,46756.0,OAK 2,CLAYTON,2.0,OAK 2,9.0,17.0,0.529411764706,0.117647058824,both
141,141.0,141.0,4036533.0,0.88,497.0,063RD10,063RD10,RD10,RIVERDALE 10,31.0,CLAYTON,63.0,black,31847.0,RIVERDALE 10,CLAYTON,6.0,RIVERDALE 10,10.0,20.0,0.5,0.3,both
142,142.0,142.0,4036579.0,2.26,484.0,063OAK3,063OAK3,OAK3,OAK 3,31.0,CLAYTON,63.0,black,34426.0,OAK 3,CLAYTON,11.0,OAK 3,11.0,37.0,0.297297297297,0.297297297297,both
144,144.0,144.0,4036697.0,0.25,1409.0,121CP05B,121CP05B,CP05B,CP05B,60.0,FULTON,121.0,black,35056.0,CP05B,FULTON,0.0,CP05B,0.0,1.0,0.0,0.0,both
146,146.0,146.0,4770756.0,1.28,1478.0,121RW08,121RW08,RW08,RW08,60.0,FULTON,121.0,white,104907.0,RW08,FULTON,120.0,RW08,188.0,685.0,0.274452554745,0.175182481752,both
148,148.0,148.0,4770852.0,1.48,1486.0,121RW16,121RW16,RW16,RW16,60.0,FULTON,121.0,white,110849.0,RW16,FULTON,91.0,RW16,153.0,528.0,0.289772727273,0.172348484848,both
149,149.0,149.0,4770890.0,2.4,1483.0,121RW12,121RW12,RW12,RW12,60.0,FULTON,121.0,white,113046.0,RW12,FULTON,299.0,RW12,603.0,1863.0,0.323671497585,0.16049382716,both
150,150.0,150.0,4770952.0,1.08,836.0,089DI,089DI,DI,DUNWOODY LIBRARY (DU,44.0,DEKALB,89.0,white,159717.0,DUNWOODY LIBRARY,DEKALB,126.0,DUNWOODY LIBRARY,226.0,974.0,0.232032854209,0.129363449692,both
151,151.0,151.0,4771006.0,1.23,789.0,089AD,089AD,AD,AUSTIN,44.0,DEKALB,89.0,white,157989.0,AUSTIN,DEKALB,146.0,AUSTIN,210.0,989.0,0.212335692619,0.147623862487,both
152,152.0,152.0,4771060.0,1.09,897.0,089MQ,089MQ,MQ,MOUNT VERNON EAST (D,44.0,DEKALB,89.0,white,146753.0,MT. VERNON EAST,DEKALB,105.0,MT. VERNON EAST,274.0,959.0,0.285714285714,0.109489051095,both
153,153.0,153.0,4771112.0,0.4,1561.0,121SS15B,121SS15B,SS15B,SS15B,60.0,FULTON,121.0,,72017.0,SS15B,FULTON,35.0,SS15B,63.0,190.0,0.331578947368,0.184210526316,both
154,154.0,154.0,4771146.0,3.47,1563.0,121SS17,121SS17,SS17,SS17,60.0,FULTON,121.0,white,46878.0,SS17,FULTON,114.0,SS17,215.0,823.0,0.261239368165,0.138517618469,both
155,155.0,155.0,4044457.0,6.92,482.0,063OAK1,063OAK1,OAK1,OAK 1,31.0,CLAYTON,63.0,black,40769.0,OAK 1,CLAYTON,7.0,OAK 1,9.0,23.0,0.391304347826,0.304347826087,both
156,156.0,156.0,4044614.0,1.09,1405.0,121CP02,121CP02,CP02,CP02,60.0,FULTON,121.0,,79794.0,CP02,FULTON,4.0,CP02,17.0,52.0,0.326923076923,0.0769230769231,both
157,157.0,157.0,4044714.0,0.15,1404.0,121CP01B,121CP01B,CP01B,CP01B,60.0,FULTON,121.0,,79794.0,CP01B,FULTON,7.0,CP01B,11.0,45.0,0.244444444444,0.155555555556,both
158,158.0,158.0,4251043.0,1.39,644.0,067VG01,067VG01,VG01,VININGS 01,33.0,COBB,67.0,white,88765.0,VININGS 01,COBB,72.0,VININGS 01,113.0,462.0,0.244588744589,0.155844155844,both
159,159.0,159.0,4251121.0,1.1,1319.0,12109F,12109F,09F,09F,60.0,FULTON,121.0,white,92955.0,09F,FULTON,102.0,09F,200.0,843.0,0.237247924081,0.120996441281,both
160,160.0,160.0,4251171.0,0.38,1312.0,12108N2,12108N2,08N2,08N2,60.0,FULTON,121.0,white,221381.0,08N2,FULTON,23.0,08N2,79.0,311.0,0.254019292605,0.0739549839228,both
161,161.0,161.0,4251207.0,0.49,1311.0,12108N1,12108N1,08N1,08N1,60.0,FULTON,121.0,white,221299.0,08N1,FULTON,21.0,08N1,62.0,312.0,0.198717948718,0.0673076923077,both
162,162.0,162.0,4251244.0,1.45,1303.0,12108F1,12108F1,08F1,08F1,60.0,FULTON,121.0,white,226070.0,08F1,FULTON,55.0,08F1,136.0,797.0,0.170639899624,0.069008782936,both
163,163.0,163.0,4251295.0,3.25,1298.0,12108A,12108A,08A,08A,60.0,FULTON,121.0,white,263565.0,08A,FULTON,82.0,08A,155.0,737.0,0.210312075984,0.111261872456,both
164,164.0,164.0,4251371.0,0.94,1301.0,12108D,12108D,08D,08D,60.0,FULTON,121.0,white,255725.0,08D,FULTON,33.0,08D,82.0,373.0,0.219839142091,0.088471849866,both
165,165.0,165.0,4259115.0,2.4,520.0,067CA01,067CA01,CA01,CHATTAHOOCHEE 01,33.0,COBB,67.0,,67115.0,CHATTAHOOCHEE 01,COBB,88.0,CHATTAHOOCHEE 01,109.0,453.0,0.240618101545,0.194260485651,both
166,166.0,166.0,4259191.0,1.3,641.0,067TM01,067TM01,TM01,TERRELL MILL 01,33.0,COBB,67.0,,62734.0,TERRELL MILL 01,COBB,145.0,TERRELL MILL 01,186.0,695.0,0.267625899281,0.208633093525,both
167,167.0,167.0,4259309.0,2.85,637.0,067SO02,067SO02,SO02,SOPE CREEK 02,33.0,COBB,67.0,white,109556.0,SOPE CREEK 02,COBB,209.0,SOPE CREEK 02,335.0,1201.0,0.278934221482,0.174021648626,both
168,168.0,168.0,4259387.0,4.12,1550.0,121SS09A,121SS09A,SS09A,SS09A,60.0,FULTON,121.0,white,66325.0,SS09A,FULTON,81.0,SS09A,251.0,953.0,0.263378803778,0.0849947534103,both
169,169.0,169.0,4259455.0,2.49,638.0,067SO03,067SO03,SO03,SOPE CREEK 03,33.0,COBB,67.0,white,166386.0,SOPE CREEK 03,COBB,132.0,SOPE CREEK 03,305.0,952.0,0.320378151261,0.138655462185,both
170,170.0,170.0,4259505.0,2.56,1562.0,121SS16,121SS16,SS16,SS16,60.0,FULTON,121.0,,58034.0,SS16,FULTON,79.0,SS16,152.0,795.0,0.191194968553,0.0993710691824,both
171,171.0,171.0,4848415.0,2.19,1387.0,121AP09A,121AP09A,AP09A,AP09A,60.0,FULTON,121.0,white,105645.0,AP09A,FULTON,171.0,AP09A,267.0,955.0,0.279581151832,0.179057591623,both
172,172.0,172.0,4848474.0,1.83,1778.0,135121,135121,121,PINCKNEYVILLE X,67.0,GWINNETT,135.0,white,112622.0,PINCKNEYVILLE X,GWINNETT,141.0,PINCKNEYVILLE X,198.0,746.0,0.265415549598,0.189008042895,both
173,173.0,173.0,4848523.0,4.79,1697.0,13540,13540,40,PINCKNEYVILLE H,67.0,GWINNETT,135.0,,88833.0,PINCKNEYVILLE H,GWINNETT,211.0,PINCKNEYVILLE H,226.0,860.0,0.262790697674,0.245348837209,both
174,174.0,174.0,4848626.0,3.34,1439.0,121JC12,121JC12,JC12,JC12,60.0,FULTON,121.0,white,170409.0,JC12,FULTON,140.0,JC12,276.0,875.0,0.315428571429,0.16,both
175,175.0,175.0,4848690.0,1.89,1756.0,13599,13599,99,PINCKNEYVILLE T,67.0,GWINNETT,135.0,,63661.0,PINCKNEYVILLE T,GWINNETT,84.0,PINCKNEYVILLE T,195.0,423.0,0.460992907801,0.198581560284,both
176,176.0,176.0,4763972.0,0.66,1560.0,121SS15A,121SS15A,SS15A,SS15A,60.0,FULTON,121.0,black,44353.0,SS15A,FULTON,19.0,SS15A,32.0,115.0,0.278260869565,0.165217391304,both
