county,dem_votes,precinct,rep_votes,total
BROOKS,77,S.Brooks/Nankin,352,429
BROOKS,338,Morven,397,735
BRYAN,534,Pembroke,854,1388
BRYAN,308,Danielsiding,942,1250
BRYAN,225,Ellabell,717,942
BRYAN,330,Black Creek,953,1283
BRYAN,337,Ways Station,481,818
BRYAN,490,RH Rec Complex,862,1352
BRYAN,335,J.F. Gregory Park,1506,1841
BRYAN,464,Keller,1512,1976
BRYAN,270,HWY 144 East,1084,1354
BRYAN,414,Public Safety Complex,649,1063
BULLOCH,120,Lockhart,245,365
BULLOCH,434,Emit,1044,1478
BULLOCH,1813,Statesboro,1448,3261
BULLOCH,353,Portal,589,942
BULLOCH,1186,Fair,2208,3394
BULLOCH,1659,Church,1628,3287
BULLOCH,2021,Pittman Park,1265,3286
BULLOCH,96,Leefield,399,495
BULLOCH,270,Blitch,929,1199
BULLOCH,535,Hagin,779,1314
BULLOCH,347,Brooklet,1119,1466
BULLOCH,206,Stilson,778,984
BULLOCH,131,Bay,726,857
BULLOCH,164,Nevils,461,625
BULLOCH,41,Sinkhole,253,294
BULLOCH,217,Register,303,520
BURKE,126,Alexander,122,248
BURKE,455,Four Points,736,1191
BURKE,277,Girard,173,450
BURKE,201,Gough,83,284
BURKE,305,Greenscut,333,638
BURKE,146,Keysville,84,230
BURKE,177,Midville,126,303
BURKE,96,Munnerlyn,77,173
BURKE,303,Sardis,324,627
BURKE,133,Scotts Crossroads,53,186
BURKE,327,Telfair,243,570
BURKE,151,St. Clair,126,277
BURKE,124,Vidette,91,215
BURKE,1466,North Waynesboro,400,1866
BURKE,915,South Waynesboro,1198,2113
BURKE,203,Blakeney,132,335
BUTTS,1467,BUTTS CO COMM CENTER,1108,2575
BUTTS,601,JENKINSBURG,935,1536
BUTTS,165,STARK,1515,1680
BUTTS,557,TOWALIGA,1731,2288
BUTTS,178,WORTHVILLE,1017,1195
CALHOUN,1758,Appling,5233,6991
CALHOUN,930,Atkinson,1938,2868
CALHOUN,791,Bacon,3093,3884
CALHOUN,794,Baker,785,1579
CALHOUN,8483,Baldwin,7589,16072
CALHOUN,780,Banks,5354,6134
CALHOUN,6028,Barrow,18725,24753
CALHOUN,8396,Bartow,26876,35272
CALHOUN,2512,Ben Hill,3396,5908
CALHOUN,1273,Berrien,4843,6116
CALHOUN,38585,Bibb,25623,64208
CALHOUN,1269,Bleckley,3587,4856
CALHOUN,939,Brantley,4964,5903
CALHOUN,3138,Brooks,3554,6692
CALHOUN,3707,Bryan,9560,13267
CALHOUN,9593,Bulloch,14174,23767
CALHOUN,5405,Burke,4301,9706
CALHOUN,2968,Butts,6306,9274
