county,dem_votes,precinct,rep_votes,total
BULLOCH,371,Brooklet,1278,1649
BULLOCH,192,Stilson,827,1019
BULLOCH,98,Bay,734,832
BULLOCH,140,Nevils,509,649
BULLOCH,42,Sinkhole,250,292
BULLOCH,186,Register,300,486
BURKE,120,Alexander,140,260
BURKE,385,Four Points,826,1211
BURKE,247,Girard,191,438
BURKE,180,Gough,97,277
BURKE,240,Greenscut,363,603
BURKE,127,Keysville,92,219
BURKE,152,Midville,117,269
BURKE,72,Munnerlyn,94,166
BURKE,238,Sardis,337,575
BURKE,111,Scotts Crossroads,59,170
BURKE,281,Telfair,279,560
BURKE,138,St. Clair,128,266
BURKE,101,Vidette,95,196
BURKE,1286,North Waynesboro,404,1690
BURKE,843,South Waynesboro,1120,1963
BURKE,209,Blakeney,149,358
BUTTS,1225,BUTTS CO COMM CENTER,1130,2355
BUTTS,537,JENKINSBURG,1039,1576
BUTTS,163,STARK,1657,1820
BUTTS,497,TOWALIGA,1816,2313
BUTTS,144,WORTHVILLE,1075,1219
CALHOUN,274,Leary,212,491
CALHOUN,130,Morgon,303,437
CALHOUN,240,Edison,48,290
CALHOUN,228,Edison-Arlington,159,389
CALHOUN,306,Arlington,107,416
CAMDEN,177,Tarboro,414,591
CAMDEN,273,Waverly,668,941
CAMDEN,453,Woodbine,702,1155
CAMDEN,69,Browntown,334,403
CAMDEN,228,Harrietts Bluff,910,1138
CAMDEN,361,West Kingsland,1088,1449
CAMDEN,648,North Kingsland,625,1273
CAMDEN,376,Kingsland,699,1075
CAMDEN,978,East Kingsland,2072,3050
CAMDEN,343,North St Marys,448,791
CAMDEN,620,Mary Lee Clark,1070,1690
CAMDEN,436,South St Marys,779,1215
CAMDEN,425,Mush Bluff,963,1388
CAMDEN,527,West Saint Marys,1515,2042
CANDLER,620,Metter -1685,1381,2001
CANDLER,403,Candler-1736,1280,1683
CARROLL,51,KANSAS (1006),601,652
CARROLL,365,BOWDON (1111),1243,1608
CARROLL,577,SANDHILL (1122),1631,2208
CARROLL,128,CENTER POINT (1152),926,1054
CARROLL,107,LOWELL (1163),769,876
CARROLL,161,MT ZION (1240),897,1058
CARROLL,149,BURWELL (1371),652,801
CARROLL,419,CLEM (1483),1647,2066
CARROLL,180,BOWDON JUNCTION (1496),504,684
CARROLL,164,TYUS (1533),881,1045
CARROLL,632,FAIRFIELD (1540),1740,2372
CARROLL,191,HULETT (1542),1156,1347
CARROLL,807,BETHANY (501),1322,2129
CARROLL,297,V R COUNTY SOUTH (640),1182,1479
CARROLL,702,V R COUNTY NORTH (641),1897,2599
CARROLL,1400,VILLA RICA CITY (642),1668,3068
CARROLL,372,TEMPLE COUNTY (649),1672,2044
CARROLL,530,TEMPLE CITY (650),1179,1709
CARROLL,150,WHITESBURG (682),1005,1155
CARROLL,146,ROOPVILLE (713),752,898
CARROLL,1043,WEST CARROLLTON (714A1),323,1366
CARROLL,370,EAST CARROLLTON REC (714A2),517,887
CARROLL,739,BONNER (714A3),1138,1877
CARROLL,891,UNIVERSITY OF W. GA (714A4),700,1591
CARROLL,538,COUNTY ADMIN BLDG (714A5),732,1270
CARROLL,320,TABERNACLE CHURCH (714A6),534,854
CARROLL,268,EMC (714BN),508,776
CARROLL,310,OLD CAMP CHURCH (714BW),1067,1377
CARROLL,191,OAK GROVE (715),704,895
CARROLL,224,NEW HOPE (716),436,660
