,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
102,102,5075831,4.06,1717,13560,13560,60,LAWRENCEVILLE D,67,GWINNETT,135,,62617,LAWRENCEVILLE D
103,103,5075925,3.18,1699,13542,13542,42,LAWRENCEVILLE C,67,GWINNETT,135,white,86150,LAWRENCEVILLE C
104,104,5219882,4.27,1666,1359,1359,9,PUCKETTS A,67,GWINNETT,135,white,80975,PUCKETTS A
105,105,5220026,4.39,1792,135135,135135,135,PUCKETTS C,67,GWINNETT,135,white,90506,PUCKETTS C
106,106,5093428,6.33,1660,1353,1353,3,DACULA,67,GWINNETT,135,white,88376,DACULA
107,107,5093509,2.43,1809,135152,135152,152,ROCKYCREEK C,67,GWINNETT,135,white,92688,ROCKYCREEK C
108,108,5093552,2.39,1794,135137,135137,137,ROCKYCREEK B,67,GWINNETT,135,white,80511,ROCKYCREEK B
109,109,5093594,3.01,1811,135154,135154,154,PUCKETTS D,67,GWINNETT,135,white,80791,PUCKETTS D
110,110,5093659,3.03,1665,1358,1358,8,DUNCANS A,67,GWINNETT,135,white,110889,DUNCANS A
111,111,5093729,1.6,1670,13513,13513,13,DUNCANS C,67,GWINNETT,135,white,111087,DUNCANS C
112,112,5093769,4.15,1479,121RW09,121RW09,RW09,RW09,60,FULTON,121,white,176443,RW09
113,113,5066269,3.41,1765,135108,135108,108,BAYCREEK E,67,GWINNETT,135,,80886,BAYCREEK E
114,114,5066342,5.08,1802,135145,135145,145,BAYCREEK G,67,GWINNETT,135,white,76761,BAYCREEK G
115,115,5066508,7.92,1803,135146,135146,146,BAYCREEK H,67,GWINNETT,135,white,82443,BAYCREEK H
116,116,5066591,3.41,1748,13591,13591,91,BAYCREEK D,67,GWINNETT,135,white,94098,BAYCREEK D
117,117,5521053,11.28,1790,135133,135133,133,HARBINS B,67,GWINNETT,135,white,82440,HARBINS B
118,118,5521161,7.04,1685,13528,13528,28,ROCKYCREEK A,67,GWINNETT,135,white,103858,ROCKYCREEK A
119,119,5521221,6.29,1786,135129,135129,129,DUNCANS B,67,GWINNETT,135,white,111273,DUNCANS B
120,120,5646016,7.06,1696,13539,13539,39,DUNCANS D,67,GWINNETT,135,white,111722,DUNCANS D
121,121,4973944,4.4,1761,135104,135104,104,ROCKBRIDGE F,67,GWINNETT,135,black,74483,ROCKBRIDGE F
122,122,4974009,3.91,1733,13576,13576,76,ROCKBRIDGE D,67,GWINNETT,135,black,74483,ROCKBRIDGE D
123,123,4974227,1.42,1709,13552,13552,52,BERKSHIRE G,67,GWINNETT,135,white,86326,BERKSHIRE G
124,124,5511983,13.74,1658,1351,1351,1,HARBINS A,67,GWINNETT,135,white,77447,HARBINS A
125,125,5512082,5.93,1808,135151,135151,151,HARBINS C,67,GWINNETT,135,white,77448,HARBINS C
126,126,4313752,1.3,649,067WL01,067WL01,WL01,WILLEO 01,33,COBB,67,white,136873,WILEO 01
127,127,4785216,0.25,1477,121RW07B,121RW07B,RW07B,RW07B,60,FULTON,121,hispanic,45170,RW07B
128,128,4785253,0.45,1380,121AP03,121AP03,AP03,AP03,60,FULTON,121,,57454,AP03
129,129,4785283,2.73,1474,121RW05,121RW05,RW05,RW05,60,FULTON,121,,58003,RW05
130,130,4785367,1.4,1377,121AP021,121AP021,AP021,AP021,60,FULTON,121,white,110781,AP021
131,131,4785430,1.25,1475,121RW06,121RW06,RW06,RW06,60,FULTON,121,white,93606,RW06
132,132,4785484,2.31,1484,121RW13,121RW13,RW13,RW13,60,FULTON,121,white,103843,RW13
133,133,4785583,1.55,1375,121AP01D,121AP01D,AP01D,AP01D,60,FULTON,121,white,81158,AP01D
134,134,4785645,0.86,1379,121AP02B,121AP02B,AP02B,AP02B,60,FULTON,121,,61654,AP02B
135,135,4785688,1.73,1378,121AP022,121AP022,AP022,AP022,60,FULTON,121,,61655,AP022
136,136,4785752,0.81,1373,121AP01B,121AP01B,AP01B,AP01B,60,FULTON,121,,84909,AP01B
137,137,4036274,1.44,488,063RD01,063RD01,RD01,RIVERDALE 1,31,CLAYTON,63,black,59697,RIVERDALE 1
138,138,4036334,1.45,490,063RD03,063RD03,RD03,RIVERDALE 3,31,CLAYTON,63,black,48284,RIVERDALE 3
139,139,4036418,1.21,485,063OAK4,063OAK4,OAK4,OAK 4,31,CLAYTON,63,black,50172,OAK 4
140,140,4036474,1.01,483,063OAK2,063OAK2,OAK2,OAK 2,31,CLAYTON,63,black,46756,OAK 2
141,141,4036533,0.88,497,063RD10,063RD10,RD10,RIVERDALE 10,31,CLAYTON,63,black,31847,RIVERDALE 10
142,142,4036579,2.26,484,063OAK3,063OAK3,OAK3,OAK 3,31,CLAYTON,63,black,34426,OAK 3
143,143,4036644,0.76,1410,121CP06,121CP06,CP06,CP06,60,FULTON,121,white,57248,CP06
144,144,4036697,0.25,1409,121CP05B,121CP05B,CP05B,CP05B,60,FULTON,121,black,35056,CP05B
145,145,4036726,0.08,1413,121CP07D,121CP07D,CP07D,CP07D,60,FULTON,121,black,35016,CP07D
146,146,4770756,1.28,1478,121RW08,121RW08,RW08,RW08,60,FULTON,121,white,104907,RW08
147,147,4770800,1.38,1488,121RW18,121RW18,RW18,RW18,60,FULTON,121,white,152029,RW18
