county,dem_votes,precinct,rep_votes,total
COBB,1172,Mount Bethel 01,1668,2840
COBB,956,Mount Bethel 03,1181,2137
COBB,805,Mount Bethel 04,1237,2042
COBB,593,North Cobb 01,785,1378
COBB,2088,Nickajack 01,703,2791
COBB,1410,Norton Park 01,1074,2484
COBB,570,Nicholson 01,976,1546
COBB,1378,Oakdale 01,1083,2461
COBB,387,Oregon 01,762,1149
COBB,2300,Oregon 02,858,3158
COBB,1179,Oregon 03,576,1755
COBB,1772,Oregon 04,724,2496
COBB,1277,Oregon 05,1128,2405
COBB,2283,Pebblebrook 01,500,2783
COBB,959,Powers Ferry 01,1098,2057
COBB,685,Pine Mountain 01,1605,2290
COBB,501,Pine Mountain 02,1597,2098
COBB,849,Post Oak 01,1629,2478
COBB,797,Pope 01,1316,2113
COBB,587,Palmer 01,1042,1629
COBB,1633,Powder Springs 1A,925,2558
COBB,1450,Powder Springs 2A,415,1865
COBB,1448,Powder Springs 3A,622,2070
COBB,647,Pitner 01,1087,1734
COBB,852,Rocky Mountain 01,1381,2233
COBB,905,Riverside 01,84,989
COBB,1534,Roswell 01,2292,3826
COBB,1041,Roswell 02,1450,2491
COBB,849,Sandy Plains 01,1048,1897
COBB,916,Shallowford Fall 01,1401,2317
COBB,533,Simpson 01,766,1299
COBB,976,Sewell Mill 01,1270,2246
COBB,1372,Sewell Mill 03,1208,2580
COBB,1589,Smyrna 1A,485,2074
COBB,2199,Smyrna 2A,785,2984
COBB,2241,Smyrna 3A,1373,3614
COBB,2065,Smyrna 4A,1765,3830
COBB,1360,Smyrna 5A,681,2041
COBB,2161,Smyrna 6A,1635,3796
COBB,2622,Smyrna 7A,1358,3980
COBB,583,Sope Creek 01,977,1560
COBB,1355,Sope Creek 02,1486,2841
COBB,721,Sope Creek 03,1225,1946
COBB,1147,Sweetwater 01,897,2044
COBB,1137,Sweetwater 02,382,1519
COBB,1982,Terrell Mill 01,869,2851
COBB,767,Timber Ridge 01,1000,1767
COBB,598,Vaughn 01,1538,2136
COBB,859,Vinings 01,584,1443
COBB,2238,Vinings 02,1221,3459
COBB,1598,Vinings 03,991,2589
COBB,1008,Vinings 04,1270,2278
COBB,1361,Wade Green 02,1410,2771
COBB,750,Wileo 01,1254,2004
DEKALB,1571,ALLGOOD ELEM,172,1743
DEKALB,1081,ASHFORD DUNWOODY RD,897,1978
DEKALB,782,ASHFORD PARK ELEM,809,1591
DEKALB,1400,ASHFORD PARKSIDE,954,2354
DEKALB,784,AUSTIN,1064,1848
DEKALB,1101,AUSTIN DRIVE,60,1161
DEKALB,1483,AVONDALE,550,2033
DEKALB,949,AVONDALE HIGH - 04,164,1113
DEKALB,847,AVONDALE HIGH - 05,93,940
DEKALB,2398,BETHUNE MIDDLE,78,2476
DEKALB,1106,BOULDERCREST RD,53,1159
DEKALB,2575,BOULEVARD,236,2811
DEKALB,1364,BRIAR VISTA ELEM,408,1772
DEKALB,1193,BRIARCLIFF,686,1879
DEKALB,706,BRIARLAKE ELEM,486,1192
DEKALB,870,BRIARWOOD,513,1383
DEKALB,966,BROCKETT,584,1550
DEKALB,1042,BROCKETT ELEM,546,1588
DEKALB,1164,BROOKHAVEN,988,2152
DEKALB,2293,BROWNS MILL ELEM,80,2373
DEKALB,1725,BURGESS ELEM,133,1858
DEKALB,1081,CANBY LANE ELEM,31,1112
DEKALB,1533,CANDLER,72,1605
DEKALB,1695,CANDLER-MURPHEY CANDLER ELEM,133,1828
DEKALB,2431,CEDAR GROVE ELEM,91,2522
DEKALB,813,CEDAR GROVE MIDDLE,23,836
DEKALB,2235,CEDAR GROVE SOUTH,75,2310
DEKALB,631,CHAMBLEE ,361,992
DEKALB,969,CHAMBLEE 2,686,1655
DEKALB,1907,CHAPEL HILL ELEM,49,1956
DEKALB,932,CHESNUT ELEM,415,1347
DEKALB,1963,CLAIREMONT EAST,350,2313
DEKALB,1995,CLAIREMONT WEST,329,2324
DEKALB,1422,CLAIRMONT ROAD,425,1847
DEKALB,2387,CLARKSTON,230,2617
DEKALB,919,CLIFTON ELEM,39,958
DEKALB,1141,COLUMBIA DRIVE,37,1178
DEKALB,744,COLUMBIA ELEM,8,752
DEKALB,948,COLUMBIA MIDDLE,27,975
DEKALB,1565,CORALWOOD,665,2230
DEKALB,846,COVINGTON,83,929
DEKALB,349,COVINGTON HWY LIBRARY,19,368
DEKALB,782,CROSS KEYS HIGH,483,1265
DEKALB,1569,CROSSROADS,78,1647
DEKALB,1077,DORAVILLE NORTH,380,1457
DEKALB,488,DORAVILLE SOUTH,203,691
DEKALB,1903,DRESDEN ELEM,726,2629
DEKALB,1554,DRUID HILLS HIGH,279,1833
DEKALB,986,DUNAIRE ELEM,133,1119
DEKALB,1069,DUNWOODY,722,1791
DEKALB,662,DUNWOODY HIGH,766,1428
DEKALB,779,DUNWOODY LIBRARY,1039,1818
DEKALB,2095,EAST LAKE ELEM,186,2281
DEKALB,787,EMBRY HILLS,508,1295
DEKALB,663,EMORY ROAD,124,787
DEKALB,1728,EMORY SOUTH,470,2198
DEKALB,2603,EPWORTH,281,2884
DEKALB,1222,EVANSDALE ELEM,510,1732
DEKALB,2250,FAIRINGTON ELEM,62,2312
DEKALB,1300,FERNBANK ELEM,320,1620
DEKALB,1130,FLAKES MILL FIRE STATION,29,1159
DEKALB,1705,FLAT ROCK ELEM,58,1763
DEKALB,1095,FLAT SHOALS,26,1121
DEKALB,1127,FLAT SHOALS ELEM,24,1151
DEKALB,1187,FLAT SHOALS LIBRARY,26,1213
DEKALB,2080,FLAT SHOALS PARKWAY,71,2151
DEKALB,1520,FREEDOM MIDDLE,161,1681
DEKALB,1303,GEORGETOWN SQUARE,851,2154
DEKALB,804,GLENHAVEN,71,875
DEKALB,559,GLENNWOOD - 04,77,636
DEKALB,718,GLENNWOOD - 05,104,822
DEKALB,965,GLENWOOD ROAD,56,1021
DEKALB,1756,GRESHAM ROAD,99,1855
DEKALB,1645,HAMBRICK ELEM,197,1842
DEKALB,940,HARRIS-MARGARET HARRIS ED,236,1176
DEKALB,2200,HARRIS-NARVIE J. HARRIS ELEM,40,2240
DEKALB,1677,HAWTHORNE ELEM,590,2267
DEKALB,1299,HENDERSON MILL ELEM,665,1964
DEKALB,722,HUGH HOWELL,561,1283
DEKALB,1310,HUNTLEY HILLS ELEM,503,1813
DEKALB,965,IDLEWOOD ELEM,258,1223
DEKALB,842,INDIAN CREEK ELEM,133,975
DEKALB,689,JOHNSON ESTATES,191,880
DEKALB,1398,JOLLY ELEM,246,1644
DEKALB,802,KELLEY CHAPEL ROAD,37,839
DEKALB,1492,KELLEY LAKE ELEM,44,1536
DEKALB,2801,KING-ML KING JR HIGH,64,2865
DEKALB,724,KINGSLEY ELEM,1042,1766
DEKALB,1185,KNOLLWOOD ELEM,46,1231
DEKALB,782,KITTREDGE ELEM,678,1460
DEKALB,1391,LAKESIDE HIGH,812,2203
DEKALB,1329,LAVISTA,474,1803
DEKALB,1016,LAVISTA ROAD,395,1411
DEKALB,1748,LIN-MARY LIN ELEM,297,2045
DEKALB,618,LITHONIA,51,669
DEKALB,1600,LITHONIA HIGH,33,1633
DEKALB,589,LIVSEY ELEM,454,1043
DEKALB,2298,MARBUT ELEM,51,2349
DEKALB,1686,MATHIS-BOB MATHIS ELEM,83,1769
DEKALB,1124,MCLENDON,217,1341
DEKALB,1124,MCNAIR ACADEMY,32,1156
DEKALB,2026,MCNAIR HIGH,130,2156
DEKALB,1221,MCNAIR MIDDLE,40,1261
DEKALB,1376,MCWILLIAMS,39,1415
DEKALB,1747,MEADOWVIEW ELEM,66,1813
DEKALB,1198,MEDLOCK ELEM,331,1529
DEKALB,1181,MEMORIAL SOUTH,74,1255
DEKALB,1727,METROPOLITAN,114,1841
DEKALB,724,MIDVALE ELEM,704,1428
DEKALB,1289,MIDVALE ROAD,591,1880
DEKALB,1289,MIDWAY ELEM,98,1387
DEKALB,1730,MILLER-ELDRIDGE L. MILLER ELEM,87,1817
DEKALB,1447,MILLER GROVE HIGH,40,1487
DEKALB,2004,MILLER GROVE MIDDLE,36,2040
DEKALB,1330,MILLER GROVE ROAD,47,1377
DEKALB,965,MONTCLAIR ELEM,142,1107
DEKALB,850,MONTGOMERY ELEM,736,1586
DEKALB,759,MONTREAL,289,1048
DEKALB,765,MT. VERNON EAST,1048,1813
DEKALB,761,MT. VERNON WEST,792,1553
DEKALB,860,NORTH DECATUR,157,1017
DEKALB,1072,NORTH HAIRSTON,121,1193
DEKALB,695,NORTH PEACHTREE,333,1028
DEKALB,683,NORTHLAKE,318,1001
DEKALB,1001,OAK GROVE ELEM,536,1537
DEKALB,2569,OAK VIEW ELEM,43,2612
DEKALB,701,OAKCLIFF ELEM,238,939
DEKALB,1856,OAKHURST,192,2048
DEKALB,829,PANOLA,51,880
DEKALB,1160,PANOLA ROAD,24,1184
DEKALB,970,PANOLA WAY ELEM,28,998
DEKALB,986,PEACHCREST ELEM,79,1065
DEKALB,1417,PEACHTREE MIDDLE,589,2006
DEKALB,352,PINE LAKE,47,399
DEKALB,911,PINEY GROVE,40,951
DEKALB,1661,PLEASANTDALE ELEM,329,1990
DEKALB,1507,PONCE DE LEON,178,1685
DEKALB,1296,PRINCETON ELEM,54,1350
DEKALB,2162,RAINBOW ELEM,76,2238
DEKALB,1707,REDAN ELEM,57,1764
DEKALB,1376,REDAN MIDDLE,70,1446
DEKALB,1427,REDAN ROAD,63,1490
