,PRECINCT_N,ajc_precinct,BEN CARSON,BERNIE SANDERS,CARLY FIORINA,CHRIS CHRISTIE,GEORGE PATAKI,HILLARY CLINTON,JEB BUSH,JOHN R. KASICH,LINDSEY GRAHAM,MARCO RUBIO,MARTIN O'MALLEY,MICHAEL STEINBERG,MIKE HUCKABEE,RAND PAUL,RICK SANTORUM,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
89,LOVEJOY 5,LOVEJOY 5,,,,,,,,,,,,,,,,,,,,,,left_only
90,PANHANDLE 2,PANHANDLE 2,,,,,,,,,,,,,,,,,,,,,,left_only
91,JONESBORO 4,JONESBORO 4,,,,,,,,,,,,,,,,,,,,,,left_only
92,LOVEJOY 3,LOVEJOY 3,,,,,,,,,,,,,,,,,,,,,,left_only
93,LOVEJOY 1,LOVEJOY 1,,,,,,,,,,,,,,,,,,,,,,left_only
94,LOVEJOY 2,LOVEJOY 2,,,,,,,,,,,,,,,,,,,,,,left_only
95,JONESBORO 5,JONESBORO 5,,,,,,,,,,,,,,,,,,,,,,left_only
96,JONESBORO 14,JONESBORO 14,,,,,,,,,,,,,,,,,,,,,,left_only
112,RW09,RW09,,,,,,,,,,,,,,,,,,,,,,left_only
126,WILLEO 01,WILEO 01,,,,,,,,,,,,,,,,,,,,,,left_only
127,RW07B,RW07B,,,,,,,,,,,,,,,,,,,,,,left_only
128,AP03,AP03,,,,,,,,,,,,,,,,,,,,,,left_only
129,RW05,RW05,,,,,,,,,,,,,,,,,,,,,,left_only
130,AP021,AP021,,,,,,,,,,,,,,,,,,,,,,left_only
131,RW06,RW06,,,,,,,,,,,,,,,,,,,,,,left_only
132,RW13,RW13,,,,,,,,,,,,,,,,,,,,,,left_only
133,AP01D,AP01D,,,,,,,,,,,,,,,,,,,,,,left_only
134,AP02B,AP02B,,,,,,,,,,,,,,,,,,,,,,left_only
135,AP022,AP022,,,,,,,,,,,,,,,,,,,,,,left_only
136,AP01B,AP01B,,,,,,,,,,,,,,,,,,,,,,left_only
137,RIVERDALE 1,RIVERDALE 1,,,,,,,,,,,,,,,,,,,,,,left_only
138,RIVERDALE 3,RIVERDALE 3,,,,,,,,,,,,,,,,,,,,,,left_only
139,OAK 4,OAK 4,,,,,,,,,,,,,,,,,,,,,,left_only
140,OAK 2,OAK 2,,,,,,,,,,,,,,,,,,,,,,left_only
141,RIVERDALE 10,RIVERDALE 10,,,,,,,,,,,,,,,,,,,,,,left_only
142,OAK 3,OAK 3,,,,,,,,,,,,,,,,,,,,,,left_only
143,CP06,CP06,,,,,,,,,,,,,,,,,,,,,,left_only
144,CP05B,CP05B,,,,,,,,,,,,,,,,,,,,,,left_only
145,CP07D,CP07D,,,,,,,,,,,,,,,,,,,,,,left_only
146,RW08,RW08,,,,,,,,,,,,,,,,,,,,,,left_only
147,RW18,RW18,,,,,,,,,,,,,,,,,,,,,,left_only
148,RW16,RW16,,,,,,,,,,,,,,,,,,,,,,left_only
149,RW12,RW12,,,,,,,,,,,,,,,,,,,,,,left_only
153,SS15B,SS15B,,,,,,,,,,,,,,,,,,,,,,left_only
154,SS17,SS17,,,,,,,,,,,,,,,,,,,,,,left_only
155,OAK 1,OAK 1,,,,,,,,,,,,,,,,,,,,,,left_only
156,CP02,CP02,,,,,,,,,,,,,,,,,,,,,,left_only
157,CP01B,CP01B,,,,,,,,,,,,,,,,,,,,,,left_only
158,VININGS 01,VININGS 01,,,,,,,,,,,,,,,,,,,,,,left_only
159,09F,09F,,,,,,,,,,,,,,,,,,,,,,left_only
160,08N2,08N2,,,,,,,,,,,,,,,,,,,,,,left_only
161,08N1,08N1,,,,,,,,,,,,,,,,,,,,,,left_only
