,PRECINCT_N,ajc_precinct,BEN CARSON,BERNIE SANDERS,CARLY FIORINA,CHRIS CHRISTIE,GEORGE PATAKI,HILLARY CLINTON,JEB BUSH,JOHN R. KASICH,LINDSEY GRAHAM,MARCO RUBIO,MARTIN O'MALLEY,MICHAEL STEINBERG,MIKE HUCKABEE,RAND PAUL,RICK SANTORUM,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
403,LINDLEY 01,LINDLEY 01,,,,,,,,,,,,,,,,,,,,,,left_only
404,CP04,CP04,,,,,,,,,,,,,,,,,,,,,,left_only
405,CP012,CP012,,,,,,,,,,,,,,,,,,,,,,left_only
406,EP03,EP03,,,,,,,,,,,,,,,,,,,,,,left_only
407,CP011,CP011,,,,,,,,,,,,,,,,,,,,,,left_only
408,EP01,EP01,,,,,,,,,,,,,,,,,,,,,,left_only
409,SC19B,SC19B,,,,,,,,,,,,,,,,,,,,,,left_only
410,EP04,EP04,,,,,,,,,,,,,,,,,,,,,,left_only
411,CP051,CP051,,,,,,,,,,,,,,,,,,,,,,left_only
412,CP07A,CP07A,,,,,,,,,,,,,,,,,,,,,,left_only
413,11P,11P,,,,,,,,,,,,,,,,,,,,,,left_only
414,SC10,SC10,,,,,,,,,,,,,,,,,,,,,,left_only
415,CP081,CP081,,,,,,,,,,,,,,,,,,,,,,left_only
416,UC01E,UC01E,,,,,,,,,,,,,,,,,,,,,,left_only
417,SC17A,SC17A,,,,,,,,,,,,,,,,,,,,,,left_only
418,SC17C,SC17C,,,,,,,,,,,,,,,,,,,,,,left_only
419,SC19A,SC19A,,,,,,,,,,,,,,,,,,,,,,left_only
420,SC18A,SC18A,,,,,,,,,,,,,,,,,,,,,,left_only
421,11E3,11E3,,,,,,,,,,,,,,,,,,,,,,left_only
422,11E1,11E1,,,,,,,,,,,,,,,,,,,,,,left_only
423,11E2,11E2,,,,,,,,,,,,,,,,,,,,,,left_only
424,UC02A,UC02A,,,,,,,,,,,,,,,,,,,,,,left_only
425,SC08F,SC08F,,,,,,,,,,,,,,,,,,,,,,left_only
426,SC01B,SC01B,,,,,,,,,,,,,,,,,,,,,,left_only
427,SC02,SC02,,,,,,,,,,,,,,,,,,,,,,left_only
428,SC16,SC16,,,,,,,,,,,,,,,,,,,,,,left_only
429,BRYANT 01,BRYANT 01,,,,,,,,,,,,,,,,,,,,,,left_only
430,11C,11C,,,,,,,,,,,,,,,,,,,,,,left_only
431,SC30A,SC30A,,,,,,,,,,,,,,,,,,,,,,left_only
432,10A,10A,,,,,,,,,,,,,,,,,,,,,,left_only
433,10C,10C,,,,,,,,,,,,,,,,,,,,,,left_only
434,11N,11N,,,,,,,,,,,,,,,,,,,,,,left_only
435,11M,11M,,,,,,,,,,,,,,,,,,,,,,left_only
436,SC30B,SC30B,,,,,,,,,,,,,,,,,,,,,,left_only
437,10L,10L,,,,,,,,,,,,,,,,,,,,,,left_only
438,10R,10R,,,,,,,,,,,,,,,,,,,,,,left_only
439,10B,10B,,,,,,,,,,,,,,,,,,,,,,left_only
440,10I,10I,,,,,,,,,,,,,,,,,,,,,,left_only
441,10H,10H,,,,,,,,,,,,,,,,,,,,,,left_only
442,EP02,EP02,,,,,,,,,,,,,,,,,,,,,,left_only
443,11B,11B,,,,,,,,,,,,,,,,,,,,,,left_only
444,10D,10D,,,,,,,,,,,,,,,,,,,,,,left_only
445,10E,10E,,,,,,,,,,,,,,,,,,,,,,left_only
446,10P,10P,,,,,,,,,,,,,,,,,,,,,,left_only
447,09C,09C,,,,,,,,,,,,,,,,,,,,,,left_only
448,09B,09B,,,,,,,,,,,,,,,,,,,,,,left_only
449,09L,09L,,,,,,,,,,,,,,,,,,,,,,left_only
450,11R,11R,,,,,,,,,,,,,,,,,,,,,,left_only
451,11K,11K,,,,,,,,,,,,,,,,,,,,,,left_only
452,11G,11G,,,,,,,,,,,,,,,,,,,,,,left_only
453,12I,12I,,,,,,,,,,,,,,,,,,,,,,left_only
454,12C,12C,,,,,,,,,,,,,,,,,,,,,,left_only
455,04S,04S,,,,,,,,,,,,,,,,,,,,,,left_only
456,04X1,04X1,,,,,,,,,,,,,,,,,,,,,,left_only
457,04M,04M,,,,,,,,,,,,,,,,,,,,,,left_only
458,04T,04T,,,,,,,,,,,,,,,,,,,,,,left_only
459,10M,10M,,,,,,,,,,,,,,,,,,,,,,left_only
460,04X2,04X2,,,,,,,,,,,,,,,,,,,,,,left_only
461,04L,04L,,,,,,,,,,,,,,,,,,,,,,left_only
462,04D,04D,,,,,,,,,,,,,,,,,,,,,,left_only
463,04G,04G,,,,,,,,,,,,,,,,,,,,,,left_only
464,04A,04A,,,,,,,,,,,,,,,,,,,,,,left_only
465,04K,04K,,,,,,,,,,,,,,,,,,,,,,left_only
466,04W,04W,,,,,,,,,,,,,,,,,,,,,,left_only
467,10F,10F,,,,,,,,,,,,,,,,,,,,,,left_only
468,03S,03S,,,,,,,,,,,,,,,,,,,,,,left_only
469,09D,09D,,,,,,,,,,,,,,,,,,,,,,left_only
470,03C,03C,,,,,,,,,,,,,,,,,,,,,,left_only
471,03H,03H,,,,,,,,,,,,,,,,,,,,,,left_only
472,OREGON 03,OREGON 03,,,,,,,,,,,,,,,,,,,,,,left_only
473,MARIETTA 2A,MARIETTA 2A,,,,,,,,,,,,,,,,,,,,,,left_only
474,NORTON PARK 01,NORTON PARK 01,,,,,,,,,,,,,,,,,,,,,,left_only
475,FAIR OAKS 01,FAIR OAKS 01,,,,,,,,,,,,,,,,,,,,,,left_only
476,LASSITER 01,LASSSITER 01,,,,,,,,,,,,,,,,,,,,,,left_only
477,KELL 01,KELL 01,,,,,,,,,,,,,,,,,,,,,,left_only
478,ROCKY MOUNT 01,ROCKY MOUNTAIN 01,,,,,,,,,,,,,,,,,,,,,,left_only
479,EASTSIDE 02,EASTSIDE 02,,,,,,,,,,,,,,,,,,,,,,left_only
480,SOPE CREEK 01,SOPE CREEK 01,,,,,,,,,,,,,,,,,,,,,,left_only
481,FAIR OAKS 02,FAIR OAKS 02,,,,,,,,,,,,,,,,,,,,,,left_only
482,FAIR OAKS 04,FAIR OAKS 04,,,,,,,,,,,,,,,,,,,,,,left_only
483,MARIETTA 2B,MARIETTA 2B,,,,,,,,,,,,,,,,,,,,,,left_only
484,BELLS FERRY 02,BELLS FERRY 02,,,,,,,,,,,,,,,,,,,,,,left_only
485,BLACKWELL 01,BLACKWELL 01,,,,,,,,,,,,,,,,,,,,,,left_only
486,GRITTERS 01,GRITTERS 01,,,,,,,,,,,,,,,,,,,,,,left_only
487,MCCLESKEY 01,MCCLESKEY 01,,,,,,,,,,,,,,,,,,,,,,left_only
488,NICHOLSON 01,NICHOLSON 01,,,,,,,,,,,,,,,,,,,,,,left_only
489,ADDISON 01,ADDISON 01,,,,,,,,,,,,,,,,,,,,,,left_only
490,SIMPSON 01,SIMPSON 01,,,,,,,,,,,,,,,,,,,,,,left_only
491,MARIETTA 6A,MARIETTA 6A,,,,,,,,,,,,,,,,,,,,,,left_only
492,MARIETTA 5B,MARIETTA 5B,,,,,,,,,,,,,,,,,,,,,,left_only
493,HAYES 01,HAYES 01,,,,,,,,,,,,,,,,,,,,,,left_only
494,PINE MOUNTAIN 02,PINE MOUNTAIN 02,,,,,,,,,,,,,,,,,,,,,,left_only
495,CHEATHAM HILL 02,CHEATHAM HILL 02,,,,,,,,,,,,,,,,,,,,,,left_only
496,POWERS FERRY 01,POWERS FERRY 01,,,,,,,,,,,,,,,,,,,,,,left_only
497,08E,08E,,,,,,,,,,,,,,,,,,,,,,left_only
498,VININGS 04,VININGS 04,,,,,,,,,,,,,,,,,,,,,,left_only
499,MARIETTA 7A,MARIETTA 7A,,,,,,,,,,,,,,,,,,,,,,left_only
500,FAIR OAKS 05,FAIR OAKS 05,,,,,,,,,,,,,,,,,,,,,,left_only
501,MARIETTA 1A,MARIETTA 1A,,,,,,,,,,,,,,,,,,,,,,left_only
502,DOBBINS 01,DOBBINS 01,,,,,,,,,,,,,,,,,,,,,,left_only
503,SMYRNA 5A,SMYRNA 5A,,,,,,,,,,,,,,,,,,,,,,left_only
504,SMYRNA 3A,SMYRNA 3A,,,,,,,,,,,,,,,,,,,,,,left_only
505,MARIETTA 4C,MARIETTA 4C,,,,,,,,,,,,,,,,,,,,,,left_only
506,KENNESAW 3A,KENNESAW 3A,,,,,,,,,,,,,,,,,,,,,,left_only
507,MARIETTA 4A,MARIETTA 4A,,,,,,,,,,,,,,,,,,,,,,left_only
508,MARIETTA 5A,MARIETTA 5A,,,,,,,,,,,,,,,,,,,,,,left_only
509,SMYRNA 7A,SMYRNA 7A,,,,,,,,,,,,,,,,,,,,,,left_only
510,SMYRNA 4A,SMYRNA 4A,,,,,,,,,,,,,,,,,,,,,,left_only
511,EAST PIEDMONT 01,EAST PIEDMONT 01,,,,,,,,,,,,,,,,,,,,,,left_only
512,KENNESAW 1A,KENNESAW 1A,,,,,,,,,,,,,,,,,,,,,,left_only
513,BIG SHANTY 01,BIG SHANTY 01,,,,,,,,,,,,,,,,,,,,,,left_only
514,MARIETTA 4B,MARIETTA 4B,,,,,,,,,,,,,,,,,,,,,,left_only
515,ELIZABETH 01,ELIZABETH 01,,,,,,,,,,,,,,,,,,,,,,left_only
516,PINE MOUNTAIN 01,PINE MOUNTAIN 01,,,,,,,,,,,,,,,,,,,,,,left_only
517,KENNESAW 2A,KENNESAW 2A,,,,,,,,,,,,,,,,,,,,,,left_only
518,MARS HILL 02,MARS HILL 02,,,,,,,,,,,,,,,,,,,,,,left_only
519,ACWORTH 1C,ACWORTH 1C,,,,,,,,,,,,,,,,,,,,,,left_only
520,KENNESAW 4A,KENNESAW 4A,,,,,,,,,,,,,,,,,,,,,,left_only
521,KENNESAW 5A,KENNESAW 5A,,,,,,,,,,,,,,,,,,,,,,left_only
522,BAKER 01,BAKER 01,,,,,,,,,,,,,,,,,,,,,,left_only
523,OAKDALE 01,OAKDALE 01,,,,,,,,,,,,,,,,,,,,,,left_only
524,NICKAJACK 01,NICKAJACK 01,,,,,,,,,,,,,,,,,,,,,,left_only
525,SMYRNA 6A,SMYRNA 6A,,,,,,,,,,,,,,,,,,,,,,left_only
526,VININGS 03,VININGS 03,,,,,,,,,,,,,,,,,,,,,,left_only
527,VININGS 02,VININGS 02,,,,,,,,,,,,,,,,,,,,,,left_only
528,SMYRNA 2A,SMYRNA 2A,,,,,,,,,,,,,,,,,,,,,,left_only
529,SMYRNA 1A,SMYRNA 1A,,,,,,,,,,,,,,,,,,,,,,left_only
530,MARIETTA 6B,MARIETTA 6B,,,,,,,,,,,,,,,,,,,,,,left_only
531,ELIZABETH 02,ELIZABETH 02,,,,,,,,,,,,,,,,,,,,,,left_only
532,ELIZABETH 04,ELIZABETH 04,,,,,,,,,,,,,,,,,,,,,,left_only
533,SEWELL MILL 03,SEWELL MILL 03,,,,,,,,,,,,,,,,,,,,,,left_only
534,ELIZABETH 03,ELIZABETH 03,,,,,,,,,,,,,,,,,,,,,,left_only
535,ELIZABETH 05,ELIZABETH 05,,,,,,,,,,,,,,,,,,,,,,left_only
538,COLUMBIA ELEM,COLUMBIA ELEM,,,,,,,,,,,,,,,,,,,,,,left_only
557,JC01,JC01,,,,,,,,,,,,,,,,,,,,,,left_only
560,MEMORIAL NORTH,MEMORIAL NORTH,,,,,,,,,,,,,,,,,,,,,,left_only
564,MIDDLE GROVE MIDDLE,MIDDLE GROVE MIDDLE,,,,,,,,,,,,,,,,,,,,,,left_only
594,SS12,SS12,,,,,,,,,,,,,,,,,,,,,,left_only
595,SS07C,SS07C,,,,,,,,,,,,,,,,,,,,,,left_only
596,SS07B,SS07B,,,,,,,,,,,,,,,,,,,,,,left_only
597,SS07A,SS07A,,,,,,,,,,,,,,,,,,,,,,left_only
598,SS08B,SS08B,,,,,,,,,,,,,,,,,,,,,,left_only
599,SS02B,SS02B,,,,,,,,,,,,,,,,,,,,,,left_only
600,SS08C,SS08C,,,,,,,,,,,,,,,,,,,,,,left_only
601,SS04,SS04,,,,,,,,,,,,,,,,,,,,,,left_only
602,SS08A,SS08A,,,,,,,,,,,,,,,,,,,,,,left_only
603,SS08D,SS08D,,,,,,,,,,,,,,,,,,,,,,left_only
604,SS29A,SS29A,,,,,,,,,,,,,,,,,,,,,,left_only
606,06J,06J,,,,,,,,,,,,,,,,,,,,,,left_only
607,06E,06E,,,,,,,,,,,,,,,,,,,,,,left_only
608,06Q,06Q,,,,,,,,,,,,,,,,,,,,,,left_only
609,06S,06S,,,,,,,,,,,,,,,,,,,,,,left_only
610,06H,06H,,,,,,,,,,,,,,,,,,,,,,left_only
611,06D,06D,,,,,,,,,,,,,,,,,,,,,,left_only
621,08L,08L,,,,,,,,,,,,,,,,,,,,,,left_only
622,02W,02W,,,,,,,,,,,,,,,,,,,,,,left_only
623,03F,03F,,,,,,,,,,,,,,,,,,,,,,left_only
624,02A,02A,,,,,,,,,,,,,,,,,,,,,,left_only
625,06R,06R,,,,,,,,,,,,,,,,,,,,,,left_only
626,06N,06N,,,,,,,,,,,,,,,,,,,,,,left_only
627,06L2,06L2,,,,,,,,,,,,,,,,,,,,,,left_only
628,02S,02S,,,,,,,,,,,,,,,,,,,,,,left_only
629,05J,05J,,,,,,,,,,,,,,,,,,,,,,left_only
630,01I,01I,,,,,,,,,,,,,,,,,,,,,,left_only
631,02B,02B,,,,,,,,,,,,,,,,,,,,,,left_only
632,05C,05C,,,,,,,,,,,,,,,,,,,,,,left_only
633,05K,05K,,,,,,,,,,,,,,,,,,,,,,left_only
634,05D,05D,,,,,,,,,,,,,,,,,,,,,,left_only
635,05F,05F,,,,,,,,,,,,,,,,,,,,,,left_only
636,02L2,02L2,,,,,,,,,,,,,,,,,,,,,,left_only
637,02C,02C,,,,,,,,,,,,,,,,,,,,,,left_only
638,02L1,02L1,,,,,,,,,,,,,,,,,,,,,,left_only
639,02K,02K,,,,,,,,,,,,,,,,,,,,,,left_only
640,08P,08P,,,,,,,,,,,,,,,,,,,,,,left_only
641,08K,08K,,,,,,,,,,,,,,,,,,,,,,left_only
648,MARBUT ELEM,MARBUT ELEM,,,,,,,,,,,,,,,,,,,,,,left_only
690,08H,08H,,,,,,,,,,,,,,,,,,,,,,left_only
694,JC11,JC11,,,,,,,,,,,,,,,,,,,,,,left_only
695,JC09,JC09,,,,,,,,,,,,,,,,,,,,,,left_only
696,JC07,JC07,,,,,,,,,,,,,,,,,,,,,,left_only
697,AP12D,AP12D,,,,,,,,,,,,,,,,,,,,,,left_only
746,12M,12M,,,,,,,,,,,,,,,,,,,,,,left_only
747,12J,12J,,,,,,,,,,,,,,,,,,,,,,left_only
748,12H,12H,,,,,,,,,,,,,,,,,,,,,,left_only
749,FOREST PARK 2,FOREST PARK 2,,,,,,,,,,,,,,,,,,,,,,left_only
750,12T,12T,,,,,,,,,,,,,,,,,,,,,,left_only
751,MORROW 2,MORROW 2,,,,,,,,,,,,,,,,,,,,,,left_only
752,MORROW 7,MORROW 7,,,,,,,,,,,,,,,,,,,,,,left_only
761,LAKE CITY,LAKE CITY,,,,,,,,,,,,,,,,,,,,,,left_only
762,MORROW 4,MORROW 4,,,,,,,,,,,,,,,,,,,,,,left_only
763,MORROW 9,MORROW 9,,,,,,,,,,,,,,,,,,,,,,left_only
764,MORROW 6,MORROW 6,,,,,,,,,,,,,,,,,,,,,,left_only
765,MORROW 3,MORROW 3,,,,,,,,,,,,,,,,,,,,,,left_only
775,MORROW 1,MORROW 1,,,,,,,,,,,,,,,,,,,,,,left_only
777,ELLENWOOD,ELLENWOOD,,,,,,,,,,,,,,,,,,,,,,left_only
780,12F,12F,,,,,,,,,,,,,,,,,,,,,,left_only
781,04V,04V,,,,,,,,,,,,,,,,,,,,,,left_only
782,04I,04I,,,,,,,,,,,,,,,,,,,,,,left_only
783,01F,01F,,,,,,,,,,,,,,,,,,,,,,left_only
784,01G,01G,,,,,,,,,,,,,,,,,,,,,,left_only
785,01D,01D,,,,,,,,,,,,,,,,,,,,,,left_only
786,01H,01H,,,,,,,,,,,,,,,,,,,,,,left_only
787,05B,05B,,,,,,,,,,,,,,,,,,,,,,left_only
788,01S,01S,,,,,,,,,,,,,,,,,,,,,,left_only
789,01T,01T,,,,,,,,,,,,,,,,,,,,,,left_only
790,01P,01P,,,,,,,,,,,,,,,,,,,,,,left_only
791,01R,01R,,,,,,,,,,,,,,,,,,,,,,left_only
792,01E,01E,,,,,,,,,,,,,,,,,,,,,,left_only
793,01A,01A,,,,,,,,,,,,,,,,,,,,,,left_only
794,05A1,05A1,,,,,,,,,,,,,,,,,,,,,,left_only
795,01B,01B,,,,,,,,,,,,,,,,,,,,,,left_only
798,COAN MIDDLE (ATL),COAN MIDDLE,,,,,,,,,,,,,,,,,,,,,,left_only
808,02G,02G,,,,,,,,,,,,,,,,,,,,,,left_only
809,02D,02D,,,,,,,,,,,,,,,,,,,,,,left_only
810,02F2,02F2,,,,,,,,,,,,,,,,,,,,,,left_only
811,02J,02J,,,,,,,,,,,,,,,,,,,,,,left_only
812,06G,06G,,,,,,,,,,,,,,,,,,,,,,left_only
813,06B,06B,,,,,,,,,,,,,,,,,,,,,,left_only
814,02E,02E,,,,,,,,,,,,,,,,,,,,,,left_only
815,02F1,02F1,,,,,,,,,,,,,,,,,,,,,,left_only
816,06F,06F,,,,,,,,,,,,,,,,,,,,,,left_only
817,06L1,06L1,,,,,,,,,,,,,,,,,,,,,,left_only
818,RW17,RW17,,,,,,,,,,,,,,,,,,,,,,left_only
819,RW04,RW04,,,,,,,,,,,,,,,,,,,,,,left_only
821,SS01,SS01,,,,,,,,,,,,,,,,,,,,,,left_only
822,RW20,RW20,,,,,,,,,,,,,,,,,,,,,,left_only
823,RW21A,RW21,,,,,,,,,,,,,,,,,,,,,,left_only
824,RW21B,RW21,,,,,,,,,,,,,,,,,,,,,,left_only
825,RW22A,RW22A,,,,,,,,,,,,,,,,,,,,,,left_only
826,RW07A,RW07A,,,,,,,,,,,,,,,,,,,,,,left_only
833,SS25,SS25,,,,,,,,,,,,,,,,,,,,,,left_only
836,JC19,JC19,,,,,,,,,,,,,,,,,,,,,,left_only
837,JC13A,JC13A,,,,,,,,,,,,,,,,,,,,,,left_only
841,JC13B,JC13B,,,,,,,,,,,,,,,,,,,,,,left_only
854,JC18A,JC18A,,,,,,,,,,,,,,,,,,,,,,left_only
855,JC18B,JC18B,,,,,,,,,,,,,,,,,,,,,,left_only
856,JC17,JC17,,,,,,,,,,,,,,,,,,,,,,left_only
857,AP01C,AP01C,,,,,,,,,,,,,,,,,,,,,,left_only
858,JC16,JC16,,,,,,,,,,,,,,,,,,,,,,left_only
859,AP01A,AP01A,,,,,,,,,,,,,,,,,,,,,,left_only
860,AP13,AP13,,,,,,,,,,,,,,,,,,,,,,left_only
861,AP12A,AP12A,,,,,,,,,,,,,,,,,,,,,,left_only
862,JC14,JC14,,,,,,,,,,,,,,,,,,,,,,left_only
863,AP14,AP14,,,,,,,,,,,,,,,,,,,,,,left_only
864,JC15,JC15,,,,,,,,,,,,,,,,,,,,,,left_only
865,JC10,JC10,,,,,,,,,,,,,,,,,,,,,,left_only
873,07F,07F,,,,,,,,,,,,,,,,,,,,,,left_only
874,07D,07D,,,,,,,,,,,,,,,,,,,,,,left_only
875,07N,07N,,,,,,,,,,,,,,,,,,,,,,left_only
876,07M,07M,,,,,,,,,,,,,,,,,,,,,,left_only
877,07E,07E,,,,,,,,,,,,,,,,,,,,,,left_only
878,07A,07A,,,,,,,,,,,,,,,,,,,,,,left_only
879,07C,07C,,,,,,,,,,,,,,,,,,,,,,left_only
880,07B,07B,,,,,,,,,,,,,,,,,,,,,,left_only
897,CATES D,CATES D,,,,,,,,,,,,,,,,,,,,,,left_only
916,,,3.0,,0.0,0.0,0.0,,2.0,12.0,0.0,38.0,,,0.0,1.0,0.0,9.0,GLENNWOOD - 05,18.0,83.0,0.21686746988,0.10843373494,right_only
917,,,1.0,,0.0,0.0,0.0,,3.0,2.0,0.0,5.0,,,0.0,0.0,0.0,4.0,MILLER GROVE HIGH,6.0,21.0,0.285714285714,0.190476190476,right_only
918,,,6.0,,0.0,0.0,0.0,,1.0,1.0,0.0,3.0,,,1.0,0.0,0.0,5.0,WADSWORTH ELEM - 04,9.0,26.0,0.346153846154,0.192307692308,right_only
919,,,6.0,,1.0,0.0,0.0,,1.0,8.0,1.0,73.0,,,0.0,0.0,0.0,15.0,WHITEFOORD ELEM,21.0,126.0,0.166666666667,0.119047619048,right_only
920,,,22.0,,0.0,0.0,0.0,,2.0,30.0,0.0,157.0,,,0.0,3.0,2.0,187.0,CATES D - 04,282.0,685.0,0.411678832117,0.27299270073,right_only
921,,,4.0,,0.0,1.0,0.0,,0.0,7.0,0.0,28.0,,,0.0,0.0,0.0,38.0,CATES D - 07,43.0,121.0,0.355371900826,0.314049586777,right_only
