,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct,Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p,_merge
978,,,,,,,,,,,,,,,WADSWORTH ELEM - 05,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
979,,,,,,,,,,,,,,,WADSWORTH ELEM - 04,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
980,,,,,,,,,,,,,,,WHITEFOORD ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
981,,,,,,,,,,,,,,,WINTERS CHAPEL,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
982,,,,,,,,,,,,,,,WOODWARD ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
983,,,,,,,,,,,,,,,01C,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
984,,,,,,,,,,,,,,,09G,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
985,,,,,,,,,,,,,,,10H1,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
986,,,,,,,,,,,,,,,10H2,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
987,,,,,,,,,,,,,,,AP,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
988,,,,,,,,,,,,,,,AP,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
989,,,,,,,,,,,,,,,AP12C,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
990,,,,,,,,,,,,,,,CP,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
991,,,,,,,,,,,,,,,CP,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
992,,,,,,,,,,,,,,,CP,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
993,,,,,,,,,,,,,,,CP,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
994,,,,,,,,,,,,,,,CP,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
995,,,,,,,,,,,,,,,CP06A,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
996,,,,,,,,,,,,,,,EP04-05,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
997,,,,,,,,,,,,,,,EP04-13,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
998,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
999,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1000,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1001,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1002,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1003,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1004,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1005,,,,,,,,,,,,,,,ML,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1006,,,,,,,,,,,,,,,RW21,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1007,,,,,,,,,,,,,,,SC08G,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1008,,,,,,,,,,,,,,,SC,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1009,,,,,,,,,,,,,,,SC,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1010,,,,,,,,,,,,,,,UC,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1011,,,,,,,,,,,,,,,UC,Fulton,69.0,69.0,138.0,0.0,0.0,right_only
1012,,,,,,,,,,,,,,,PINCKNEYVILLE A,Gwinnett,69.0,69.0,138.0,0.0,0.0,right_only
1013,,,,,,,,,,,,,,,CATES D - 04,Gwinnett,69.0,69.0,138.0,0.0,0.0,right_only
1014,,,,,,,,,,,,,,,CATES D - 07,Gwinnett,69.0,69.0,138.0,0.0,0.0,right_only
