0,1,2,3
CLAYTON,http://results.enr.clarityelections.com/GA/Clayton/64023/182631,12579,77737
COBB,http://results.enr.clarityelections.com/GA/Cobb/64025/182331,152602,159416
DEKALB,http://results.enr.clarityelections.com/GA/DeKalb/64036/182716,51375,250489
FULTON,http://results.enr.clarityelections.com/GA/Fulton/64052/182865,117365,295046
GWINNETT,http://results.enr.clarityelections.com/GA/Gwinnett/64059/182502,146463,165063
