,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct
49,4538463,1.88,491,063RD04,063RD04,RD04,RIVERDALE 4,31,CLAYTON,63,black,49299.9556957,RIVERDALE 4
50,4030419,0.78,1349,12111J,12111J,11J,11J,60,FULTON,121,black,41628.0000181,11J
51,4030469,3.18,1529,121SC23A,121SC23A,SC23A,SC23A,60,FULTON,121,black,56054.9410052,SC23A
52,4030538,1.17,498,063RD11,063RD11,RD11,RIVERDALE 11,31,CLAYTON,63,black,65591.2016586,RIVERDALE 11
53,4030602,0.97,1531,121SC27,121SC27,SC27,SC27,60,FULTON,121,black,43809.1670036,SC27
54,4030651,0.38,1416,121CP083,121CP083,CP083,CP083,60,FULTON,121,black,41166.0,CP083
55,4030710,0.2,1418,121CP08A,121CP08A,CP08A,CP08A,60,FULTON,121,white,57248.9999496,CP08A
56,4030748,1.94,495,063RD08,063RD08,RD08,RIVERDALE 8,31,CLAYTON,63,black,62179.274513,RIVERDALE 8
57,4013924,3.46,1504,121SC08B,121SC08B,SC08B,SC08B,60,FULTON,121,black,43010.1486789,SC08B
58,4014046,1.22,1532,121SC29A,121SC29A,SC29A,SC29A,60,FULTON,121,black,49669.0001547,SC29A
59,4014094,0.71,1530,121SC23B,121SC23B,SC23B,SC23B,60,FULTON,121,black,54597.9959849,SC23B
60,4014125,0.95,1511,121SC09B,121SC09B,SC09B,SC09B,60,FULTON,121,black,46959.0854889,SC09B
61,4014175,0.81,1514,121SC11B,121SC11B,SC11B,SC11B,60,FULTON,121,black,56759.9999777,SC11B
62,4014221,0.83,1513,121SC11A,121SC11A,SC11A,SC11A,60,FULTON,121,black,56759.9999747,SC11A
63,4014346,0.17,1506,121SC08D,121SC08D,SC08D,SC08D,60,FULTON,121,black,39694.0,SC08D
64,4014370,0.55,1576,121UC01B,121UC01B,UC01B,UC01B,60,FULTON,121,black,39848.998953,UC01B
65,4014446,1.28,1510,121SC09A,121SC09A,SC09A,SC09A,60,FULTON,121,black,44086.6969134,SC09A
66,4007941,2.42,1575,121UC01A,121UC01A,UC01A,UC01A,60,FULTON,121,black,49338.6179548,UC01A
67,4008004,2.28,1582,121UC031,121UC031,UC031,UC031,60,FULTON,121,black,51926.3173636,UC031
68,4008090,0.23,1507,121SC08E,121SC08E,SC08E,SC08E,60,FULTON,121,black,49346.9978534,SC08E
69,4008147,0.27,1586,121UC035,121UC035,UC035,UC035,60,FULTON,121,black,50266.6137287,UC035
70,4008245,0.85,1578,121UC01D,121UC01D,UC01D,UC01D,60,FULTON,121,black,48657.0,UC01D
71,4008306,0.15,1520,121SC17B,121SC17B,SC17B,SC17B,60,FULTON,121,black,48657.0,SC17B
72,3974577,11.0,1501,121SC07A,121SC07A,SC07A,SC07A,60,FULTON,121,black,64043.8404756,SC07A
73,3886504,17.58,1398,121CH03,121CH03,CH03,CH03,60,FULTON,121,white,41282.0,CH03
74,3886642,5.24,1397,121CH02,121CH02,CH02,CH02,60,FULTON,121,white,41282.0000023,CH02
75,3886700,2.77,1396,121CH01,121CH01,CH01,CH01,60,FULTON,121,white,41282.0,CH01
76,3886746,17.33,1497,121SC04,121SC04,SC04,SC04,60,FULTON,121,white,51949.8440986,SC04
77,797909,18.69,1401,121CH05,121CH05,CH05,CH05,60,FULTON,121,white,41282.0,CH05
78,798082,6.8,1399,121CH04A,121CH04A,CH04A,CH04A,60,FULTON,121,white,41282.0,CH04A
79,1073521,2.69,466,063JB18,063JB18,JB18,JONESBORO 18,31,CLAYTON,63,black,52205.8454371,JONESBORO 18
80,1073600,2.9,459,063JB11,063JB11,JB11,JONESBORO 11,31,CLAYTON,63,black,71803.0289449,JONESBORO 11
81,1073694,2.02,455,063JB07,063JB07,JB07,JONESBORO 7,31,CLAYTON,63,black,61414.1036329,JONESBORO 7
82,1073760,3.84,454,063JB06,063JB06,JB06,JONESBORO 6,31,CLAYTON,63,white,98786.0904393,JONESBORO 6
83,890832,0.14,1583,121UC032,121UC032,UC032,UC032,60,FULTON,121,black,49669.0000862,UC032
84,890867,1.76,1526,121SC211,121SC211,SC211,SC211,60,FULTON,121,black,54300.2067363,SC211
85,898570,1.94,449,063JB01,063JB01,JB01,JONESBORO 1,31,CLAYTON,63,black,39933.0779979,JONESBORO 1
86,1053163,1.68,486,063PH1,063PH1,PH1,PANHANDLE 1,31,CLAYTON,63,black,71320.0,PANHANDLE 1
87,1053201,2.08,461,063JB13,063JB13,JB13,JONESBORO 13,31,CLAYTON,63,black,61686.8245944,JONESBORO 13
88,1053254,1.85,471,063LJ4,063LJ4,LJ4,LOVEJOY 4,31,CLAYTON,63,black,62823.9968421,LOVEJOY 4
89,1053297,1.17,472,063LJ5,063LJ5,LJ5,LOVEJOY 5,31,CLAYTON,63,black,48898.9998072,LOVEJOY 5
90,1044861,10.67,487,063PH2,063PH2,PH2,PANHANDLE 2,31,CLAYTON,63,black,71320.0,PANHANDLE 2
91,1067981,1.49,452,063JB04,063JB04,JB04,JONESBORO 4,31,CLAYTON,63,black,37524.6059607,JONESBORO 4
