,county,dem_votes,precinct,rep_votes,total,prop
95,BIBB,949,EAST MACON 1,26,975,0.0266666666667
838,DEKALB,2250,FAIRINGTON ELEM,62,2312,0.0268166089965
892,DEKALB,1447,MILLER GROVE HIGH,40,1487,0.0268997982515
922,DEKALB,2055,REDAN-TROTTI LIBRARY,57,2112,0.0269886363636
1500,FULTON,1579,SC29A,44,1623,0.0271102895872
1339,FULTON,933,11J,26,959,0.0271115745568
805,DEKALB,813,CEDAR GROVE MIDDLE,23,836,0.0275119617225
883,DEKALB,1376,MCWILLIAMS,39,1415,0.0275618374558
880,DEKALB,1124,MCNAIR ACADEMY,32,1156,0.0276816608997
818,DEKALB,948,COLUMBIA MIDDLE,27,975,0.0276923076923
1501,FULTON,70,SC30A,2,72,0.0277777777778
801,DEKALB,1081,CANBY LANE ELEM,31,1112,0.0278776978417
910,DEKALB,970,PANOLA WAY ELEM,28,998,0.0280561122244
1210,FULTON,547,01P,16,563,0.0284191829485
1325,FULTON,1055,10H2,31,1086,0.0285451197053
1543,FULTON,68,UC01E,2,70,0.0285714285714
865,DEKALB,1492,KELLEY LAKE ELEM,44,1536,0.0286458333333
1471,FULTON,1970,SC05B,59,2029,0.029078363726
1492,FULTON,3092,SC18B,93,3185,0.0291993720565
1315,FULTON,1827,09K,55,1882,0.029224229543
2309,RICHMOND,721,201,22,743,0.0296096904441
1474,FULTON,1868,SC08B,57,1925,0.0296103896104
971,DEKALB,1143,YOUNG ROAD,35,1178,0.0297113752122
1481,FULTON,1012,SC09B,31,1043,0.0297219558965
1499,FULTON,1238,SC27,38,1276,0.0297805642633
1497,FULTON,2893,SC23A,89,2982,0.0298457411133
1400,FULTON,2488,EP04-05,77,2565,0.0300194931774
1491,FULTON,290,SC18A,9,299,0.0301003344482
1467,FULTON,2635,SC01B,82,2717,0.0301803459698
2300,RICHMOND,382,105,12,394,0.0304568527919
1394,FULTON,127,CP081,4,131,0.030534351145
1259,FULTON,888,04X1,28,916,0.0305676855895
932,DEKALB,2151,SALEM MIDDLE,68,2219,0.0306444344299
1468,FULTON,595,SC02,19,614,0.0309446254072
1322,FULTON,556,10F,18,574,0.0313588850174
963,DEKALB,1327,WHITE OAK,43,1370,0.0313868613139
816,DEKALB,1141,COLUMBIA DRIVE,37,1178,0.0314091680815
1494,FULTON,677,SC19B,22,699,0.0314735336195
789,DEKALB,2398,BETHUNE MIDDLE,78,2476,0.0315024232633
955,DEKALB,920,TONEY ELEM,30,950,0.0315789473684
882,DEKALB,1221,MCNAIR MIDDLE,40,1261,0.0317208564631
470,CLAYTON,1082,OAK 1,36,1118,0.0322003577818
919,DEKALB,1707,REDAN ELEM,57,1764,0.0323129251701
806,DEKALB,2235,CEDAR GROVE SOUTH,75,2310,0.0324675324675
1204,FULTON,565,01C,19,584,0.0325342465753
1307,FULTON,178,09B,6,184,0.0326086956522
841,DEKALB,1705,FLAT ROCK ELEM,58,1763,0.0328984685196
845,DEKALB,2080,FLAT SHOALS PARKWAY,71,2151,0.0330079033008
960,DEKALB,1054,WADSWORTH ELEM - 04,36,1090,0.0330275229358
799,DEKALB,2293,BROWNS MILL ELEM,80,2373,0.0337126000843
1209,FULTON,1116,01J,39,1155,0.0337662337662
918,DEKALB,2162,RAINBOW ELEM,76,2238,0.0339588918677
1486,FULTON,510,SC14,18,528,0.0340909090909
1253,FULTON,708,04L,25,733,0.0341064120055
894,DEKALB,1330,MILLER GROVE ROAD,47,1377,0.0341321713871
1482,FULTON,761,SC10,27,788,0.0342639593909
473,CLAYTON,1627,OAK 4,59,1686,0.0349940688019
1338,FULTON,328,11H,12,340,0.0352941176471
1495,FULTON,729,SC211,27,756,0.0357142857143
1207,FULTON,429,01F,16,445,0.0359550561798
308,CHATHAM,1742,5-10 Jonesville Bapt Church,65,1807,0.0359712230216
804,DEKALB,2431,CEDAR GROVE ELEM,91,2522,0.0360824742268
485,CLAYTON,1144,RIVERDALE 10,43,1187,0.0362257792755
884,DEKALB,1747,MEADOWVIEW ELEM,66,1813,0.0364037506895
1310,FULTON,1181,09E,45,1226,0.036704730832
2154,MUSCOGEE,2089,CARVER/MACK,80,2169,0.0368833563854
337,CHATHAM,311,8-07 Woodville-Tompkins,12,323,0.0371517027864
868,DEKALB,1185,KNOLLWOOD ELEM,46,1231,0.0373679935012
942,DEKALB,1190,SNAPFINGER ROAD SOUTH,47,1237,0.0379951495554
1328,FULTON,809,10K,32,841,0.038049940547
472,CLAYTON,1689,OAK 3,67,1756,0.0381548974943
953,DEKALB,1403,TERRY MILL ELEM,56,1459,0.0383824537354
1391,FULTON,847,CP051,34,881,0.0385925085131
1239,FULTON,843,03N,34,877,0.0387685290764
1544,FULTON,3793,UC02A,154,3947,0.0390169749177
940,DEKALB,1091,SNAPFINGER ELEM,45,1136,0.0396126760563
